,fromid,toid,frompos,topos,period
0,0,14,23,22,1
1,2,12,16,18,1
2,3,12,12,18,1
3,5,13,4,4,1
4,6,11,14,14,1
5,7,9,20,15,1
6,8,10,5,5,1
7,9,23,15,14,2
8,10,19,5,5,2
9,11,23,14,14,2
10,13,21,4,4,2
11,15,25,16,11,3
12,16,26,21,18,3
13,17,30,12,12,3
14,18,26,23,18,3
15,19,31,5,4,3
16,20,29,2,2,3
17,21,31,4,4,3
18,23,28,14,14,3
19,24,32,20,15,3
20,25,36,11,12,4
21,26,41,18,18,4
22,27,40,1,1,4
23,28,35,14,14,4
24,29,39,2,2,4
25,30,36,12,12,4
26,31,34,4,4,4
27,32,38,15,15,4
28,34,47,4,4,5
29,35,48,14,14,5
30,36,46,12,12,5
31,37,42,5,5,5
32,38,48,15,14,5
33,39,45,2,2,5
34,40,44,1,1,5
35,42,50,5,4,6
36,43,55,23,23,6
37,44,56,1,1,6
38,45,53,2,2,6
39,46,51,12,12,6
40,47,50,4,4,6
41,48,54,14,14,6
42,49,57,21,16,6
43,50,60,4,4,7
44,51,64,12,12,7
45,53,61,2,2,7
46,54,62,14,14,7
47,55,67,23,20,7
48,56,59,1,1,7
49,57,65,16,16,7
50,58,67,20,20,7
51,59,69,1,1,8
52,60,75,4,5,8
53,61,70,2,2,8
54,62,71,14,14,8
55,63,75,5,5,8
56,64,72,12,12,8
57,65,68,16,16,8
58,66,74,21,21,8
59,67,73,20,20,8
60,68,83,16,11,9
61,69,82,1,1,9
62,70,82,2,1,9
63,71,79,14,14,9
64,72,80,12,12,9
65,73,77,20,15,9
66,74,81,21,18,9
67,75,78,5,5,9
68,76,81,23,18,9
69,77,84,15,14,10
70,78,88,5,4,10
71,79,84,14,14,10
72,80,89,12,12,10
73,82,85,1,1,10
74,83,89,11,12,10
75,84,94,14,14,11
76,85,97,1,1,11
77,86,96,16,16,11
78,87,97,2,1,11
79,88,92,4,4,11
80,89,98,12,12,11
81,90,95,20,20,11
82,91,96,21,16,11
83,92,100,4,4,12
84,94,103,14,14,12
85,95,104,20,20,12
86,97,99,1,1,12
87,98,101,12,12,12
88,99,108,1,1,13
89,100,111,4,4,13
90,101,105,12,12,13
91,102,112,2,2,13
92,103,109,14,14,13
93,104,107,20,20,13
94,105,117,12,12,14
95,106,118,16,16,14
96,108,121,1,1,14
97,109,119,14,14,14
98,111,116,4,4,14
99,112,115,2,2,14
100,114,122,21,21,14
101,115,129,2,2,15
102,116,128,4,4,15
103,117,124,12,11,15
104,118,124,16,11,15
105,119,123,14,14,15
106,120,126,5,5,15
107,121,130,1,1,15
108,122,131,21,22,15
109,123,134,14,14,16
110,124,138,11,11,16
111,125,135,18,18,16
112,126,139,5,5,16
113,127,134,15,14,16
114,128,133,4,4,16
115,129,136,2,1,16
116,130,136,1,1,16
117,131,140,22,22,16
118,132,141,0,0,17
119,133,147,4,4,17
120,134,146,14,14,17
121,135,142,18,18,17
122,137,143,12,12,17
123,138,143,11,12,17
124,139,145,5,5,17
125,140,148,22,22,17
126,143,150,12,12,18
127,144,153,15,14,18
128,145,149,5,5,18
129,146,153,14,14,18
130,147,149,4,5,18
131,149,162,5,5,19
132,150,154,12,12,19
133,151,161,1,2,19
134,152,158,16,16,19
135,153,155,14,14,19
136,154,171,12,12,20
137,155,167,14,14,20
138,156,170,23,23,20
