,gid,plaid,posid,teamid,teamname,period,newpos,newposname
0,0,4319,23,783,Uruguay,1,3,Fw
1,1,5259,2,783,Uruguay,1,1,Def
2,2,5247,16,783,Uruguay,1,2,Mid
3,3,5255,12,783,Uruguay,1,2,Mid
4,4,5264,1,783,Uruguay,1,1,Def
5,5,5249,4,783,Uruguay,1,1,Def
6,6,5260,14,783,Uruguay,1,2,Mid
7,7,5258,20,783,Uruguay,1,2,Mid
8,8,5248,5,783,Uruguay,1,1,Def
9,9,5261,15,774,Egypt,2,2,Mid
10,10,5263,5,774,Egypt,2,1,Def
11,11,5262,14,774,Egypt,2,2,Mid
12,12,5251,18,774,Egypt,2,2,Mid
13,13,4063,4,774,Egypt,2,1,Def
14,14,5252,22,774,Egypt,2,3,Fw
15,15,5247,16,783,Uruguay,3,2,Mid
16,16,5246,21,783,Uruguay,3,3,Fw
17,17,5255,12,783,Uruguay,3,2,Mid
18,18,4319,23,783,Uruguay,3,3,Fw
19,19,5248,5,783,Uruguay,3,1,Def
20,20,5259,2,783,Uruguay,3,1,Def
21,21,5249,4,783,Uruguay,3,1,Def
22,22,5267,0,783,Uruguay,3,0,GK
23,23,5260,14,783,Uruguay,3,2,Mid
24,24,5258,20,783,Uruguay,3,2,Mid
25,25,5253,11,774,Egypt,4,2,Mid
26,26,5251,18,774,Egypt,4,2,Mid
27,27,5250,1,774,Egypt,4,1,Def
28,28,5262,14,774,Egypt,4,2,Mid
29,29,5254,2,774,Egypt,4,1,Def
30,30,3568,12,774,Egypt,4,2,Mid
31,31,4063,4,774,Egypt,4,1,Def
32,32,5261,15,774,Egypt,4,2,Mid
33,33,5265,0,774,Egypt,5,0,GK
34,34,4063,4,774,Egypt,5,1,Def
35,35,5262,14,774,Egypt,5,2,Mid
36,36,3568,12,774,Egypt,5,2,Mid
37,37,5263,5,774,Egypt,5,1,Def
38,38,5261,15,774,Egypt,5,2,Mid
39,39,5254,2,774,Egypt,5,1,Def
40,40,5250,1,774,Egypt,5,1,Def
41,41,5251,18,774,Egypt,5,2,Mid
42,42,5248,5,783,Uruguay,6,1,Def
43,43,4319,23,783,Uruguay,6,3,Fw
44,44,5264,1,783,Uruguay,6,1,Def
45,45,5259,2,783,Uruguay,6,1,Def
46,46,5255,12,783,Uruguay,6,2,Mid
47,47,5249,4,783,Uruguay,6,1,Def
48,48,5260,14,783,Uruguay,6,2,Mid
49,49,5246,21,783,Uruguay,6,3,Fw
50,50,5249,4,783,Uruguay,7,1,Def
51,51,5255,12,783,Uruguay,7,2,Mid
52,52,5267,0,783,Uruguay,7,0,GK
53,53,5259,2,783,Uruguay,7,1,Def
54,54,5260,14,783,Uruguay,7,2,Mid
55,55,4319,23,783,Uruguay,7,3,Fw
56,56,5264,1,783,Uruguay,7,1,Def
57,57,5247,16,783,Uruguay,7,2,Mid
58,58,5258,20,783,Uruguay,7,2,Mid
59,59,5264,1,783,Uruguay,8,1,Def
60,60,5249,4,783,Uruguay,8,1,Def
61,61,5259,2,783,Uruguay,8,1,Def
62,62,5260,14,783,Uruguay,8,2,Mid
63,63,5248,5,783,Uruguay,8,1,Def
64,64,5255,12,783,Uruguay,8,2,Mid
65,65,5247,16,783,Uruguay,8,2,Mid
66,66,5246,21,783,Uruguay,8,3,Fw
67,67,5258,20,783,Uruguay,8,2,Mid
68,68,5247,16,783,Uruguay,9,2,Mid
69,69,5264,1,783,Uruguay,9,1,Def
70,70,5259,2,783,Uruguay,9,1,Def
71,71,5260,14,783,Uruguay,9,2,Mid
72,72,5255,12,783,Uruguay,9,2,Mid
73,73,5258,20,783,Uruguay,9,2,Mid
74,74,5246,21,783,Uruguay,9,3,Fw
75,75,5248,5,783,Uruguay,9,1,Def
76,76,4319,23,783,Uruguay,9,3,Fw
77,77,5261,15,774,Egypt,10,2,Mid
78,78,5263,5,774,Egypt,10,1,Def
79,79,5262,14,774,Egypt,10,2,Mid
80,80,3568,12,774,Egypt,10,2,Mid
81,81,5251,18,774,Egypt,10,2,Mid
82,82,5250,1,774,Egypt,10,1,Def
83,83,5253,11,774,Egypt,10,2,Mid
84,84,5260,14,783,Uruguay,11,2,Mid
85,85,5264,1,783,Uruguay,11,1,Def
86,86,5247,16,783,Uruguay,11,2,Mid
87,87,5259,2,783,Uruguay,11,1,Def
88,88,5249,4,783,Uruguay,11,1,Def
89,89,5255,12,783,Uruguay,11,2,Mid
90,90,5258,20,783,Uruguay,11,2,Mid
91,91,5246,21,783,Uruguay,11,3,Fw
92,92,5249,4,783,Uruguay,12,1,Def
93,93,5267,0,783,Uruguay,12,0,GK
94,94,5260,14,783,Uruguay,12,2,Mid
95,95,5258,20,783,Uruguay,12,2,Mid
96,96,5247,16,783,Uruguay,12,2,Mid
97,97,5264,1,783,Uruguay,12,1,Def
98,98,5255,12,783,Uruguay,12,2,Mid
99,99,5264,1,783,Uruguay,13,1,Def
100,100,5249,4,783,Uruguay,13,1,Def
101,101,5255,12,783,Uruguay,13,2,Mid
102,102,5259,2,783,Uruguay,13,1,Def
103,103,5260,14,783,Uruguay,13,2,Mid
104,104,5258,20,783,Uruguay,13,2,Mid
105,105,5255,12,783,Uruguay,14,2,Mid
106,106,5247,16,783,Uruguay,14,2,Mid
107,107,5258,20,783,Uruguay,14,2,Mid
108,108,5264,1,783,Uruguay,14,1,Def
109,109,5260,14,783,Uruguay,14,2,Mid
110,110,5267,0,783,Uruguay,14,0,GK
111,111,5249,4,783,Uruguay,14,1,Def
112,112,5259,2,783,Uruguay,14,1,Def
113,113,4319,23,783,Uruguay,14,3,Fw
114,114,5246,21,783,Uruguay,14,3,Fw
115,115,5259,2,783,Uruguay,15,1,Def
116,116,5249,4,783,Uruguay,15,1,Def
117,117,5255,12,783,Uruguay,15,2,Mid
118,118,5247,16,783,Uruguay,15,2,Mid
119,119,5260,14,783,Uruguay,15,2,Mid
120,120,5248,5,783,Uruguay,15,1,Def
121,121,5264,1,783,Uruguay,15,1,Def
122,122,5246,21,783,Uruguay,15,3,Fw
123,123,5262,14,774,Egypt,16,2,Mid
124,124,5253,11,774,Egypt,16,2,Mid
125,125,5251,18,774,Egypt,16,2,Mid
126,126,5263,5,774,Egypt,16,1,Def
127,127,5261,15,774,Egypt,16,2,Mid
128,128,4063,4,774,Egypt,16,1,Def
129,129,5254,2,774,Egypt,16,1,Def
130,130,5250,1,774,Egypt,16,1,Def
131,131,5252,22,774,Egypt,16,3,Fw
132,132,5265,0,774,Egypt,17,0,GK
133,133,4063,4,774,Egypt,17,1,Def
134,134,3878,14,774,Egypt,17,2,Mid
135,135,5251,18,774,Egypt,17,2,Mid
136,136,5250,1,774,Egypt,17,1,Def
137,137,3568,12,774,Egypt,17,2,Mid
138,138,5253,11,774,Egypt,17,2,Mid
139,139,5263,5,774,Egypt,17,1,Def
140,140,5252,22,774,Egypt,17,3,Fw
141,141,5265,0,774,Egypt,18,0,GK
142,142,5251,18,774,Egypt,18,2,Mid
143,143,3568,12,774,Egypt,18,2,Mid
144,144,5261,15,774,Egypt,18,2,Mid
145,145,5263,5,774,Egypt,18,1,Def
146,146,3878,14,774,Egypt,18,2,Mid
147,147,4063,4,774,Egypt,18,1,Def
148,148,5252,22,774,Egypt,18,3,Fw
149,149,5248,5,783,Uruguay,19,1,Def
150,150,5255,12,783,Uruguay,19,2,Mid
151,151,5264,1,783,Uruguay,19,1,Def
152,152,5247,16,783,Uruguay,19,2,Mid
153,153,5260,14,783,Uruguay,19,2,Mid
154,154,5255,12,783,Uruguay,20,2,Mid
155,155,5260,14,783,Uruguay,20,2,Mid
156,156,4319,23,783,Uruguay,20,3,Fw
157,157,5256,20,783,Uruguay,20,2,Mid
158,158,5268,16,783,Uruguay,20,2,Mid
159,159,5249,4,783,Uruguay,20,1,Def
160,160,5267,0,783,Uruguay,20,0,GK
161,161,5259,2,783,Uruguay,20,1,Def
162,162,5248,5,783,Uruguay,20,1,Def
163,163,5246,21,783,Uruguay,20,3,Fw
164,164,5249,4,783,Uruguay,21,1,Def
165,165,5267,0,783,Uruguay,21,0,GK
166,166,5248,5,783,Uruguay,21,1,Def
167,167,5260,14,783,Uruguay,21,2,Mid
168,168,5259,2,783,Uruguay,21,1,Def
169,169,5264,1,783,Uruguay,21,1,Def
170,170,4319,23,783,Uruguay,21,3,Fw
171,171,5255,12,783,Uruguay,21,2,Mid
172,172,5268,16,783,Uruguay,21,2,Mid
173,173,5256,20,783,Uruguay,21,2,Mid
174,174,5246,21,783,Uruguay,21,3,Fw
175,175,5259,2,783,Uruguay,22,1,Def
176,176,5255,12,783,Uruguay,22,2,Mid
177,177,5260,14,783,Uruguay,22,2,Mid
178,178,5249,4,783,Uruguay,22,1,Def
179,179,5267,0,783,Uruguay,22,0,GK
180,180,5246,21,783,Uruguay,22,3,Fw
181,181,5248,5,783,Uruguay,23,1,Def
182,182,5249,4,783,Uruguay,23,1,Def
183,183,5264,1,783,Uruguay,23,1,Def
184,184,5255,12,783,Uruguay,23,2,Mid
185,185,5268,16,783,Uruguay,23,2,Mid
186,186,5256,20,783,Uruguay,23,2,Mid
187,187,5246,21,783,Uruguay,23,3,Fw
188,188,4319,23,783,Uruguay,23,3,Fw
189,189,5250,1,774,Egypt,24,1,Def
190,190,3878,14,774,Egypt,24,2,Mid
191,191,5263,5,774,Egypt,24,1,Def
192,192,5253,11,774,Egypt,24,2,Mid
193,193,5257,22,774,Egypt,24,3,Fw
194,194,3568,12,774,Egypt,24,2,Mid
195,195,5251,18,774,Egypt,24,2,Mid
196,196,5268,16,783,Uruguay,25,2,Mid
