,nullid,toid,nullpos,topos,period
0,0,20,2,2,3
0,1,27,1,1,4
0,2,26,18,18,4
0,3,131,22,22,16
0,4,33,0,0,5
0,5,52,0,0,7
0,6,81,18,18,10
0,7,93,0,0,12
0,8,125,18,18,16
0,9,110,0,0,14
0,10,106,16,16,14
0,11,157,20,20,20
0,12,132,0,0,17
0,13,156,23,23,20
0,14,151,1,1,19
0,15,160,0,0,20
0,16,195,18,18,24
0,17,193,22,22,24
0,18,188,23,23,23
0,19,185,16,16,23
0,20,186,20,20,23
0,21,190,14,14,24
0,22,205,0,0,25
0,23,232,22,22,28
0,24,228,18,18,28
0,25,221,16,16,27
0,26,216,0,0,27
0,27,240,23,23,29
0,28,239,20,20,29
0,29,253,0,0,30
0,30,248,18,18,30
0,31,246,22,22,30
0,32,284,22,22,33
0,33,273,18,18,32
0,34,310,0,0,36
0,35,341,18,18,40
0,36,370,0,0,43
0,37,364,22,22,43
0,38,366,18,18,43
0,39,381,0,0,45
0,40,404,0,0,48
0,41,410,18,18,48
0,42,409,22,22,48
0,43,438,16,16,52
0,44,445,22,22,52
0,45,425,18,18,50
0,46,473,0,0,55
0,47,485,18,18,57
0,48,457,14,14,54
0,49,484,22,22,57
0,50,466,9,9,55
0,51,476,14,14,56
0,52,1039,15,15,123
0,53,732,9,9,87
0,54,490,16,16,57
0,55,497,0,0,58
0,56,517,18,18,60
0,57,542,0,0,64
0,58,527,5,5,62
0,59,528,4,4,62
0,60,530,18,18,62
0,61,524,20,20,62
0,62,550,18,18,64
0,63,571,22,22,67
0,64,543,14,14,64
0,65,567,0,0,67
0,66,563,5,5,66
0,67,568,4,4,67
0,68,560,20,20,66
0,69,559,18,18,66
0,70,616,0,0,73
0,71,632,18,18,75
0,72,598,16,16,71
0,73,624,20,20,74
0,74,610,23,23,73
0,75,621,16,16,74
0,76,636,0,0,75
0,77,655,0,0,78
0,78,660,18,18,78
0,79,661,22,22,78
0,80,672,5,5,80
0,81,665,4,4,79
0,82,689,0,0,82
0,83,678,18,18,81
0,84,696,22,22,83
0,85,693,18,18,83
0,86,697,20,20,83
0,87,720,18,18,86
0,88,741,0,0,88
0,89,715,22,22,85
0,90,724,14,14,86
0,91,749,20,20,89
0,92,752,0,0,90
0,93,777,0,0,93
0,94,785,12,12,93
0,95,1463,24,24,172
0,96,812,20,20,96
0,97,814,16,16,96
0,98,816,0,0,97
0,99,873,20,20,103
0,100,839,12,12,100
0,101,857,0,0,102
0,102,848,14,14,101
0,103,841,19,19,100
0,104,846,17,17,100
0,105,850,22,22,101
0,106,868,22,22,103
0,107,895,19,19,106
0,108,926,0,0,110
0,109,887,20,20,105
0,110,898,22,22,106
0,111,901,12,12,107
0,112,913,17,17,108
0,113,920,19,19,109
0,114,925,22,22,109
0,115,4323,17,17,501
0,116,944,19,19,112
0,117,938,12,12,111
0,118,932,22,22,111
0,119,955,16,16,113
0,120,947,12,12,113
0,121,981,0,0,117
0,122,964,22,22,115
0,123,985,2,2,117
0,124,997,1,1,118
0,125,1037,14,14,123
0,126,991,20,20,118
0,127,1041,3,3,123
0,128,1010,0,0,120
0,129,1043,0,0,123
0,130,1050,22,22,124
0,131,1044,18,18,124
0,132,1099,3,3,130
0,133,1078,0,0,127
0,134,1095,0,0,129
0,135,1105,18,18,131
0,136,1104,16,16,131
0,137,1112,0,0,132
0,138,1110,22,22,131
0,139,1119,3,3,132
0,140,1214,0,0,143
0,141,1131,22,22,134
0,142,1466,3,3,172
0,143,1237,1,1,146
0,144,1231,0,0,146
0,145,1224,2,2,145
0,146,1258,0,0,149
0,147,1301,0,0,153
0,148,1319,22,22,155
0,149,1326,18,18,156
0,150,1321,20,20,156
0,151,1351,0,0,159
0,152,1349,18,18,159
0,153,1367,22,22,161
0,154,1381,18,18,162
0,155,1380,0,0,162
0,156,1426,0,0,168
0,157,1421,18,18,167
0,158,1417,14,14,167
0,159,1457,0,0,172
0,160,2060,18,18,241
0,161,1504,16,16,177
0,162,1505,20,20,177
0,163,1507,23,23,177
0,164,1478,0,0,174
0,165,1497,0,0,176
0,166,1510,3,3,178
0,167,3210,13,13,373
0,168,1526,22,22,179
0,169,2581,24,24,300
0,170,1527,20,20,179
0,171,1543,23,23,182
0,172,1541,0,0,181
0,173,1580,16,16,186
0,174,1578,22,22,186
0,175,2068,10,10,241
0,176,1676,20,20,197
0,177,1583,9,9,186
0,178,1561,0,0,184
0,179,1568,23,23,184
0,180,1577,0,0,186
0,181,1591,23,23,187
0,182,1722,22,22,203
0,183,1723,9,9,203
0,184,1604,0,0,189
0,185,1611,23,23,189
0,186,1620,21,21,190
0,187,1649,0,0,194
0,188,1621,23,23,191
0,189,1660,1,1,195
0,190,1641,2,2,193
0,191,1659,21,21,195
0,192,1654,23,23,195
0,193,1666,0,0,196
0,194,1677,23,23,197
0,195,1684,21,21,198
0,196,1687,0,0,199
0,197,1694,20,20,199
0,198,1745,0,0,206
0,199,1782,21,21,210
0,200,1715,16,16,202
0,201,1734,20,20,204
0,202,1750,12,12,206
0,203,1742,9,9,205
0,204,1743,16,16,205
0,205,1757,14,14,207
0,206,1777,22,22,209
0,207,1773,9,9,209
0,208,1778,0,0,210
0,209,1772,12,12,209
0,210,1803,16,16,212
0,211,1792,9,9,211
0,212,1794,22,22,211
0,213,1800,0,0,212
0,214,1866,0,0,220
0,215,1829,16,16,215
0,216,1830,22,22,215
0,217,1824,9,9,215
0,218,1836,14,14,216
0,219,1848,12,12,217
0,220,1845,9,9,217
0,221,1865,22,22,219
0,222,1877,9,9,221
0,223,1880,20,20,221
0,224,1882,22,22,221
0,225,1884,0,0,222
0,226,1896,9,9,223
0,227,1900,22,22,223
0,228,1913,0,0,224
0,229,1923,22,22,225
0,230,1934,0,0,227
0,231,1935,9,9,227
0,232,1942,22,22,227
0,233,1962,9,9,230
0,234,1988,22,22,232
0,235,1971,0,0,231
0,236,1985,9,9,232
0,237,2015,0,0,236
0,238,2006,16,16,234
0,239,1998,9,9,234
0,240,1999,22,22,234
0,241,2021,12,12,236
0,242,2023,9,9,236
0,243,2016,22,22,236
0,244,2024,16,16,236
0,245,2042,0,0,238
0,246,2040,12,12,238
0,247,2059,22,22,240
0,248,2044,9,9,239
0,249,2054,12,12,240
0,250,2394,23,23,278
0,251,2072,14,14,242
0,252,2065,0,0,241
0,253,2088,0,0,244
0,254,2084,16,16,243
0,255,2106,0,0,246
0,256,2152,0,0,251
0,257,2135,18,18,249
0,258,2137,22,22,249
0,259,2145,22,22,251
0,260,2166,0,0,253
0,261,2253,0,0,263
0,262,2228,9,9,261
0,263,2244,22,22,262
0,264,2255,22,22,264
0,265,2328,0,0,271
0,266,2286,22,22,267
0,267,2359,0,0,274
0,268,2370,0,0,276
0,269,2405,0,0,280
0,270,2412,18,18,280
0,271,2416,16,16,281
0,272,2438,0,0,283
0,273,2428,20,20,282
0,274,2448,18,18,285
0,275,2454,22,22,285
0,276,2458,0,0,286
0,277,2488,0,0,290
0,278,2476,8,8,288
0,279,2489,2,2,290
0,280,2500,18,18,291
0,281,2491,1,1,290
0,282,2503,22,22,291
0,283,2516,0,0,293
0,284,2535,10,10,295
0,285,2560,0,0,298
0,286,2559,22,22,297
0,287,2594,0,0,302
0,288,2602,4,4,303
0,289,2603,2,2,303
0,290,2604,1,1,303
0,291,2600,5,5,303
0,292,2616,0,0,305
0,293,2621,18,18,305
0,294,2611,20,20,304
0,295,2633,18,18,307
0,296,2702,24,24,314
0,297,2637,20,20,307
0,298,2640,0,0,308
0,299,2674,20,20,311
0,300,2692,14,14,313
0,301,2776,0,0,324
0,302,2728,18,18,318
0,303,2789,22,22,325
0,304,2766,21,21,322
0,305,2781,23,23,324
0,306,2811,21,21,327
0,307,2802,3,3,326
0,308,2797,9,9,326
0,309,2827,0,0,329
0,310,2817,22,22,328
0,311,2830,4,4,330
0,312,2846,5,5,332
0,313,2845,22,22,332
0,314,2850,15,15,332
0,315,2876,23,23,335
0,316,2867,0,0,335
0,317,2859,22,22,334
0,318,2878,22,22,336
0,319,2905,0,0,338
0,320,2923,22,22,340
0,321,2959,0,0,344
0,322,2975,22,22,346
0,323,2947,21,21,343
0,324,2953,4,4,344
0,325,2969,23,23,345
0,326,3211,15,15,373
0,327,2992,14,14,348
0,328,2977,0,0,346
0,329,2993,9,9,348
0,330,2991,0,0,348
0,331,3038,0,0,353
0,332,3019,14,14,351
0,333,3036,22,22,353
0,334,3049,12,12,354
0,335,3061,22,22,355
0,336,3069,0,0,357
0,337,3075,14,14,357
0,338,3070,9,9,357
0,339,3076,16,16,357
0,340,3072,22,22,357
0,341,3111,12,12,361
0,342,3112,0,0,362
0,343,3102,9,9,361
0,344,3122,9,9,363
0,345,3121,22,22,363
0,346,3140,0,0,365
0,347,3144,22,22,365
0,348,3148,9,9,366
0,349,3155,16,16,366
0,350,3175,8,8,369
0,351,3157,0,0,367
0,352,3164,20,20,367
0,353,3169,9,9,368
0,354,3167,12,12,368
0,355,3177,16,16,369
0,356,3418,9,9,397
0,357,3195,0,0,371
0,358,3263,0,0,379
0,359,3209,20,20,373
0,360,3212,5,5,373
0,361,3213,4,4,373
0,362,3223,16,16,375
0,363,3233,13,13,376
0,364,3276,20,20,380
0,365,3321,0,0,385
0,366,3307,16,16,384
0,367,3357,24,24,390
0,368,3345,13,13,388
0,369,3355,0,0,389
0,370,3372,16,16,391
0,371,3367,0,0,391
0,372,3387,2,2,394
0,373,3388,0,0,394
0,374,3444,0,0,400
0,375,3463,16,16,402
0,376,3465,20,20,402
0,377,3459,2,2,402
0,378,3462,1,1,402
0,379,3466,22,22,402
0,380,3477,9,9,403
0,381,3514,16,16,407
0,382,3489,5,5,405
0,383,3491,9,9,405
0,384,3488,4,4,405
0,385,3513,0,0,407
0,386,3526,9,9,409
0,387,3518,12,12,408
0,388,3554,11,11,413
0,389,3545,0,0,411
0,390,3546,16,16,411
0,391,3532,22,22,410
0,392,3531,20,20,410
0,393,3558,9,9,413
0,394,3567,20,20,414
0,395,3559,12,12,413
0,396,3564,16,16,414
0,397,3591,0,0,417
0,398,3569,24,24,414
0,399,3583,9,9,416
0,400,3633,20,20,422
0,401,3593,22,22,417
0,402,3601,16,16,418
0,403,3602,9,9,419
0,404,3613,24,24,420
0,405,3634,16,16,422
0,406,3648,9,9,424
0,407,3626,0,0,422
0,408,3653,0,0,424
0,409,3662,24,24,426
0,410,3664,22,22,426
0,411,3667,16,16,426
0,412,3681,0,0,428
0,413,4090,9,9,474
0,414,3715,12,12,432
0,415,3710,14,14,431
0,416,4992,24,24,579
0,417,3903,22,22,453
0,418,3704,0,0,431
0,419,3724,0,0,433
0,420,3740,21,21,434
0,421,3749,0,0,436
0,422,3751,13,13,436
0,423,3750,4,4,436
0,424,3768,23,23,438
0,425,3834,0,0,446
0,426,3786,21,21,440
0,427,3785,23,23,440
0,428,3799,13,13,441
0,429,3796,3,3,441
0,430,3805,21,21,442
0,431,3815,3,3,443
0,432,3813,13,13,443
0,433,3850,21,21,447
0,434,3856,3,3,448
0,435,3848,13,13,447
0,436,3859,0,0,449
0,437,3884,5,5,451
0,438,3858,4,4,448
0,439,3863,23,23,449
0,440,3876,3,3,451
0,441,3880,13,13,451
0,442,3875,4,4,450
0,443,3893,0,0,452
0,444,4159,3,3,482
0,445,5706,13,13,662
0,446,3902,18,18,453
0,447,3910,0,0,454
0,448,3928,5,5,456
0,449,3921,18,18,456
0,450,3920,22,22,456
0,451,3927,4,4,456
0,452,3940,0,0,458
0,453,3967,20,20,460
0,454,3990,0,0,463
0,455,4037,0,0,468
0,456,4060,0,0,471
0,457,4102,0,0,476
0,458,4117,22,22,477
0,459,4112,16,16,477
0,460,4115,14,14,477
0,461,4131,0,0,479
0,462,4125,9,9,478
0,463,4142,22,22,480
0,464,4146,4,4,481
0,465,4152,9,9,481
0,466,4151,0,0,481
0,467,4150,16,16,481
0,468,4169,22,22,483
0,469,4174,0,0,484
0,470,4175,12,12,484
0,471,4184,3,3,485
0,472,4202,16,16,487
0,473,4200,12,12,487
0,474,4211,0,0,489
0,475,4208,9,9,488
0,476,4226,22,22,490
0,477,4215,20,20,489
0,478,4224,16,16,490
0,479,4313,0,0,501
0,480,4238,22,22,492
0,481,4280,22,22,496
0,482,4312,12,12,500
0,483,4319,22,22,501
0,484,4309,14,14,500
0,485,4320,16,16,501
0,486,4317,20,20,501
0,487,4341,0,0,503
0,488,4343,22,22,504
0,489,4370,0,0,506
0,490,4408,0,0,510
0,491,4429,0,0,513
0,492,4434,5,5,513
0,493,4430,20,20,513
0,494,4461,0,0,516
0,495,4455,18,18,516
0,496,4456,22,22,516
0,497,4519,4,4,523
0,498,4483,5,5,519
0,499,4542,0,0,526
0,500,4511,5,5,522
0,501,4551,18,18,527
0,502,5102,3,3,592
0,503,4656,22,22,539
0,504,4574,0,0,530
0,505,4607,0,0,534
0,506,4631,0,0,537
0,507,4639,18,18,538
0,508,4665,0,0,540
0,509,4708,0,0,546
0,510,4701,15,15,545
0,511,4712,18,18,546
0,512,4752,22,22,551
0,513,4749,18,18,551
0,514,4767,0,0,553
0,515,4747,16,16,551
0,516,4781,18,18,554
0,517,4775,20,20,554
0,518,4827,0,0,560
0,519,4812,20,20,558
0,520,4818,18,18,558
0,521,4819,22,22,558
0,522,4861,20,20,564
0,523,4990,18,18,579
0,524,4832,22,22,560
0,525,4853,0,0,563
0,526,4857,22,22,563
0,527,4889,0,0,567
0,528,4911,22,22,570
0,529,4907,0,0,570
0,530,4970,0,0,577
0,531,4993,0,0,580
0,532,4998,22,22,580
0,533,4996,2,2,580
0,534,4997,1,1,580
0,535,5044,20,20,586
0,536,5013,14,14,582
0,537,5060,0,0,587
0,538,5042,22,22,585
0,539,5241,9,9,609
0,540,5059,16,16,587
0,541,5083,0,0,590
0,542,5089,20,20,591
0,543,5091,18,18,591
0,544,5095,16,16,591
0,545,5115,18,18,594
0,546,5137,3,3,597
0,547,5138,0,0,597
0,548,5149,18,18,598
0,549,5141,20,20,597
0,550,5143,8,8,598
0,550,5150,8,8,598
0,551,5152,16,16,598
0,552,5171,3,3,601
0,553,5185,0,0,603
0,554,5210,18,18,606
0,555,5175,22,22,601
0,556,5183,20,20,602
0,557,5238,14,14,609
0,558,5189,22,22,603
0,559,5228,3,3,608
0,560,5223,0,0,607
0,561,5202,22,22,605
0,562,5231,12,12,608
0,563,5205,20,20,605
0,564,5244,20,20,609
0,565,5259,18,18,611
0,566,5233,16,16,608
0,567,5230,22,22,608
0,568,5237,0,0,609
0,569,5501,10,10,639
0,570,5254,12,12,611
0,571,5262,0,0,612
0,572,5305,22,22,616
0,573,5308,0,0,617
0,574,5311,12,12,617
0,575,5399,11,11,627
0,576,5333,0,0,620
0,577,5358,20,20,623
0,578,5429,18,18,630
0,579,5369,14,14,624
0,580,5366,0,0,624
0,581,5385,16,16,625
0,582,5398,0,0,627
0,583,5410,20,20,628
0,584,5400,12,12,627
0,585,5409,9,9,628
0,586,5415,22,22,629
0,587,5495,18,18,638
0,588,5480,0,0,637
0,589,5465,12,12,635
0,590,5500,16,16,639
0,591,5466,14,14,635
0,592,5492,9,9,638
0,593,5493,11,11,638
0,594,5505,22,22,639
0,595,5668,12,12,658
0,596,5507,0,0,639
0,597,5517,18,18,641
0,598,5601,22,22,650
0,599,5535,0,0,643
0,600,5558,0,0,646
0,601,5587,0,0,649
0,602,5610,9,9,651
0,603,5630,4,4,653
0,604,5616,5,5,652
0,605,5632,0,0,653
0,606,5631,18,18,653
0,607,5623,9,9,653
0,608,5645,9,9,655
0,609,5657,0,0,657
0,610,5656,9,9,657
0,611,5700,22,22,662
0,612,5671,5,5,659
0,613,5680,4,4,659
0,614,5699,0,0,661
0,615,5908,18,18,686
0,616,5809,9,9,675
0,617,5712,0,0,663
0,618,5727,22,22,664
0,619,5726,13,13,664
0,620,5775,0,0,671
0,621,5747,20,20,667
0,622,5740,13,13,666
0,623,5790,22,22,672
0,624,5766,23,23,669
0,625,5753,13,13,668
0,626,5762,16,16,669
0,627,5765,21,21,669
0,628,5782,15,15,671
0,629,5780,13,13,671
0,630,5772,20,20,670
0,631,5799,21,21,673
0,632,5785,16,16,672
0,633,6705,13,13,779
0,634,5828,0,0,677
0,635,5806,16,16,674
0,636,5836,22,22,677
0,637,5830,9,9,677
0,638,5839,16,16,678
0,639,5850,20,20,679
0,640,5848,9,9,679
0,641,5849,22,22,679
0,642,5871,0,0,681
0,643,5868,14,14,681
0,644,5881,22,22,683
0,645,5880,16,16,682
0,646,5885,20,20,683
0,647,6675,9,9,776
0,648,5901,12,12,685
0,649,5903,22,22,685
0,650,5898,24,24,685
0,651,5905,0,0,686
0,652,5906,4,4,686
0,653,5918,5,5,687
0,654,5932,0,0,689
0,655,5940,18,18,690
0,656,5939,16,16,690
0,657,5948,20,20,691
0,658,5946,2,2,690
0,659,5949,24,24,691
0,660,5995,0,0,696
0,661,5994,20,20,695
0,662,6011,16,16,697
0,663,6012,20,20,698
0,664,6014,24,24,698
0,665,6013,22,22,698
0,666,6076,0,0,705
0,667,6072,2,2,704
0,668,6071,1,1,704
0,669,6087,20,20,706
0,670,6091,18,18,707
0,671,6111,0,0,709
0,672,6094,16,16,707
0,673,6102,12,12,708
0,674,6108,2,2,709
0,675,6107,1,1,709
0,676,6125,12,12,711
0,677,6119,20,20,710
0,678,6127,0,0,711
0,679,6131,18,18,712
0,680,6136,22,22,713
0,681,6141,0,0,713
0,682,6212,0,0,722
0,683,6177,3,3,717
0,684,6200,3,3,720
0,685,6196,22,22,720
0,686,6223,22,22,723
0,687,6241,3,3,725
0,688,6254,0,0,727
0,689,6262,18,18,728
0,690,6250,22,22,726
0,691,6255,3,3,727
0,692,6299,15,15,732
0,693,6278,14,14,730
0,694,6346,0,0,738
0,695,6270,3,3,729
0,696,6282,12,12,730
0,697,6294,11,11,732
0,698,6290,20,20,731
0,699,6287,22,22,731
0,700,6315,3,3,734
0,701,6308,4,4,733
0,702,6311,7,7,734
0,703,6338,3,3,737
0,704,6341,2,2,737
0,705,6340,6,6,737
0,706,6382,20,20,741
0,707,6368,0,0,740
0,708,6378,22,22,741
0,709,6390,3,3,742
0,710,6403,8,8,744
0,711,6394,0,0,743
0,712,6413,17,17,745
0,713,6481,0,0,753
0,714,6416,3,3,745
0,715,6432,22,22,747
0,716,6461,3,3,750
0,717,6472,20,20,751
0,718,6469,16,16,751
0,719,6482,3,3,753
0,720,6491,8,8,754
0,721,6548,18,18,760
0,722,6498,22,22,755
0,723,6504,3,3,755
0,724,6520,17,17,757
0,725,6567,0,0,762
0,726,6550,3,3,761
0,727,6568,3,3,763
0,728,6573,2,2,763
0,729,6575,6,6,763
0,730,6628,16,16,770
0,731,6592,18,18,766
0,732,6579,22,22,764
0,733,6598,22,22,766
0,734,6602,3,3,767
0,735,6597,0,0,766
0,736,6594,2,2,766
0,737,6624,18,18,770
0,738,6615,22,22,768
0,739,6623,3,3,769
0,740,6616,4,4,769
0,741,6645,0,0,772
0,742,6647,17,17,772
0,743,6625,22,22,770
0,744,6641,3,3,772
0,745,6772,8,8,787
0,746,6665,22,22,775
0,747,6681,0,0,776
0,748,6686,22,22,777
0,749,6692,17,17,777
0,750,6693,0,0,778
0,751,6713,22,22,780
0,752,6714,0,0,780
0,753,6723,19,19,781
0,754,6727,9,9,782
0,755,6717,13,13,781
0,756,6720,3,3,781
0,757,6724,17,17,781
0,758,6762,0,0,786
0,759,7412,19,19,858
0,760,6773,0,0,788
0,761,6819,0,0,793
0,762,6815,5,5,792
0,763,6829,16,16,794
0,764,6833,12,12,794
0,765,6831,22,22,794
0,766,6826,20,20,794
0,767,6846,0,0,796
0,768,6883,0,0,800
0,769,6872,5,5,799
0,770,6879,4,4,799
0,771,6903,0,0,802
0,772,6926,0,0,804
0,773,6944,16,16,806
0,774,6949,0,0,807
0,775,6959,20,20,808
0,776,6956,9,9,808
0,777,6971,22,22,809
0,778,6960,16,16,808
0,779,6982,0,0,810
0,780,6988,22,22,811
0,781,7006,20,20,813
0,782,7042,0,0,817
