,fromid,nullid,frompos,nullpos,period
0,1,0,2,0,1
1,4,1,1,0,1
2,12,2,18,0,2
3,14,3,22,0,2
4,22,4,0,0,3
5,33,5,0,0,5
6,41,6,18,0,5
7,52,7,0,0,7
8,81,8,18,0,10
9,93,9,0,0,12
10,96,10,16,0,12
11,107,11,20,0,14
12,110,12,0,0,14
13,113,13,23,0,14
14,136,14,1,0,17
15,141,15,0,0,18
16,142,16,18,0,18
17,148,17,22,0,18
18,170,18,23,0,21
19,172,19,16,0,21
20,173,20,20,0,21
21,177,21,14,0,22
22,179,22,0,0,22
23,193,23,22,0,24
24,195,24,18,0,24
25,196,25,16,0,25
26,205,26,0,0,25
27,210,27,23,0,26
28,211,28,20,0,26
29,224,29,0,0,28
30,228,30,18,0,28
31,232,31,22,0,28
32,246,32,22,0,30
33,248,33,18,0,30
34,292,34,0,0,34
35,322,35,18,0,38
36,326,36,0,0,38
37,344,37,22,0,41
38,348,38,18,0,41
39,370,39,0,0,43
40,381,40,0,0,45
41,389,41,18,0,46
42,392,42,22,0,46
43,393,43,16,0,46
44,409,44,22,0,48
45,410,45,18,0,48
46,420,46,0,0,50
47,425,47,18,0,50
48,442,48,14,0,52
49,448,49,22,0,53
50,450,50,9,0,53
51,457,51,14,0,54
52,458,52,15,0,54
53,466,53,9,0,55
54,468,54,16,0,55
55,474,55,0,0,56
56,492,56,18,0,58
57,501,57,0,0,59
58,511,58,5,0,60
59,516,59,4,0,60
60,517,60,18,0,60
61,518,61,20,0,60
62,530,62,18,0,62
63,531,63,22,0,62
64,532,64,14,0,62
65,542,65,0,0,64
66,544,66,5,0,64
67,547,67,4,0,64
68,548,68,20,0,64
69,550,69,18,0,64
70,567,70,0,0,67
71,579,71,18,0,68
72,585,72,16,0,69
73,592,73,20,0,70
74,602,74,23,0,71
75,608,75,16,0,72
76,616,76,0,0,73
77,636,77,0,0,75
78,637,78,18,0,76
79,645,79,22,0,76
80,646,80,5,0,77
81,650,81,4,0,77
82,655,82,0,0,78
83,664,83,18,0,79
84,668,84,22,0,79
85,678,85,18,0,81
86,681,86,20,0,81
87,693,87,18,0,83
88,695,88,0,0,83
89,696,89,22,0,83
90,702,90,14,0,84
91,723,91,20,0,86
92,741,92,0,0,88
93,752,93,0,0,90
94,763,94,12,0,91
95,766,95,24,0,91
96,769,96,20,0,91
97,770,97,16,0,91
98,793,98,0,0,94
99,812,99,20,0,96
100,824,100,12,0,98
101,826,101,0,0,98
102,829,102,14,0,98
103,830,103,19,0,98
104,832,104,17,0,98
105,833,105,22,0,98
106,850,106,22,0,101
107,851,107,19,0,101
108,857,108,0,0,102
109,873,109,20,0,103
110,874,110,22,0,104
111,878,111,12,0,104
112,897,112,17,0,106
113,904,113,19,0,107
114,905,114,22,0,107
115,916,115,17,0,109
116,920,116,19,0,109
117,924,117,12,0,109
118,925,118,22,0,109
119,933,119,16,0,111
120,938,120,12,0,111
121,939,121,0,0,112
122,954,122,22,0,113
123,963,123,2,0,115
124,971,124,1,0,115
125,977,125,14,0,116
126,979,126,20,0,116
127,984,127,3,0,117
128,988,128,0,0,118
129,1024,129,0,0,121
130,1031,130,22,0,122
131,1033,131,18,0,122
132,1041,132,3,0,123
133,1046,133,0,0,124
134,1078,134,0,0,127
135,1090,135,18,0,129
136,1091,136,16,0,129
137,1095,137,0,0,129
138,1096,138,22,0,129
139,1099,139,3,0,130
140,1112,140,0,0,132
141,1117,141,22,0,132
142,1127,142,3,0,133
143,1206,143,1,0,143
144,1214,144,0,0,143
145,1215,145,2,0,143
146,1231,146,0,0,146
147,1258,147,0,0,149
148,1297,148,22,0,153
149,1302,149,18,0,153
150,1311,150,20,0,154
151,1316,151,0,0,155
152,1335,152,18,0,157
153,1337,153,22,0,157
154,1349,154,18,0,159
155,1358,155,0,0,160
156,1387,156,0,0,163
157,1388,157,18,0,163
158,1397,158,14,0,164
159,1426,159,0,0,168
160,1430,160,18,0,168
161,1449,161,16,0,171
162,1450,162,20,0,171
163,1455,163,23,0,171
164,1457,164,0,0,172
165,1478,165,0,0,174
166,1492,166,3,0,176
167,1493,167,13,0,176
168,1499,168,22,0,176
169,1500,169,24,0,176
170,1505,170,20,0,177
171,1507,171,23,0,177
172,1519,172,0,0,179
173,1525,173,16,0,179
174,1526,174,22,0,179
175,1534,175,10,0,180
176,1535,176,20,0,180
177,1536,177,9,0,181
178,1541,178,0,0,181
179,1543,179,23,0,182
180,1561,180,0,0,184
181,1568,181,23,0,184
182,1578,182,22,0,186
183,1583,183,9,0,186
184,1586,184,0,0,187
185,1591,185,23,0,187
186,1600,186,21,0,188
187,1604,187,0,0,189
188,1611,188,23,0,189
189,1627,189,1,0,191
190,1628,190,2,0,191
191,1634,191,21,0,192
192,1644,192,23,0,193
193,1649,193,0,0,194
194,1654,194,23,0,195
195,1659,195,21,0,195
196,1672,196,0,0,197
197,1676,197,20,0,197
198,1687,198,0,0,199
199,1699,199,21,0,200
200,1705,200,16,0,200
201,1708,201,20,0,201
202,1719,202,12,0,202
203,1723,203,9,0,203
204,1728,204,16,0,203
205,1735,205,14,0,205
206,1741,206,22,0,205
207,1753,207,9,0,207
208,1755,208,0,0,207
209,1760,209,12,0,207
210,1771,210,16,0,209
211,1773,211,9,0,209
212,1777,212,22,0,209
213,1778,213,0,0,210
214,1800,214,0,0,212
215,1809,215,16,0,213
216,1810,216,22,0,213
217,1812,217,9,0,213
218,1817,218,14,0,214
219,1823,219,12,0,215
220,1824,220,9,0,215
221,1830,221,22,0,215
222,1849,222,9,0,218
223,1864,223,20,0,219
224,1865,224,22,0,219
225,1866,225,0,0,220
226,1877,226,9,0,221
227,1882,227,22,0,221
228,1884,228,0,0,222
229,1900,229,22,0,223
230,1913,230,0,0,224
231,1916,231,9,0,225
232,1923,232,22,0,225
