,fromid,toid,frompos,topos,period
0,0,21,23,22,1
1,1,23,2,2,1
2,2,19,16,18,1
3,3,22,12,12,1
4,4,23,1,2,1
5,5,20,4,4,1
6,6,18,14,14,1
7,7,16,20,15,1
8,8,17,5,5,1
9,9,21,21,22,1
10,10,17,5,5,1
11,11,20,4,4,1
12,12,23,2,2,1
13,13,22,12,12,1
14,14,22,11,12,1
15,15,16,15,15,1
16,16,31,15,15,2
17,17,33,5,5,2
18,18,27,14,14,2
19,19,25,18,18,2
20,20,30,4,4,2
21,21,25,22,18,2
22,22,29,12,12,2
23,23,28,2,2,2
24,24,44,11,11,3
25,25,42,18,18,3
26,26,46,1,1,3
27,27,51,14,14,3
28,28,43,2,2,3
29,29,48,12,12,3
30,30,47,4,4,3
31,31,45,15,15,3
32,32,49,0,0,3
33,33,47,5,4,3
34,34,47,5,4,3
35,35,52,23,23,3
36,36,53,1,1,3
37,37,50,2,2,3
38,38,48,12,12,3
39,39,47,4,4,3
40,40,51,14,14,3
41,41,54,21,16,3
42,42,68,18,18,4
43,43,61,2,2,4
44,44,69,11,11,4
45,45,57,15,14,4
46,46,67,1,1,4
47,47,59,4,4,4
48,48,58,12,12,4
49,49,56,0,0,4
50,50,61,2,2,4
51,51,57,14,14,4
52,52,65,23,23,4
53,53,63,1,1,4
54,54,64,16,16,4
55,55,62,20,20,4
56,57,75,14,14,5
57,58,77,12,12,5
58,59,73,4,4,5
59,60,76,5,5,5
60,61,74,2,2,5
61,62,80,20,20,5
62,63,72,1,1,5
63,64,78,16,16,5
64,65,81,23,23,5
65,66,79,21,21,5
66,67,87,1,1,5
67,68,86,18,18,5
68,69,88,11,11,5
69,70,73,4,4,5
70,72,95,1,1,6
71,73,98,4,4,6
72,74,97,2,2,6
73,75,94,14,14,6
74,76,104,5,5,6
75,77,99,12,12,6
76,78,96,16,16,6
77,79,101,21,21,6
78,80,100,20,20,6
79,81,100,23,20,6
80,82,103,15,15,6
81,83,104,5,5,6
82,84,90,14,14,6
83,85,89,12,12,6
84,86,93,18,18,6
85,87,92,1,1,6
86,88,91,11,11,6
87,89,117,12,12,7
88,90,106,14,14,7
89,91,117,11,12,7
90,92,118,1,1,7
91,93,109,18,18,7
92,94,114,14,14,7
93,95,118,1,1,7
94,96,119,16,16,7
95,97,113,2,2,7
96,98,112,4,4,7
97,99,117,12,12,7
98,100,116,20,20,7
99,101,120,21,21,7
100,103,110,15,15,7
101,104,108,5,5,7
102,105,133,2,2,8
103,106,125,14,14,8
104,107,124,4,4,8
105,108,123,5,5,8
106,109,122,18,18,8
107,110,125,15,14,8
108,111,122,22,18,8
109,112,126,4,4,8
110,113,133,2,2,8
111,114,128,14,14,8
112,115,123,5,5,8
113,116,129,20,20,8
114,117,132,12,12,8
115,118,131,1,1,8
116,119,130,16,16,8
117,120,130,21,16,8
118,121,139,0,0,9
119,122,148,18,18,9
120,123,146,5,5,9
121,124,140,4,4,9
122,125,147,14,14,9
123,126,140,4,4,9
124,127,139,0,0,9
125,128,138,14,14,9
126,129,136,20,20,9
127,130,135,16,16,9
128,131,137,1,1,9
129,132,134,12,12,9
130,133,141,2,2,9
131,134,153,12,12,10
132,135,164,16,16,10
133,136,161,20,20,10
134,137,163,1,1,10
135,138,160,14,14,10
136,140,159,4,4,10
137,141,158,2,2,10
138,142,157,23,22,10
139,143,162,21,21,10
140,144,153,12,12,10
141,145,152,15,15,10
142,146,151,5,5,10
143,147,156,14,14,10
144,148,154,18,18,10
145,149,157,22,22,10
146,150,151,5,5,10
147,151,168,5,5,11
148,152,169,15,15,11
149,153,181,12,12,11
150,154,167,18,18,11
151,155,172,1,1,11
152,156,165,14,14,11
153,157,173,22,22,11
154,158,180,2,2,11
155,159,170,4,4,11
156,160,178,14,14,11
157,161,175,20,20,11
158,162,173,21,22,11
159,163,179,1,1,11
160,164,177,16,16,11
161,165,185,14,14,12
162,166,182,11,12,12
163,167,191,18,18,12
164,168,188,5,5,12
165,169,190,15,15,12
166,170,188,4,5,12
167,171,187,2,2,12
168,172,192,1,1,12
169,173,189,22,22,12
170,174,186,5,5,12
171,175,190,20,15,12
172,176,193,23,23,12
173,177,183,16,16,12
174,178,185,14,14,12
175,179,192,1,1,12
176,180,187,2,2,12
177,181,182,12,12,12
178,182,194,12,12,13
179,183,202,16,11,13
180,184,198,21,22,13
181,185,196,14,14,13
182,186,203,5,5,13
183,187,197,2,1,13
184,188,203,5,5,13
185,189,198,22,22,13
186,190,195,15,15,13
187,191,199,18,18,13
188,192,197,1,1,13
189,193,198,23,22,13
190,194,205,12,12,14
191,195,209,15,15,14
192,196,208,14,14,14
193,197,212,1,1,14
194,198,210,22,18,14
195,199,210,18,18,14
196,201,204,4,5,14
197,202,211,11,11,14
198,203,204,5,5,14
199,204,222,5,5,15
200,205,215,12,12,15
201,206,225,1,1,15
202,207,224,16,16,15
203,208,217,14,14,15
204,209,217,15,14,15
205,211,215,11,12,15
206,212,225,1,1,15
207,213,220,23,23,15
208,214,218,21,21,15
209,215,226,12,12,16
210,216,229,20,20,16
211,217,227,14,14,16
212,218,235,21,21,16
213,219,233,2,2,16
214,220,228,23,23,16
215,221,229,20,20,16
216,222,234,5,5,16
217,223,231,4,4,16
218,224,230,16,16,16
219,225,236,1,1,16
220,226,238,12,12,17
221,227,239,14,14,17
222,228,248,23,22,17
223,229,246,20,18,17
224,230,246,16,18,17
225,231,240,4,4,17
226,232,241,0,0,17
227,233,237,2,2,17
228,234,244,5,5,17
229,235,242,21,21,17
230,236,243,1,1,17
231,237,252,2,1,18
232,238,253,12,12,18
233,239,256,14,14,18
234,240,258,4,4,18
235,241,249,0,0,18
236,242,251,21,21,18
237,243,252,1,1,18
238,244,255,5,5,18
239,245,259,1,1,18
240,246,265,18,18,18
241,247,264,12,12,18
242,248,263,22,22,18
243,249,275,0,0,19
244,250,272,23,23,19
245,251,273,21,21,19
246,252,268,1,1,19
247,253,266,12,12,19
248,254,270,20,20,19
249,255,271,5,5,19
250,256,269,14,14,19
251,257,267,16,16,19
252,258,274,4,4,19
253,259,268,1,1,19
254,260,269,14,14,19
255,261,271,5,5,19
256,262,266,11,12,19
257,264,266,12,12,19
258,266,282,12,12,20
259,267,287,16,16,20
260,268,283,1,1,20
261,269,278,14,14,20
262,270,281,20,20,20
263,271,279,5,5,20
264,272,280,23,23,20
265,273,285,21,21,20
266,274,284,4,4,20
267,275,286,0,0,20
268,276,277,2,2,20
269,277,305,2,2,21
270,278,300,14,14,21
271,279,303,5,5,21
272,280,302,23,23,21
273,281,306,20,20,21
274,282,299,12,12,21
275,283,308,1,1,21
276,284,304,4,4,21
277,285,307,21,21,21
278,286,318,0,0,21
279,287,301,16,16,21
280,288,304,4,4,21
281,289,318,0,0,21
282,290,317,2,2,21
283,291,315,14,14,21
284,292,309,1,1,21
285,293,313,18,18,21
286,294,316,11,11,21
287,295,310,12,12,21
288,296,314,5,5,21
289,297,311,22,22,21
290,298,312,15,15,21
291,299,319,12,12,22
292,299,329,12,12,22
293,300,323,14,14,22
294,301,325,16,16,22
295,302,324,23,23,22
296,303,327,5,5,22
297,304,326,4,4,22
298,305,322,2,2,22
299,306,332,20,15,22
300,307,328,21,21,22
301,308,320,1,1,22
302,309,320,1,1,22
303,311,330,22,22,22
304,312,332,15,15,22
305,313,330,18,22,22
306,314,333,5,5,22
307,315,331,14,14,22
308,317,335,2,2,22
309,318,321,0,0,22
310,319,346,12,8,23
311,320,343,1,1,23
312,321,351,0,0,23
313,322,345,2,2,23
314,323,337,14,15,23
315,325,342,16,16,23
316,329,346,12,8,23
317,330,340,22,22,23
318,331,337,14,15,23
319,332,337,15,15,23
320,333,338,5,5,23
321,334,339,4,4,23
322,335,345,2,2,23
323,337,352,15,10,24
324,338,353,5,4,24
325,339,353,4,4,24
326,340,355,22,22,24
327,341,356,18,18,24
328,342,357,16,16,24
329,343,358,1,1,24
330,344,352,10,10,24
331,345,354,2,2,24
332,346,362,8,8,24
333,347,353,4,4,24
334,348,355,22,22,24
335,349,363,20,20,24
336,350,353,5,4,24
337,351,359,0,0,24
338,352,375,10,10,25
339,353,377,4,4,25
340,354,376,2,2,25
341,355,373,22,22,25
342,356,372,18,18,25
343,357,382,16,16,25
344,358,374,1,1,25
345,359,379,0,0,25
346,360,382,16,16,25
347,361,369,18,18,25
348,362,367,8,8,25
349,363,383,20,20,25
350,364,366,1,1,25
351,365,385,22,22,26
352,366,396,1,1,26
353,367,390,8,16,26
354,368,386,10,10,26
355,369,387,18,18,26
356,370,394,4,4,26
357,371,394,5,4,26
358,372,389,18,18,26
359,373,391,22,22,26
360,374,396,1,1,26
361,375,388,10,10,26
362,376,393,2,2,26
363,377,394,4,4,26
364,378,394,5,4,26
365,379,395,0,0,26
366,380,390,8,16,26
367,381,392,20,20,26
368,382,390,16,16,26
369,383,384,20,20,26
370,384,397,20,20,27
371,385,404,22,22,27
372,386,399,10,10,27
373,387,398,18,18,27
374,388,399,10,10,27
375,389,398,18,18,27
376,390,400,16,16,27
377,391,404,22,22,27
378,392,397,20,20,27
379,393,401,2,2,27
380,394,406,4,4,27
381,395,403,0,0,27
382,396,402,1,1,27
383,397,418,20,20,28
384,398,416,18,18,28
385,399,415,10,10,28
386,400,417,16,16,28
387,401,411,2,2,28
388,402,413,1,1,28
389,403,410,0,0,28
390,404,414,22,22,28
391,405,408,8,8,28
392,406,412,4,4,28
393,407,409,5,5,28
394,408,438,8,8,29
395,409,432,5,5,29
396,411,435,2,2,29
397,412,434,4,4,29
398,413,436,1,1,29
399,414,433,22,22,29
400,415,440,10,10,29
401,416,437,18,18,29
402,417,439,16,16,29
403,418,431,20,20,29
404,419,426,2,2,29
405,420,427,8,8,29
406,421,430,18,18,29
407,422,429,5,5,29
408,423,433,22,22,29
409,424,428,4,4,29
410,425,462,1,1,30
411,426,461,2,2,30
412,427,454,8,8,30
413,428,457,4,4,30
414,429,456,5,5,30
415,430,459,18,18,30
416,431,455,20,20,30
417,432,449,5,5,30
418,433,446,22,22,30
419,434,444,4,4,30
420,435,450,2,2,30
421,436,451,1,1,30
422,437,448,18,18,30
423,438,445,8,8,30
424,439,453,16,16,30
425,440,447,10,10,30
426,441,458,23,22,30
427,442,454,11,8,30
428,443,460,10,10,30
429,444,469,4,4,31
430,445,465,8,8,31
431,446,466,22,22,31
432,447,481,10,10,31
433,448,480,18,18,31
434,449,470,5,5,31
435,450,468,2,2,31
436,451,467,1,1,31
437,452,471,0,0,31
438,453,479,16,16,31
439,454,474,8,8,31
440,455,464,20,20,31
441,456,473,5,5,31
442,457,469,4,4,31
443,458,476,22,22,31
444,459,478,18,18,31
445,460,475,10,10,31
446,461,468,2,2,31
447,462,477,1,1,31
448,463,472,16,16,31
449,464,483,20,18,32
450,465,488,8,8,32
451,466,487,22,22,32
452,467,484,1,1,32
453,468,485,2,2,32
454,469,490,4,4,32
455,470,489,5,5,32
456,472,486,16,16,32
457,473,489,5,5,32
458,474,488,8,8,32
459,475,482,10,10,32
460,476,487,22,22,32
461,477,484,1,1,32
462,478,483,18,18,32
463,479,486,16,16,32
464,480,483,18,18,32
465,481,482,10,10,32
466,482,504,10,10,33
467,483,507,18,18,33
468,484,497,1,1,33
469,485,492,2,2,33
470,486,494,16,11,33
471,487,506,22,22,33
472,488,494,8,11,33
473,489,495,5,5,33
474,490,493,4,4,33
475,491,517,12,12,34
476,492,526,2,2,34
477,493,521,4,4,34
478,494,518,11,11,34
479,495,522,5,5,34
480,496,514,14,14,34
481,497,519,1,1,34
482,498,515,15,15,34
483,499,516,21,21,34
484,500,513,23,20,34
485,501,523,0,0,34
486,502,511,4,4,34
487,503,526,2,2,34
488,504,510,10,10,34
489,505,508,1,1,34
490,506,525,22,18,34
491,507,525,18,18,34
492,508,528,1,1,35
493,509,534,16,16,35
494,510,539,10,14,35
495,511,530,4,4,35
496,512,537,5,5,35
497,513,538,20,20,35
498,514,541,14,14,35
499,515,531,15,15,35
500,516,532,21,21,35
501,517,540,12,12,35
502,518,527,11,11,35
503,519,528,1,1,35
504,520,533,0,0,35
505,521,530,4,4,35
506,522,542,5,5,35
507,523,533,0,0,35
508,524,527,8,11,35
509,525,536,18,9,35
510,526,529,2,2,35
511,527,547,11,11,36
512,528,553,1,1,36
513,529,548,2,2,36
514,530,544,4,4,36
515,531,545,15,15,36
516,532,550,21,21,36
517,534,559,16,16,36
518,535,556,12,12,36
519,536,558,9,9,36
520,537,555,5,5,36
521,538,554,20,20,36
522,539,563,14,14,36
523,540,546,12,12,36
524,541,552,14,14,36
525,542,551,5,5,36
526,543,549,23,23,36
527,544,566,4,4,37
528,545,573,15,15,37
529,546,572,12,12,37
530,547,565,11,11,37
531,548,570,2,2,37
532,549,569,23,23,37
533,550,568,21,21,37
534,551,571,5,5,37
535,552,573,14,15,37
536,553,564,1,1,37
537,554,578,20,20,37
538,555,577,5,5,37
539,556,575,12,12,37
540,557,581,4,4,37
