,fromid,nullid,frompos,nullpos,period
0,56,0,0,0,5
1,71,1,0,0,5
2,102,2,0,0,7
3,139,3,0,0,10
4,200,4,0,0,14
5,210,5,18,0,15
6,263,6,22,0,19
7,265,7,18,0,19
8,410,8,0,0,29
9,471,9,0,0,32
10,533,10,0,0,36
11,574,11,22,0,38
12,618,12,0,0,41
13,666,13,18,0,43
14,667,14,22,0,43
15,704,15,0,0,46
16,755,16,0,0,50
17,780,17,18,0,51
18,782,18,22,0,51
19,791,19,0,0,52
20,859,20,0,0,56
21,864,21,0,0,56
22,1012,22,0,0,66
23,1020,23,0,0,66
24,1106,24,0,0,72
25,1109,25,19,0,72
26,1121,26,20,0,72
27,1158,27,0,0,75
28,1207,28,16,0,78
29,1208,29,16,0,78
30,1215,30,0,0,78
31,1224,31,14,0,79
32,1228,32,14,0,79
33,1333,33,3,0,85
34,1355,34,3,0,87
35,1386,35,0,0,89
36,1420,36,0,0,91
37,1425,37,3,0,91
38,1449,38,3,0,93
39,1478,39,0,0,95
40,1486,40,10,0,96
41,1495,41,3,0,96
42,1554,42,0,0,100
43,1652,43,0,0,107
44,1775,44,0,0,114
45,1868,45,0,0,119
46,1937,46,16,0,124
47,1945,47,21,0,124
48,1968,48,20,0,125
49,2015,49,22,0,128
50,2051,50,9,0,131
51,2063,51,23,0,132
52,2071,52,0,0,132
53,2072,53,22,0,132
54,2091,54,9,0,133
55,2110,55,0,0,135
56,2111,56,22,0,135
57,2113,57,16,0,135
58,2116,58,9,0,135
59,2146,59,9,0,138
60,2157,60,20,0,138
61,2160,61,0,0,139
62,2191,62,21,0,141
63,2199,63,22,0,141
64,2200,64,16,0,141
65,2228,65,18,0,143
66,2235,66,0,0,144
67,2267,67,12,0,147
68,2269,68,11,0,147
69,2272,69,9,0,147
70,2277,70,16,0,147
71,2282,71,12,0,147
72,2308,72,22,0,149
73,2338,73,0,0,151
74,2377,74,9,0,154
75,2386,75,22,0,154
76,2387,76,0,0,155
77,2445,77,22,0,159
78,2455,78,16,0,159
79,2459,79,0,0,160
80,2536,80,16,0,164
81,2546,81,16,0,164
82,2559,82,0,0,165
83,2614,83,8,0,169
84,2615,84,16,0,169
85,2618,85,12,0,169
86,2620,86,16,0,169
87,2644,87,0,0,171
88,2699,88,0,0,175
89,2740,89,0,0,178
90,3025,90,0,0,198
91,3076,91,0,0,202
92,3204,92,0,0,211
93,3212,93,0,0,211
94,3263,94,24,0,215
95,3276,95,22,0,215
96,3348,96,0,0,220
97,3367,97,22,0,221
98,3393,98,0,0,223
99,3438,99,22,0,226
100,3475,100,0,0,228
101,3509,101,22,0,230
102,3562,102,0,0,234
103,3572,103,9,0,235
104,3595,104,20,0,236
105,3596,105,0,0,236
106,3599,106,20,0,236
107,3636,107,0,0,239
108,3685,108,9,0,241
109,3706,109,9,0,243
110,3759,110,20,0,246
111,3764,111,0,0,246
112,3767,112,20,0,246
113,3771,113,0,0,246
114,3774,114,2,0,247
115,3776,115,1,0,247
116,3816,116,0,0,250
117,3870,117,0,0,254
118,3973,118,0,0,260
119,4050,119,20,0,266
120,4053,120,16,0,266
121,4064,121,0,0,268
122,4075,122,0,0,268
123,4095,123,22,0,270
124,4096,124,24,0,270
125,4100,125,22,0,270
126,4114,126,9,0,272
127,4177,127,9,0,276
128,4193,128,20,0,277
129,4195,129,0,0,277
130,4245,130,9,0,280
131,4252,131,20,0,281
132,4264,132,0,0,282
133,4267,133,0,0,282
134,4291,134,0,0,284
135,4300,135,9,0,284
136,4312,136,20,0,285
137,4338,137,16,0,286
138,4365,138,16,0,288
139,4382,139,0,0,290
140,4395,140,9,0,290
141,4421,141,16,0,292
142,4424,142,23,0,292
143,4467,143,0,0,294
144,4502,144,21,0,297
145,4514,145,21,0,297
146,4542,146,0,0,299
147,4554,147,0,0,301
148,4693,148,3,0,309
149,4711,149,0,0,309
