,gid,plaid,posid,teamid,teamname,period,newpos,newposname,8pos,8posname
0,0,4319,23,783,Uruguay,1,3,Fw,7,FW
1,1,5259,2,783,Uruguay,1,1,Def,2,CB
2,2,5247,16,783,Uruguay,1,2,Mid,4,RSM
3,3,5255,12,783,Uruguay,1,2,Mid,5,CM
4,4,5264,1,783,Uruguay,1,1,Def,1,RSB
5,5,5249,4,783,Uruguay,1,1,Def,2,CB
6,6,5260,14,783,Uruguay,1,2,Mid,5,CM
7,7,5258,20,783,Uruguay,1,2,Mid,6,LSM
8,8,5248,5,783,Uruguay,1,1,Def,3,LSB
9,9,5261,15,774,Egypt,1,2,Mid,6,LSM
10,10,5263,5,774,Egypt,1,1,Def,3,LSB
11,11,5262,14,774,Egypt,1,2,Mid,5,CM
12,12,5251,18,774,Egypt,1,2,Mid,5,CM
13,13,4063,4,774,Egypt,1,1,Def,2,CB
14,14,5252,22,774,Egypt,1,3,Fw,7,FW
15,15,5253,11,774,Egypt,1,2,Mid,4,RSM
16,16,5250,1,774,Egypt,1,1,Def,1,RSB
17,17,5254,2,774,Egypt,1,1,Def,2,CB
18,18,3568,12,774,Egypt,1,2,Mid,5,CM
19,19,5265,0,774,Egypt,2,0,GK,0,GK
20,20,4063,4,774,Egypt,2,1,Def,2,CB
21,21,5262,14,774,Egypt,2,2,Mid,5,CM
22,22,3568,12,774,Egypt,2,2,Mid,5,CM
23,23,5263,5,774,Egypt,2,1,Def,3,LSB
24,24,5261,15,774,Egypt,2,2,Mid,6,LSM
25,25,5254,2,774,Egypt,2,1,Def,2,CB
26,26,5250,1,774,Egypt,2,1,Def,1,RSB
27,27,5251,18,774,Egypt,2,2,Mid,5,CM
28,28,5248,5,783,Uruguay,2,1,Def,3,LSB
29,29,4319,23,783,Uruguay,2,3,Fw,7,FW
30,30,5264,1,783,Uruguay,2,1,Def,1,RSB
31,31,5259,2,783,Uruguay,2,1,Def,2,CB
32,32,5255,12,783,Uruguay,2,2,Mid,5,CM
33,33,5249,4,783,Uruguay,2,1,Def,2,CB
34,34,5260,14,783,Uruguay,2,2,Mid,5,CM
35,35,5246,21,783,Uruguay,2,3,Fw,7,FW
36,36,5267,0,783,Uruguay,2,0,GK,0,GK
37,37,5247,16,783,Uruguay,2,2,Mid,4,RSM
38,38,5258,20,783,Uruguay,2,2,Mid,6,LSM
39,39,5264,1,783,Uruguay,3,1,Def,1,RSB
40,40,5249,4,783,Uruguay,3,1,Def,2,CB
41,41,5259,2,783,Uruguay,3,1,Def,2,CB
42,42,5260,14,783,Uruguay,3,2,Mid,5,CM
43,43,5248,5,783,Uruguay,3,1,Def,3,LSB
44,44,5255,12,783,Uruguay,3,2,Mid,5,CM
45,45,5247,16,783,Uruguay,3,2,Mid,4,RSM
46,46,5246,21,783,Uruguay,3,3,Fw,7,FW
47,47,5258,20,783,Uruguay,3,2,Mid,6,LSM
48,48,4319,23,783,Uruguay,3,3,Fw,7,FW
49,49,5261,15,774,Egypt,3,2,Mid,6,LSM
50,50,5263,5,774,Egypt,3,1,Def,3,LSB
51,51,5262,14,774,Egypt,3,2,Mid,5,CM
52,52,3568,12,774,Egypt,3,2,Mid,5,CM
53,53,5251,18,774,Egypt,3,2,Mid,5,CM
54,54,5250,1,774,Egypt,3,1,Def,1,RSB
55,55,5253,11,774,Egypt,3,2,Mid,4,RSM
56,56,5260,14,783,Uruguay,4,2,Mid,5,CM
57,57,5264,1,783,Uruguay,4,1,Def,1,RSB
58,58,5247,16,783,Uruguay,4,2,Mid,4,RSM
59,59,5259,2,783,Uruguay,4,1,Def,2,CB
60,60,5249,4,783,Uruguay,4,1,Def,2,CB
61,61,5255,12,783,Uruguay,4,2,Mid,5,CM
62,62,5258,20,783,Uruguay,4,2,Mid,6,LSM
63,63,5246,21,783,Uruguay,4,3,Fw,7,FW
64,64,5267,0,783,Uruguay,4,0,GK,0,GK
65,65,5255,12,783,Uruguay,5,2,Mid,5,CM
66,66,5247,16,783,Uruguay,5,2,Mid,4,RSM
67,67,5258,20,783,Uruguay,5,2,Mid,6,LSM
68,68,5264,1,783,Uruguay,5,1,Def,1,RSB
69,69,5260,14,783,Uruguay,5,2,Mid,5,CM
70,70,5267,0,783,Uruguay,5,0,GK,0,GK
71,71,5249,4,783,Uruguay,5,1,Def,2,CB
72,72,5259,2,783,Uruguay,5,1,Def,2,CB
73,73,4319,23,783,Uruguay,5,3,Fw,7,FW
74,74,5246,21,783,Uruguay,5,3,Fw,7,FW
75,75,5248,5,783,Uruguay,5,1,Def,3,LSB
76,76,5262,14,774,Egypt,5,2,Mid,5,CM
77,77,5253,11,774,Egypt,5,2,Mid,4,RSM
78,78,5251,18,774,Egypt,5,2,Mid,5,CM
79,79,5263,5,774,Egypt,5,1,Def,3,LSB
80,80,5261,15,774,Egypt,5,2,Mid,6,LSM
81,81,4063,4,774,Egypt,5,1,Def,2,CB
82,82,5254,2,774,Egypt,5,1,Def,2,CB
83,83,5250,1,774,Egypt,5,1,Def,1,RSB
84,84,5252,22,774,Egypt,5,3,Fw,7,FW
85,85,5265,0,774,Egypt,6,0,GK,0,GK
86,86,4063,4,774,Egypt,6,1,Def,2,CB
87,87,3878,14,774,Egypt,6,2,Mid,5,CM
88,88,5251,18,774,Egypt,6,2,Mid,5,CM
89,89,5250,1,774,Egypt,6,1,Def,1,RSB
90,90,3568,12,774,Egypt,6,2,Mid,5,CM
91,91,5253,11,774,Egypt,6,2,Mid,4,RSM
92,92,5263,5,774,Egypt,6,1,Def,3,LSB
93,93,5252,22,774,Egypt,6,3,Fw,7,FW
94,94,5261,15,774,Egypt,6,2,Mid,6,LSM
95,95,5248,5,783,Uruguay,6,1,Def,3,LSB
96,96,5255,12,783,Uruguay,6,2,Mid,5,CM
97,97,5264,1,783,Uruguay,6,1,Def,1,RSB
98,98,5247,16,783,Uruguay,6,2,Mid,4,RSM
99,99,5260,14,783,Uruguay,6,2,Mid,5,CM
100,100,5255,12,783,Uruguay,7,2,Mid,5,CM
101,101,5260,14,783,Uruguay,7,2,Mid,5,CM
102,102,4319,23,783,Uruguay,7,3,Fw,7,FW
103,103,5256,20,783,Uruguay,7,2,Mid,6,LSM
104,104,5268,16,783,Uruguay,7,2,Mid,4,RSM
105,105,5249,4,783,Uruguay,7,1,Def,2,CB
106,106,5267,0,783,Uruguay,7,0,GK,0,GK
107,107,5259,2,783,Uruguay,7,1,Def,2,CB
108,108,5248,5,783,Uruguay,7,1,Def,3,LSB
109,109,5246,21,783,Uruguay,7,3,Fw,7,FW
110,110,5264,1,783,Uruguay,7,1,Def,1,RSB
111,111,5248,5,783,Uruguay,8,1,Def,3,LSB
112,112,5249,4,783,Uruguay,8,1,Def,2,CB
113,113,5264,1,783,Uruguay,8,1,Def,1,RSB
114,114,5255,12,783,Uruguay,8,2,Mid,5,CM
115,115,5268,16,783,Uruguay,8,2,Mid,4,RSM
116,116,5256,20,783,Uruguay,8,2,Mid,6,LSM
117,117,5246,21,783,Uruguay,8,3,Fw,7,FW
118,118,4319,23,783,Uruguay,8,3,Fw,7,FW
119,119,5250,1,774,Egypt,8,1,Def,1,RSB
120,120,3878,14,774,Egypt,8,2,Mid,5,CM
121,121,5263,5,774,Egypt,8,1,Def,3,LSB
122,122,5253,11,774,Egypt,8,2,Mid,4,RSM
123,123,5257,22,774,Egypt,8,3,Fw,7,FW
124,124,3568,12,774,Egypt,8,2,Mid,5,CM
125,125,5251,18,774,Egypt,8,2,Mid,5,CM
126,126,5260,14,783,Uruguay,8,2,Mid,5,CM
127,127,5267,0,783,Uruguay,8,0,GK,0,GK
128,128,5259,2,783,Uruguay,8,1,Def,2,CB
129,129,5259,2,783,Uruguay,9,1,Def,2,CB
130,130,5260,14,783,Uruguay,9,2,Mid,5,CM
131,131,5248,5,783,Uruguay,9,1,Def,3,LSB
132,132,4319,23,783,Uruguay,9,3,Fw,7,FW
133,133,5256,20,783,Uruguay,9,2,Mid,6,LSM
134,134,5255,12,783,Uruguay,9,2,Mid,5,CM
135,135,5264,1,783,Uruguay,9,1,Def,1,RSB
136,136,5249,4,783,Uruguay,9,1,Def,2,CB
137,137,5246,21,783,Uruguay,9,3,Fw,7,FW
138,138,5267,0,783,Uruguay,9,0,GK,0,GK
139,139,5268,16,783,Uruguay,9,2,Mid,4,RSM
140,140,4063,4,774,Egypt,9,1,Def,2,CB
141,141,5265,0,774,Egypt,9,0,GK,0,GK
142,142,5254,2,774,Egypt,9,1,Def,2,CB
143,143,3878,14,774,Egypt,9,2,Mid,5,CM
144,144,5250,1,774,Egypt,9,1,Def,1,RSB
145,145,5251,18,774,Egypt,9,2,Mid,5,CM
146,146,5253,11,774,Egypt,9,2,Mid,4,RSM
147,147,3568,12,774,Egypt,9,2,Mid,5,CM
148,148,5263,5,774,Egypt,9,1,Def,3,LSB
149,149,5257,22,774,Egypt,9,3,Fw,7,FW
150,150,5261,15,774,Egypt,9,2,Mid,6,LSM
151,151,5249,4,783,Uruguay,10,1,Def,2,CB
152,152,5255,12,783,Uruguay,10,2,Mid,5,CM
153,153,5259,2,783,Uruguay,10,1,Def,2,CB
154,154,5260,14,783,Uruguay,10,2,Mid,5,CM
155,155,5248,5,783,Uruguay,10,1,Def,3,LSB
156,156,5256,20,783,Uruguay,10,2,Mid,6,LSM
157,157,4319,23,783,Uruguay,10,3,Fw,7,FW
158,158,5246,21,783,Uruguay,10,3,Fw,7,FW
159,159,5268,16,783,Uruguay,10,2,Mid,4,RSM
160,160,5264,1,783,Uruguay,10,1,Def,1,RSB
161,161,5250,1,774,Egypt,10,1,Def,1,RSB
162,162,3568,12,774,Egypt,10,2,Mid,5,CM
163,163,5257,22,774,Egypt,10,3,Fw,7,FW
164,164,5261,15,774,Egypt,10,2,Mid,6,LSM
165,165,5251,18,774,Egypt,10,2,Mid,5,CM
166,166,5263,5,774,Egypt,10,1,Def,3,LSB
167,167,3878,14,774,Egypt,10,2,Mid,5,CM
168,168,3536,11,774,Egypt,10,2,Mid,4,RSM
169,169,5254,2,774,Egypt,10,1,Def,2,CB
170,170,5265,0,774,Egypt,10,0,GK,0,GK
171,171,5571,20,794,Mexico,10,2,Mid,6,LSM
172,172,5575,8,794,Mexico,10,1,Def,4,RSM
173,173,5567,1,794,Mexico,10,1,Def,1,RSB
174,174,5564,2,794,Mexico,10,1,Def,2,CB
175,175,5573,4,794,Mexico,10,1,Def,2,CB
176,176,5576,5,794,Mexico,10,1,Def,3,LSB
177,177,5577,0,794,Mexico,10,0,GK,0,GK
178,178,5556,16,794,Mexico,10,2,Mid,4,RSM
179,179,5560,18,794,Mexico,10,2,Mid,5,CM
180,180,5560,18,794,Mexico,11,2,Mid,5,CM
181,181,3058,22,794,Mexico,11,3,Fw,7,FW
182,182,5567,1,794,Mexico,11,1,Def,1,RSB
183,183,5563,10,794,Mexico,11,1,Def,6,LSM
184,184,5564,2,794,Mexico,11,1,Def,2,CB
185,185,5573,4,794,Mexico,11,1,Def,2,CB
186,186,5576,5,794,Mexico,11,1,Def,3,LSB
187,187,5577,0,794,Mexico,11,0,GK,0,GK
188,188,5575,8,794,Mexico,11,1,Def,4,RSM
189,189,5571,20,794,Mexico,11,2,Mid,6,LSM
190,190,5556,16,794,Mexico,11,2,Mid,4,RSM
191,191,5573,4,794,Mexico,12,1,Def,2,CB
192,192,5564,2,794,Mexico,12,1,Def,2,CB
193,193,5567,1,794,Mexico,12,1,Def,1,RSB
194,194,5575,8,794,Mexico,12,1,Def,4,RSM
195,195,5556,16,794,Mexico,12,2,Mid,4,RSM
196,196,5563,10,794,Mexico,12,1,Def,6,LSM
197,197,5571,20,794,Mexico,12,2,Mid,6,LSM
198,198,5608,1,791,South Korea,12,1,Def,1,RSB
199,199,5606,2,791,South Korea,12,1,Def,2,CB
200,200,5988,8,791,South Korea,12,1,Def,4,RSM
201,201,5604,4,791,South Korea,12,1,Def,2,CB
202,202,5610,5,791,South Korea,12,1,Def,3,LSB
