,nullid,toid,nullpos,topos,period
0,0,64,0,0,4
0,1,64,0,0,4
0,2,78,18,18,5
0,3,125,18,18,8
0,4,123,22,22,8
0,5,226,0,0,13
0,6,294,0,0,17
0,7,294,0,0,17
0,8,342,0,0,20
0,9,342,0,0,20
0,10,385,0,0,23
0,11,398,22,22,23
0,12,390,18,18,23
0,13,542,22,22,32
0,13,548,22,22,32
0,14,542,22,22,32
0,14,548,22,22,32
0,15,567,0,0,34
0,15,572,0,0,34
0,16,611,0,0,36
0,17,611,0,0,36
0,18,591,16,16,35
0,18,592,16,16,35
0,18,602,16,16,35
0,19,669,3,3,39
0,20,735,0,0,44
0,21,877,3,3,51
0,22,868,0,0,51
0,23,893,20,20,53
0,23,906,20,20,53
0,24,892,16,16,53
0,24,904,16,16,53
0,25,937,22,22,55
0,26,962,0,0,57
0,26,966,0,0,57
0,27,962,0,0,57
0,27,966,0,0,57
0,28,991,22,22,60
0,29,992,9,9,60
0,30,979,21,21,58
0,31,1001,0,0,61
0,32,1006,12,12,61
0,33,1025,22,22,62
0,34,1066,0,0,65
0,35,1094,9,9,66
0,36,1120,22,22,67
0,37,1148,0,0,69
0,37,1153,0,0,69
0,38,1212,0,0,72
0,39,1296,0,0,77
0,40,1501,0,0,92
0,41,1501,0,0,92
0,42,1505,22,22,93
0,43,1573,0,0,96
0,44,1573,0,0,96
0,45,1601,0,0,98
0,45,1612,0,0,98
0,46,1692,0,0,103
0,47,1682,9,9,103
0,48,1729,20,20,105
0,48,1731,20,20,105
0,48,1741,20,20,105
0,49,1728,22,22,105
0,49,1738,22,22,105
0,49,1742,22,22,105
0,50,1892,9,9,114
0,51,1728,22,22,105
0,51,1738,22,22,105
0,51,1742,22,22,105
0,52,1799,0,0,108
0,53,1834,0,0,110
0,54,1902,0,0,115
0,54,1910,0,0,115
0,55,1973,9,9,119
0,56,1992,0,0,120
0,56,2000,0,0,120
0,57,2019,20,20,121
0,58,2025,9,9,122
0,59,2298,9,9,137
0,60,2144,0,0,129
0,61,2338,3,3,139
0,62,2310,0,0,138
0,63,2371,0,0,142
0,64,2371,0,0,142
0,65,2410,0,0,145
0,66,2409,12,12,145
0,67,2539,0,0,152
0,68,2539,0,0,152
0,69,2853,3,3,173
0,70,2627,0,0,158
0,71,2667,0,0,161
0,71,2678,0,0,161
0,72,2667,0,0,161
0,72,2678,0,0,161
0,73,2709,0,0,163
0,74,2709,0,0,163
0,75,2760,22,22,166
0,76,2760,22,22,166
0,77,2838,0,0,172
0,78,2860,18,18,174
0,79,2875,22,22,175
0,80,2870,3,3,175
0,81,2905,16,16,177
0,81,2913,16,16,177
0,81,2914,16,16,177
0,82,2931,0,0,178
0,82,2935,0,0,178
0,83,3474,3,3,208
0,84,3035,0,0,184
0,85,3035,0,0,184
0,86,3047,9,9,185
0,87,3203,0,0,194
0,88,3203,0,0,194
0,89,3781,13,13,226
0,90,3432,0,0,206
0,91,3511,0,0,211
0,92,3511,0,0,211
0,93,3512,3,3,211
0,94,3544,15,15,212
0,95,3574,0,0,214
0,96,3639,0,0,218
0,96,3647,0,0,218
0,97,3685,0,0,221
0,97,3690,0,0,221
0,98,3685,0,0,221
0,98,3690,0,0,221
0,99,3806,0,0,228
0,100,3840,0,0,230
0,100,3856,0,0,230
0,101,3934,0,0,236
0,102,3934,0,0,236
0,103,3945,22,22,237
0,104,3976,0,0,239
0,105,4029,0,0,243
0,106,4187,16,16,254
0,106,4194,16,16,254
0,107,4187,16,16,254
0,107,4194,16,16,254
0,108,4123,3,3,249
0,109,4096,22,22,247
0,110,4085,0,0,247
0,111,4148,9,9,251
0,112,4140,0,0,250
0,113,4185,3,3,254
0,114,4171,0,0,252
0,115,4218,0,0,255
0,116,4221,20,20,256
0,116,4232,20,20,256
0,116,4237,20,20,256
0,117,4247,0,0,257
0,117,4248,0,0,257
0,118,4297,22,22,260
0,119,4672,3,3,285
0,120,4410,0,0,268
0,121,4495,0,0,274
0,122,4564,0,0,278
0,123,4593,0,0,280
0,123,4597,0,0,280
0,124,4675,0,0,285
0,125,4670,9,9,285
0,126,4806,22,22,295
0,127,4772,18,18,292
0,128,4697,23,23,287
0,129,4691,20,20,286
0,130,5035,9,9,309
0,131,4720,0,0,289
0,132,4726,5,5,290
0,132,4732,5,5,290
0,132,4749,5,5,290
0,133,4731,4,4,290
0,133,4736,4,4,290
0,133,4748,4,4,290
0,134,4797,0,0,294
0,135,4807,18,18,295
0,136,4817,0,0,296
0,136,4826,0,0,296
0,137,4969,18,18,304
0,138,4963,0,0,304
0,138,4965,0,0,304
0,139,4968,22,22,304
0,140,4963,0,0,304
0,140,4965,0,0,304
0,141,5021,0,0,308
0,142,5021,0,0,308
0,143,5086,0,0,313
0,144,5184,0,0,320
0,145,5194,22,22,321
0,146,5366,9,9,332
0,147,5249,0,0,324
0,148,5330,0,0,330
0,148,5341,0,0,330
0,149,5372,22,22,332
0,150,5712,18,18,354
0,151,5404,9,9,335
0,151,5413,9,9,335
0,152,5407,22,22,335
0,153,5470,22,22,339
0,154,5463,23,23,339
0,155,5502,0,0,342
0,156,5492,23,23,341
0,157,5513,22,22,342
0,158,5572,0,0,346
0,159,5584,22,22,346
0,160,5609,22,22,348
0,161,5678,22,22,352
0,162,5746,0,0,357
0,163,5796,0,0,360
0,164,5936,3,3,369
0,165,5905,22,22,367
0,166,5874,18,18,365
0,167,5889,0,0,366
0,168,6019,0,0,373
0,168,6030,0,0,373
0,169,6019,0,0,373
0,169,6030,0,0,373
0,170,6058,20,20,375
