,index,frompos,topos,frompla,topla,possesteam,teamname,playNum,period,gameid,fromid,toid
0,0,22,9,5472,5469,785,Croatia,1,1,8658,0,1
1,1,12,1,5463,5461,785,Croatia,1,1,8658,2,3
2,2,0,22,3444,5472,785,Croatia,1,1,8658,4,0
3,3,20,14,5474,5470,785,Croatia,1,1,8658,5,6
4,4,14,5,5470,5457,785,Croatia,1,1,8658,6,7
5,5,5,9,5457,5469,785,Croatia,1,1,8658,7,1
6,6,9,20,5469,5474,785,Croatia,1,1,8658,1,5
7,7,20,4,5474,5468,785,Croatia,1,1,8658,5,8
8,8,4,12,5468,5463,785,Croatia,1,1,8658,8,2
9,9,12,4,5463,5468,785,Croatia,1,1,8658,2,8
10,10,4,14,5468,5470,785,Croatia,1,1,8658,8,6
11,11,14,4,5470,5468,785,Croatia,1,1,8658,6,8
12,12,4,2,5468,3471,785,Croatia,1,1,8658,8,9
13,13,14,20,5470,5474,785,Croatia,1,1,8658,6,5
14,14,9,5,5469,5457,785,Croatia,2,1,8658,1,7
15,15,5,22,5457,5472,785,Croatia,2,1,8658,7,0
16,16,5,22,5457,5472,785,Croatia,2,1,8658,7,0
17,17,22,14,5472,5470,785,Croatia,2,1,8658,0,6
18,18,9,4,5469,5468,785,Croatia,2,1,8658,1,8
19,19,4,9,5468,5469,785,Croatia,2,1,8658,8,1
20,20,9,14,5469,5470,785,Croatia,2,1,8658,1,6
21,21,14,9,5470,5469,785,Croatia,2,1,8658,6,1
22,22,9,2,5469,3471,785,Croatia,2,1,8658,1,9
23,23,2,4,3471,5468,785,Croatia,2,1,8658,9,8
24,24,4,14,5468,5470,785,Croatia,2,1,8658,8,6
25,25,14,16,5470,5465,785,Croatia,2,1,8658,6,10
26,26,16,1,5465,5461,785,Croatia,2,1,8658,10,3
27,27,16,1,5465,5461,785,Croatia,2,1,8658,10,3
28,28,1,14,5461,5470,785,Croatia,2,1,8658,3,6
29,29,1,12,5461,5463,785,Croatia,2,1,8658,3,2
30,30,12,1,5463,5461,785,Croatia,2,1,8658,2,3
31,31,4,10,5492,3961,771,France,3,1,8658,11,12
32,32,0,2,3099,5485,771,France,3,1,8658,13,14
33,33,2,8,5485,20004,771,France,3,1,8658,14,15
34,34,8,4,20004,5492,771,France,3,1,8658,15,11
35,35,4,10,5492,3961,771,France,3,1,8658,11,12
36,36,10,4,3961,5492,771,France,3,1,8658,12,11
37,37,4,10,5492,3961,771,France,3,1,8658,11,12
38,38,10,8,3961,20004,771,France,3,1,8658,12,15
39,39,8,1,20004,5476,771,France,3,1,8658,15,16
40,40,1,2,5476,5485,771,France,3,1,8658,16,14
41,41,2,4,5485,5492,771,France,3,1,8658,14,11
42,42,4,15,5492,4375,771,France,3,1,8658,11,17
43,43,15,5,4375,5484,771,France,3,1,8658,17,18
44,44,12,9,5463,5469,785,Croatia,4,2,8658,19,20
45,45,14,12,5470,5463,785,Croatia,4,2,8658,21,19
46,46,12,5,5463,5457,785,Croatia,4,2,8658,19,22
47,47,5,20,5457,5474,785,Croatia,4,2,8658,22,23
48,48,20,16,5474,5465,785,Croatia,4,2,8658,23,24
49,49,9,4,5469,5468,785,Croatia,4,2,8658,20,25
50,50,4,9,5468,5469,785,Croatia,4,2,8658,25,20
51,51,9,14,5469,5470,785,Croatia,4,2,8658,20,21
52,52,14,9,5470,5469,785,Croatia,4,2,8658,21,20
53,53,9,2,5469,3471,785,Croatia,4,2,8658,20,26
54,54,2,12,3471,5463,785,Croatia,4,2,8658,26,19
55,55,12,1,5463,5461,785,Croatia,4,2,8658,19,27
56,56,1,2,5461,3471,785,Croatia,4,2,8658,27,26
57,57,2,9,3471,5469,785,Croatia,4,2,8658,26,20
58,58,9,1,5469,5461,785,Croatia,4,2,8658,20,27
59,59,12,2,5463,3471,785,Croatia,4,2,8658,19,26
60,60,2,9,3471,5469,785,Croatia,4,2,8658,26,20
61,61,9,14,5469,5470,785,Croatia,4,2,8658,20,21
62,62,14,20,5470,5474,785,Croatia,4,2,8658,21,23
63,63,9,12,5469,5463,785,Croatia,5,2,8658,20,19
64,64,12,9,5463,5469,785,Croatia,5,2,8658,19,20
65,65,9,1,5469,5461,785,Croatia,5,2,8658,20,27
66,66,1,2,5461,3471,785,Croatia,5,2,8658,27,26
67,67,2,4,3471,5468,785,Croatia,5,2,8658,26,25
68,68,4,2,5468,3471,785,Croatia,5,2,8658,25,26
69,69,2,12,3471,5463,785,Croatia,5,2,8658,26,19
70,70,12,1,5463,5461,785,Croatia,5,2,8658,19,27
71,71,22,12,5472,5463,785,Croatia,5,2,8658,28,19
72,72,12,1,5463,5461,785,Croatia,5,2,8658,19,27
73,73,9,1,5469,5461,785,Croatia,5,2,8658,20,27
74,74,1,2,5461,3471,785,Croatia,5,2,8658,27,26
75,75,2,14,3471,5470,785,Croatia,5,2,8658,26,21
76,76,14,16,5470,5465,785,Croatia,5,2,8658,21,24
77,77,12,2,5463,3471,785,Croatia,5,2,8658,19,26
78,78,22,16,5472,5465,785,Croatia,6,2,8658,28,24
79,79,1,9,5461,5469,785,Croatia,6,2,8658,27,20
80,80,9,1,5469,5461,785,Croatia,6,2,8658,20,27
81,81,1,9,5461,5469,785,Croatia,6,2,8658,27,20
82,82,9,2,5469,3471,785,Croatia,6,2,8658,20,26
83,83,2,4,3471,5468,785,Croatia,6,2,8658,26,25
84,84,4,14,5468,5470,785,Croatia,6,2,8658,25,21
85,85,14,5,5470,5457,785,Croatia,6,2,8658,21,22
86,86,5,14,5457,5470,785,Croatia,6,2,8658,22,21
87,87,14,9,5470,5469,785,Croatia,6,2,8658,21,20
88,88,9,12,5469,5463,785,Croatia,6,2,8658,20,19
89,89,12,9,5463,5469,785,Croatia,6,2,8658,19,20
90,90,16,1,5465,5461,785,Croatia,6,2,8658,24,27
91,91,12,9,5463,5469,785,Croatia,6,2,8658,19,20
92,92,9,12,5469,5463,785,Croatia,6,2,8658,20,19
93,93,12,16,5463,5465,785,Croatia,6,2,8658,19,24
94,94,9,1,5469,5461,785,Croatia,7,3,8658,29,30
95,95,1,12,5461,5463,785,Croatia,7,3,8658,30,31
96,96,12,14,5463,5470,785,Croatia,7,3,8658,31,32
97,97,14,4,5470,5468,785,Croatia,7,3,8658,32,33
98,98,4,9,5468,5469,785,Croatia,7,3,8658,33,29
99,99,9,14,5469,5470,785,Croatia,7,3,8658,29,32
100,100,14,12,5470,5463,785,Croatia,7,3,8658,32,31
101,101,5,20,5457,5474,785,Croatia,7,3,8658,34,35
102,102,5,14,5457,5470,785,Croatia,7,3,8658,34,32
103,103,14,22,5470,5472,785,Croatia,7,3,8658,32,36
104,104,5,20,5457,5474,785,Croatia,7,3,8658,34,35
105,105,4,12,5468,5463,785,Croatia,7,3,8658,33,31
106,106,4,8,5492,20004,771,France,8,3,8658,37,38
107,107,8,11,20004,3009,771,France,8,3,8658,38,39
108,108,11,8,3009,20004,771,France,8,3,8658,39,38
109,109,8,10,20004,5737,771,France,8,3,8658,38,40
110,110,10,4,5737,5492,771,France,8,3,8658,40,37
111,111,4,10,5492,5737,771,France,8,3,8658,37,40
112,112,10,2,5737,5485,771,France,8,3,8658,40,41
113,113,2,1,5485,5476,771,France,8,3,8658,41,42
114,114,1,2,5476,5485,771,France,8,3,8658,42,41
115,115,2,10,5485,5737,771,France,8,3,8658,41,40
116,116,10,8,5737,20004,771,France,8,3,8658,40,38
117,117,8,10,20004,5737,771,France,8,3,8658,38,40
118,118,8,23,20004,3604,771,France,8,3,8658,38,43
119,119,1,20,5461,5474,785,Croatia,9,3,8658,30,35
120,120,20,22,5474,5472,785,Croatia,9,3,8658,35,36
121,121,14,12,5470,5463,785,Croatia,9,3,8658,32,31
122,122,12,22,5463,5472,785,Croatia,9,3,8658,31,36
123,123,22,20,5472,5474,785,Croatia,9,3,8658,36,35
124,124,20,12,5474,5463,785,Croatia,9,3,8658,35,31
125,125,12,1,5463,5461,785,Croatia,9,3,8658,31,30
126,126,1,20,5461,5474,785,Croatia,9,3,8658,30,35
127,127,20,12,5474,5463,785,Croatia,9,3,8658,35,31
128,128,12,9,5463,5469,785,Croatia,9,3,8658,31,29
129,129,9,14,5469,5470,785,Croatia,9,3,8658,29,32
130,130,14,2,5470,3471,785,Croatia,9,3,8658,32,44
131,131,2,14,3471,5470,785,Croatia,9,3,8658,44,32
132,132,14,5,5470,5457,785,Croatia,9,3,8658,32,34
133,133,5,9,5457,5469,785,Croatia,9,3,8658,34,29
134,134,9,1,5469,5461,785,Croatia,9,3,8658,29,30
135,135,4,5,5468,5459,785,Croatia,10,4,8658,45,46
136,136,5,4,5459,5468,785,Croatia,10,4,8658,46,45
137,137,4,2,5468,3471,785,Croatia,10,4,8658,45,47
138,138,2,1,3471,5461,785,Croatia,10,4,8658,47,48
139,139,1,2,5461,3471,785,Croatia,10,4,8658,48,47
140,140,2,9,3471,5469,785,Croatia,10,4,8658,47,49
141,141,9,20,5469,5474,785,Croatia,10,4,8658,49,50
142,142,20,14,5474,5470,785,Croatia,10,4,8658,50,51
143,143,2,14,3471,5470,785,Croatia,10,4,8658,47,51
144,144,14,4,5470,5468,785,Croatia,10,4,8658,51,45
145,145,4,1,5468,5461,785,Croatia,10,4,8658,45,48
146,146,1,5,5461,5459,785,Croatia,10,4,8658,48,46
147,147,1,12,5461,5463,785,Croatia,11,4,8658,48,52
148,148,12,9,5463,5469,785,Croatia,11,4,8658,52,49
149,149,9,1,5469,5461,785,Croatia,11,4,8658,49,48
150,150,1,9,5461,5469,785,Croatia,11,4,8658,48,49
151,151,9,12,5469,5463,785,Croatia,11,4,8658,49,52
152,152,12,16,5463,5460,785,Croatia,11,4,8658,52,53
153,153,16,1,5460,5461,785,Croatia,11,4,8658,53,48
154,154,1,14,5461,5470,785,Croatia,11,4,8658,48,51
155,155,14,20,5470,5474,785,Croatia,11,4,8658,51,50
156,156,0,4,3444,5468,785,Croatia,11,4,8658,54,45
157,157,4,9,5468,5469,785,Croatia,11,4,8658,45,49
158,158,9,14,5469,5470,785,Croatia,11,4,8658,49,51
159,159,14,9,5470,5469,785,Croatia,11,4,8658,51,49
160,160,9,12,5469,5463,785,Croatia,11,4,8658,49,52
161,161,5,1,5459,5461,785,Croatia,11,4,8658,46,48
162,162,1,2,5461,3471,785,Croatia,11,4,8658,48,47
163,163,2,4,3471,5468,785,Croatia,11,4,8658,47,45
164,164,4,16,5468,5460,785,Croatia,11,4,8658,45,53
165,165,16,4,5460,5468,785,Croatia,11,4,8658,53,45
166,166,16,14,5460,5470,785,Croatia,11,4,8658,53,51
