,nullid,toid,nullpos,topos,period
0,0,73,18,18,6
0,1,102,0,0,8
0,2,201,0,0,14
0,3,237,0,0,17
0,4,252,18,18,19
0,5,254,22,22,19
0,6,229,16,16,17
0,7,303,22,22,22
0,8,299,18,18,22
0,9,419,0,0,29
0,9,427,0,0,29
0,10,477,0,0,32
0,11,495,0,0,34
0,12,529,0,0,36
0,13,621,0,0,41
0,13,622,0,0,41
0,14,632,22,22,42
0,15,707,0,0,46
0,16,717,18,18,47
0,17,737,22,22,48
0,18,786,0,0,52
0,19,822,0,0,54
0,19,835,0,0,54
0,20,862,0,0,57
0,20,869,0,0,57
0,21,862,0,0,57
0,21,869,0,0,57
0,22,867,18,18,57
0,23,868,22,22,57
0,24,948,0,0,61
0,24,950,0,0,61
0,25,1038,14,14,67
0,25,1050,14,14,67
0,26,1061,22,22,68
0,26,1072,22,22,68
0,27,1066,0,0,68
0,28,1061,22,22,68
0,28,1072,22,22,68
0,29,1091,22,22,70
0,29,1100,22,22,70
0,30,1099,20,20,70
0,31,1091,22,22,70
0,31,1100,22,22,70
0,32,1090,19,19,70
0,33,1124,0,0,72
0,34,1210,0,0,77
0,34,1213,0,0,77
0,35,1227,19,19,78
0,36,1205,20,20,77
0,37,1243,0,0,80
0,37,1248,0,0,80
0,38,1308,16,16,84
0,38,1320,16,16,84
0,38,1328,16,16,84
0,39,1307,12,12,84
0,39,1313,12,12,84
0,39,1325,12,12,84
0,40,1308,16,16,84
0,40,1320,16,16,84
0,40,1328,16,16,84
0,41,1307,12,12,84
0,41,1313,12,12,84
0,41,1325,12,12,84
0,42,1375,3,3,87
0,43,1430,3,3,91
0,44,1462,3,3,93
0,45,1499,0,0,95
0,46,1517,0,0,97
0,47,1569,0,0,100
0,48,1581,3,3,101
0,49,1610,0,0,103
0,50,2067,3,3,131
0,51,1691,0,0,108
0,52,1796,0,0,115
0,52,1804,0,0,115
0,53,1850,0,0,118
0,53,1852,0,0,118
0,54,1900,0,0,121
0,54,1909,0,0,121
0,55,1939,0,0,123
0,55,1943,0,0,123
0,56,1939,0,0,123
0,56,1943,0,0,123
0,57,2007,0,0,127
0,58,2058,0,0,131
0,58,2074,0,0,131
0,59,2364,18,18,151
0,60,2058,0,0,131
0,60,2074,0,0,131
0,61,2089,21,21,133
0,62,2088,16,16,133
0,63,2107,20,20,134
0,63,2115,20,20,134
0,64,2129,22,22,135
0,65,3316,24,24,215
0,66,2171,22,22,138
0,67,2205,9,9,140
0,68,2215,23,23,141
0,69,2208,0,0,141
0,70,2225,22,22,142
0,71,2230,9,9,142
0,72,2306,22,22,148
0,73,2259,9,9,144
0,74,2270,21,21,145
0,75,2292,0,0,146
0,76,2337,9,9,149
0,77,2334,0,0,149
0,78,2367,21,21,151
0,79,2417,22,22,155
0,80,2377,16,16,152
0,81,2765,18,18,177
0,82,2410,0,0,155
0,83,2404,14,14,155
0,83,2416,14,14,155
0,83,2422,14,14,155
0,84,2438,20,20,156
0,85,2454,16,16,157
0,86,2444,0,0,157
0,87,2453,9,9,157
0,88,2454,16,16,157
0,89,2480,22,22,159
0,90,2542,0,0,164
0,91,2542,0,0,164
0,92,2631,0,0,169
0,93,2631,0,0,169
0,94,2677,22,22,172
0,95,2697,0,0,173
0,96,2731,0,0,175
0,96,2736,0,0,175
0,97,2766,16,16,177
0,98,2766,16,16,177
0,99,2784,0,0,179
0,100,2845,0,0,183
0,101,2899,0,0,186
0,102,3028,0,0,195
0,103,3082,0,0,198
0,104,3170,0,0,205
0,105,3170,0,0,205
0,106,3326,0,0,216
0,106,3330,0,0,216
0,107,3390,0,0,221
0,108,3538,0,0,230
0,109,3538,0,0,230
0,110,4058,24,24,263
0,111,3616,22,22,235
0,112,3668,0,0,238
0,113,3690,22,22,240
0,114,3715,0,0,242
0,114,3730,0,0,242
0,115,3763,0,0,244
0,116,3763,0,0,244
0,117,3771,22,22,245
0,118,3800,22,22,247
0,118,3810,22,22,247
0,119,3818,0,0,248
0,120,3833,22,22,249
0,120,3840,22,22,249
0,121,3833,22,22,249
0,121,3840,22,22,249
0,122,3898,0,0,254
0,123,3929,9,9,256
0,124,3923,20,20,256
0,124,3933,20,20,256
0,125,3920,0,0,256
0,125,3928,0,0,256
0,126,3923,20,20,256
0,126,3933,20,20,256
0,127,3977,0,0,259
0,128,4008,9,9,261
0,129,4393,9,9,286
0,130,4061,20,20,264
0,130,4072,20,20,264
0,130,4078,20,20,264
0,131,4061,20,20,264
0,131,4072,20,20,264
0,131,4078,20,20,264
0,132,4099,20,20,266
0,133,4099,20,20,266
0,134,4099,20,20,266
0,135,4113,0,0,267
0,136,4190,0,0,272
0,137,4258,0,0,276
0,138,4302,16,16,279
0,139,4302,16,16,279
0,140,4359,0,0,284
0,140,4365,0,0,284
0,141,4445,0,0,290
0,142,4456,22,22,291
0,143,4471,24,24,292
0,144,4456,22,22,291
0,145,4561,9,9,297
0,146,4570,16,16,298
0,147,4589,0,0,299
0,148,4601,9,9,300
0,149,4623,16,16,301
0,150,4647,20,20,302
0,151,4650,9,9,303
0,152,4680,9,9,305
0,153,4768,16,16,311
0,154,4785,0,0,312
0,155,5068,9,9,329
0,156,5088,16,16,330
0,157,4801,23,23,313
0,157,4808,23,23,313
0,157,4818,23,23,313
0,158,4851,0,0,316
0,159,4900,21,21,319
0,159,4909,21,21,319
0,160,4900,21,21,319
0,160,4909,21,21,319
0,161,4920,0,0,321
0,162,4996,0,0,325
0,163,5401,3,3,349
0,164,5095,0,0,331
0,165,5304,0,0,343
0,166,5304,0,0,343
0,167,5411,22,22,350
0,168,5460,0,0,353
0,169,5460,0,0,353
0,170,5489,16,16,355
0,170,5492,16,16,355
0,171,5519,22,22,357
0,172,5583,0,0,363
0,173,5628,22,22,366
0,173,5629,22,22,366
0,174,5628,22,22,366
0,174,5629,22,22,366
0,175,5773,0,0,375
0,176,5843,0,0,380
0,177,5843,0,0,380
0,178,5924,0,0,386
0,178,5930,0,0,386
0,179,6819,3,3,445
0,180,6187,0,0,401
0,181,6333,22,22,410
0,182,6307,18,18,409
0,183,6333,22,22,410
0,184,6307,18,18,409
0,185,6358,0,0,412
0,186,6400,0,0,415
0,186,6404,0,0,415
0,187,6400,0,0,415
0,187,6404,0,0,415
0,188,6439,0,0,418
