,fromid,toid,frompos,topos,period
0,0,27,23,23,1
1,1,29,2,2,1
2,2,24,16,16,1
3,3,26,12,12,1
4,4,29,1,2,1
5,5,30,4,4,1
6,6,32,14,14,1
7,7,33,20,20,1
8,8,28,5,5,1
9,9,25,21,21,1
10,10,17,5,5,1
11,11,20,4,4,1
12,12,23,2,2,1
13,13,22,12,12,1
14,14,22,11,12,1
15,15,16,15,15,1
16,16,42,15,15,2
17,17,44,5,5,2
18,18,34,14,14,2
19,19,37,18,18,2
20,20,35,4,4,2
21,21,38,22,22,2
22,22,41,12,12,2
23,23,36,2,2,2
24,24,39,16,11,2
25,25,38,21,22,2
26,26,41,12,12,2
27,27,38,23,22,2
28,28,44,5,5,2
29,29,36,2,2,2
30,30,35,4,4,2
31,31,43,0,0,2
32,32,34,14,14,2
33,33,42,20,15,2
34,34,51,14,14,3
35,35,50,4,4,3
36,36,54,2,2,3
37,37,53,18,18,3
38,38,53,22,18,3
39,39,55,11,11,3
40,40,57,1,1,3
41,41,49,12,12,3
42,42,56,15,15,3
43,43,58,0,0,3
44,44,45,5,5,3
45,45,67,5,5,4
46,46,70,23,23,4
47,47,65,1,1,4
48,48,61,2,2,4
49,49,62,12,12,4
50,50,63,4,4,4
51,51,64,14,14,4
52,52,71,21,21,4
53,54,61,2,2,4
54,55,62,11,12,4
55,56,64,15,14,4
56,57,65,1,1,4
57,58,66,0,0,4
58,59,69,16,16,4
59,60,68,20,20,4
60,61,79,2,2,5
61,62,82,12,12,5
62,63,78,4,4,5
63,64,80,14,14,5
64,65,77,1,1,5
65,66,76,0,0,5
66,67,81,5,5,5
67,68,85,20,20,5
68,69,83,16,16,5
69,70,86,23,23,5
70,71,84,21,21,5
71,72,92,1,1,6
72,73,91,18,18,6
73,74,93,11,11,6
74,75,98,4,4,6
75,77,95,1,1,6
76,78,98,4,4,6
77,79,97,2,2,6
78,80,94,14,14,6
79,81,88,5,5,6
80,82,99,12,12,6
81,83,96,16,16,6
82,84,101,21,21,6
83,85,100,20,20,6
84,86,100,23,20,6
85,87,103,15,15,7
86,88,106,5,5,7
87,89,108,14,14,7
88,90,105,12,12,7
89,91,104,18,18,7
90,92,107,1,2,7
91,93,105,11,12,7
92,94,113,14,14,7
93,95,112,1,2,7
94,96,104,16,18,7
95,97,112,2,2,7
96,98,111,4,4,7
97,99,116,12,12,7
98,100,115,20,20,7
99,101,110,21,22,7
100,102,123,0,0,8
101,103,127,15,14,8
102,104,124,18,18,8
103,105,117,12,12,8
104,106,125,5,5,8
105,107,118,2,1,8
106,108,127,14,14,8
107,109,126,4,4,8
108,110,124,22,18,8
109,111,128,4,4,8
110,112,118,2,1,8
111,113,121,14,14,8
112,114,125,5,5,8
113,115,122,20,20,8
114,116,117,12,12,8
115,117,132,12,12,9
116,118,130,1,1,9
117,119,136,16,16,9
118,120,139,21,21,9
119,121,134,14,14,9
120,122,135,20,20,9
121,123,137,0,0,9
122,124,144,18,18,9
123,125,142,5,5,9
124,126,131,4,4,9
125,127,143,14,14,9
126,128,131,4,4,9
127,129,137,0,0,9
128,130,152,1,1,10
129,131,147,4,4,10
130,132,148,12,12,10
131,133,146,2,2,10
132,134,150,14,14,10
133,135,155,20,15,10
134,136,149,16,16,10
135,138,160,23,22,10
136,139,153,21,21,10
137,140,156,12,12,10
138,141,155,15,15,10
139,142,154,5,5,10
140,143,159,14,14,10
141,144,157,18,18,10
142,145,160,22,22,10
143,146,161,2,2,11
144,147,162,4,4,11
145,148,169,12,11,11
146,149,167,16,16,11
147,150,163,14,14,11
148,151,177,5,5,11
149,152,166,1,1,11
150,153,165,21,21,11
151,154,171,5,5,11
152,155,172,15,15,11
153,156,169,12,11,11
154,157,170,18,18,11
155,158,175,1,1,11
156,159,168,14,14,11
157,160,176,22,22,11
158,161,180,2,2,12
159,162,185,4,5,12
160,163,184,14,14,12
161,164,188,20,15,12
162,165,183,21,21,12
163,166,179,1,1,12
164,167,182,16,16,12
165,168,184,14,14,12
166,169,181,11,12,12
167,170,189,18,18,12
168,171,186,5,5,12
169,172,188,15,15,12
170,173,186,4,5,12
171,174,180,2,2,12
172,175,179,1,1,12
173,176,187,22,22,12
174,177,185,5,5,12
175,178,187,23,22,12
176,179,190,1,1,13
177,180,190,2,1,13
178,181,191,12,12,13
179,182,192,16,16,13
180,183,193,21,21,13
181,184,197,14,14,13
182,185,204,5,5,13
183,186,204,5,5,13
184,187,199,22,22,13
185,188,196,15,15,13
186,189,200,18,18,13
187,190,215,1,1,14
188,191,214,12,12,14
189,192,216,16,16,14
190,193,212,21,22,14
191,194,212,23,22,14
192,195,207,12,12,14
193,196,208,15,15,14
194,197,210,14,14,14
195,198,219,1,1,14
196,199,212,22,22,14
197,200,206,18,18,14
198,201,205,0,0,14
199,202,211,4,4,14
200,203,218,11,11,14
201,204,209,5,5,14
202,207,222,12,12,15
203,208,221,15,14,15
204,209,223,5,5,15
205,210,221,14,14,15
206,211,228,4,4,15
207,213,223,5,5,15
208,214,222,12,12,15
209,215,226,1,2,15
210,217,221,14,14,15
211,218,222,11,12,15
212,219,226,1,2,15
213,220,232,23,23,16
214,221,235,14,14,16
215,222,231,12,12,16
216,223,239,5,5,16
217,224,233,21,21,16
218,225,234,20,20,16
219,226,238,2,2,16
220,227,234,20,20,16
221,228,236,4,4,16
222,229,248,16,16,17
223,230,245,1,1,17
224,231,247,12,12,17
225,232,246,23,23,17
226,233,250,21,21,17
227,234,249,20,20,17
228,235,243,14,14,17
229,236,240,4,4,17
230,237,241,0,0,17
231,238,244,2,2,17
232,239,242,5,5,17
233,240,264,4,4,18
234,241,255,0,0,18
235,242,261,5,5,18
236,243,262,14,14,18
237,244,258,2,1,18
238,245,258,1,1,18
239,246,256,23,23,18
240,247,259,12,12,18
241,248,263,16,16,18
242,249,260,20,20,18
243,250,257,21,21,18
244,251,265,1,1,19
245,252,271,18,18,19
246,253,270,12,12,19
247,254,269,22,22,19
248,255,281,0,0,19
249,256,278,23,23,19
250,257,279,21,21,19
251,258,274,1,1,19
252,259,272,12,12,19
253,260,276,20,20,19
254,261,277,5,5,19
255,262,275,14,14,19
256,263,273,16,16,19
257,264,280,4,4,19
258,265,284,1,1,20
259,266,287,14,14,20
260,267,289,5,5,20
261,268,286,11,12,20
262,270,286,12,12,20
263,272,286,12,12,20
264,273,285,16,16,20
265,274,284,1,1,20
266,275,287,14,14,20
267,276,291,20,20,20
268,277,289,5,5,20
269,278,290,23,23,20
270,279,288,21,21,20
271,280,292,4,4,20
272,281,293,0,0,20
273,282,283,2,2,20
274,283,311,2,2,21
275,284,314,1,1,21
276,285,307,16,16,21
277,286,305,12,12,21
278,287,306,14,14,21
279,288,313,21,21,21
280,289,309,5,5,21
281,290,308,23,23,21
282,291,312,20,20,21
283,292,310,4,4,21
284,293,295,0,0,21
285,294,332,4,4,22
286,295,324,0,0,22
287,296,323,2,2,22
288,297,321,14,14,22
289,298,315,1,1,22
290,299,319,18,18,22
291,300,322,11,11,22
292,301,322,12,11,22
293,302,320,5,5,22
294,303,317,22,22,22
295,304,318,15,15,22
296,305,322,12,11,22
297,306,329,14,14,22
298,307,331,16,16,22
299,308,330,23,23,22
300,309,333,5,5,22
301,310,332,4,4,22
302,311,328,2,2,22
303,312,318,20,15,22
304,313,334,21,21,22
305,314,326,1,1,22
306,315,351,1,1,23
307,316,349,12,12,23
308,317,336,22,22,23
309,318,338,15,15,23
310,319,353,18,18,23
311,320,339,5,5,23
312,321,337,14,14,23
313,322,349,11,12,23
314,323,341,2,2,23
315,324,348,0,0,23
316,325,349,12,12,23
317,326,351,1,1,23
318,327,348,0,0,23
319,328,352,2,2,23
320,329,343,14,14,23
321,330,344,23,23,23
322,331,350,16,16,23
323,332,347,4,4,23
324,333,342,5,5,23
325,334,346,21,21,23
326,335,349,12,12,23
327,336,361,22,22,24
328,337,359,14,8,24
329,338,357,15,10,24
330,339,363,5,5,24
