,gid,plaid,posid,teamid,teamname,period,newpos,newposname,8pos,8posname
0,0,5472,22,785,Croatia,1,3,Fw,7,FW
1,1,5469,9,785,Croatia,1,1,Def,5,CM
2,2,5463,12,785,Croatia,1,2,Mid,5,CM
3,3,5461,1,785,Croatia,1,1,Def,1,RSB
4,4,3444,0,785,Croatia,1,0,GK,0,GK
5,5,5474,20,785,Croatia,1,2,Mid,6,LSM
6,6,5470,14,785,Croatia,1,2,Mid,5,CM
7,7,5457,5,785,Croatia,1,1,Def,3,LSB
8,8,5468,4,785,Croatia,1,1,Def,2,CB
9,9,3471,2,785,Croatia,1,1,Def,2,CB
10,10,5485,2,771,France,1,1,Def,2,CB
11,11,3099,0,771,France,1,0,GK,0,GK
12,12,5492,4,771,France,1,1,Def,2,CB
13,13,4375,15,771,France,1,2,Mid,6,LSM
14,14,3604,23,771,France,1,3,Fw,7,FW
15,15,20004,8,771,France,1,1,Def,4,RSM
16,16,5487,21,771,France,1,3,Fw,7,FW
17,17,5465,16,785,Croatia,1,2,Mid,4,RSM
18,18,3471,2,785,Croatia,2,1,Def,2,CB
19,19,5468,4,785,Croatia,2,1,Def,2,CB
20,20,3444,0,785,Croatia,2,0,GK,0,GK
21,21,5469,9,785,Croatia,2,1,Def,5,CM
22,22,5463,12,785,Croatia,2,2,Mid,5,CM
23,23,5472,22,785,Croatia,2,3,Fw,7,FW
24,24,5465,16,785,Croatia,2,2,Mid,4,RSM
25,25,5492,4,771,France,2,1,Def,2,CB
26,26,3961,10,771,France,2,1,Def,6,LSM
27,27,3099,0,771,France,2,0,GK,0,GK
28,28,5485,2,771,France,2,1,Def,2,CB
29,29,20004,8,771,France,2,1,Def,4,RSM
30,30,5476,1,771,France,2,1,Def,1,RSB
31,31,4375,15,771,France,2,2,Mid,6,LSM
32,32,5484,5,771,France,2,1,Def,3,LSB
33,33,5470,14,785,Croatia,2,2,Mid,5,CM
34,34,5457,5,785,Croatia,2,1,Def,3,LSB
35,35,5474,20,785,Croatia,2,2,Mid,6,LSM
36,36,5470,14,785,Croatia,3,2,Mid,5,CM
37,37,3444,0,785,Croatia,3,0,GK,0,GK
38,38,3471,2,785,Croatia,3,1,Def,2,CB
39,39,5461,1,785,Croatia,3,1,Def,1,RSB
40,40,5472,22,785,Croatia,3,3,Fw,7,FW
41,41,5463,12,785,Croatia,3,2,Mid,5,CM
42,42,5469,9,785,Croatia,3,1,Def,5,CM
43,43,5457,5,785,Croatia,3,1,Def,3,LSB
44,44,5474,20,785,Croatia,3,2,Mid,6,LSM
45,45,5465,16,785,Croatia,3,2,Mid,4,RSM
46,46,5468,4,785,Croatia,3,1,Def,2,CB
47,47,20004,8,771,France,3,1,Def,4,RSM
48,48,5492,4,771,France,3,1,Def,2,CB
49,49,5485,2,771,France,3,1,Def,2,CB
50,50,5476,1,771,France,3,1,Def,1,RSB
51,51,3099,0,771,France,3,0,GK,0,GK
52,52,4375,15,771,France,3,2,Mid,6,LSM
53,53,5484,5,771,France,4,1,Def,3,LSB
54,54,5487,21,771,France,4,3,Fw,7,FW
55,55,4375,15,771,France,4,2,Mid,6,LSM
56,56,5492,4,771,France,4,1,Def,2,CB
57,57,5485,2,771,France,4,1,Def,2,CB
58,58,3009,11,771,France,4,2,Mid,4,RSM
59,59,5476,1,771,France,4,1,Def,1,RSB
60,60,3604,23,771,France,4,3,Fw,7,FW
61,61,3471,2,785,Croatia,4,1,Def,2,CB
62,62,5469,9,785,Croatia,4,1,Def,5,CM
63,63,5470,14,785,Croatia,4,2,Mid,5,CM
64,64,5461,1,785,Croatia,4,1,Def,1,RSB
65,65,5474,20,785,Croatia,4,2,Mid,6,LSM
66,66,5463,12,785,Croatia,4,2,Mid,5,CM
67,67,5465,16,785,Croatia,4,2,Mid,4,RSM
68,68,5472,22,785,Croatia,4,3,Fw,7,FW
69,69,5468,4,785,Croatia,4,1,Def,2,CB
70,70,3961,10,771,France,4,1,Def,6,LSM
71,71,20004,8,771,France,4,1,Def,4,RSM
