,fromid,nullid,frompos,nullpos,period
0,53,0,18,0,4
1,76,1,0,0,6
2,137,2,0,0,10
3,205,3,0,0,15
4,206,4,18,0,15
5,212,5,22,0,15
6,216,6,16,0,15
7,269,7,22,0,20
8,271,8,18,0,20
9,396,9,0,0,27
10,437,10,0,0,30
11,477,11,0,0,32
12,495,12,0,0,34
13,588,13,0,0,39
14,597,14,22,0,40
15,649,15,0,0,43
16,697,16,18,0,45
17,698,17,22,0,45
18,735,18,0,0,48
19,786,19,0,0,52
20,822,20,0,0,54
21,835,21,0,0,54
22,843,22,18,0,55
23,851,23,22,0,55
24,898,24,0,0,59
25,1015,25,14,0,65
26,1026,26,22,0,66
27,1030,27,0,0,66
28,1031,28,22,0,66
29,1061,29,22,0,68
30,1062,30,20,0,68
31,1072,31,22,0,68
32,1074,32,19,0,68
33,1075,33,0,0,69
34,1166,34,0,0,75
35,1169,35,19,0,75
36,1181,36,20,0,75
37,1218,37,0,0,78
38,1294,38,16,0,83
39,1298,39,12,0,83
40,1301,40,16,0,83
41,1306,41,12,0,83
42,1333,42,3,0,85
43,1408,43,3,0,89
44,1430,44,3,0,91
45,1461,45,0,0,93
46,1499,46,0,0,95
47,1517,47,0,0,97
48,1560,48,3,0,99
49,1569,49,0,0,100
50,1581,50,3,0,101
51,1646,51,0,0,105
52,1754,52,0,0,112
53,1814,53,0,0,116
54,1872,54,0,0,119
55,1900,55,0,0,121
56,1909,56,0,0,121
57,1983,57,0,0,125
58,2041,58,0,0,129
59,2044,59,18,0,129
60,2046,60,0,0,129
61,2051,61,21,0,130
62,2054,62,16,0,130
63,2072,63,20,0,131
64,2101,64,22,0,133
65,2102,65,24,0,133
66,2129,66,22,0,135
67,2165,67,9,0,138
68,2177,68,23,0,139
69,2185,69,0,0,139
70,2186,70,22,0,139
71,2205,71,9,0,140
72,2225,72,22,0,142
73,2230,73,9,0,142
74,2244,74,21,0,143
75,2253,75,0,0,144
76,2285,76,9,0,146
77,2304,77,0,0,147
78,2327,78,21,0,149
79,2335,79,22,0,149
80,2336,80,16,0,149
81,2364,81,18,0,151
82,2382,82,0,0,153
83,2395,83,14,0,154
84,2396,84,20,0,154
85,2403,85,16,0,155
86,2410,86,0,0,155
87,2418,87,9,0,155
88,2423,88,16,0,155
89,2452,89,22,0,157
90,2493,90,0,0,160
91,2495,91,0,0,160
92,2573,92,0,0,165
93,2581,93,0,0,165
94,2648,94,22,0,170
95,2659,95,0,0,171
96,2697,96,0,0,173
97,2728,97,16,0,175
98,2738,98,16,0,175
99,2751,99,0,0,176
100,2827,100,0,0,181
101,2845,101,0,0,183
102,2965,102,0,0,190
103,3028,103,0,0,195
104,3134,104,0,0,203
