,nullid,toid,nullpos,topos,period
0,0,48,2,2,5
0,1,48,2,2,5
0,2,73,18,18,8
0,3,91,0,0,10
0,4,132,2,2,13
0,5,136,1,1,13
0,6,141,0,0,13
0,7,132,2,2,13
0,8,136,1,1,13
0,9,226,2,2,21
0,10,206,1,1,19
0,11,206,1,1,19
0,12,209,0,0,19
0,13,231,0,0,21
0,14,262,0,0,24
0,14,268,0,0,24
0,15,370,0,0,33
0,16,323,23,23,28
0,17,317,18,18,28
0,18,324,22,22,28
0,19,396,18,18,36
0,20,415,0,0,38
0,21,400,22,22,36
0,22,414,18,18,38
0,23,422,23,23,39
0,24,412,22,22,38
0,25,425,2,2,39
0,26,418,1,1,39
0,27,429,15,15,40
0,28,436,0,0,40
0,29,499,0,0,46
0,29,503,0,0,46
0,30,482,2,2,45
0,31,527,0,0,49
0,32,568,18,18,52
0,33,566,22,22,52
0,34,563,14,14,52
0,34,572,14,14,52
0,35,563,14,14,52
0,35,572,14,14,52
0,36,582,0,0,53
0,37,615,0,0,56
0,38,613,16,16,56
0,39,671,0,0,60
0,40,696,20,20,62
0,41,742,20,20,67
0,42,729,0,0,65
0,43,756,10,10,67
0,44,748,0,0,67
0,45,772,0,0,69
0,45,779,0,0,69
0,46,828,0,0,72
0,47,832,16,16,73
0,47,837,16,16,73
0,48,829,20,20,73
0,49,829,20,20,73
0,50,928,0,0,79
0,51,928,0,0,79
0,52,941,8,8,81
0,53,941,8,8,81
0,54,992,0,0,86
0,55,949,20,20,82
0,56,949,20,20,82
0,57,975,16,16,85
0,57,984,16,16,85
0,58,983,20,20,85
0,58,987,20,20,85
0,59,983,20,20,85
0,59,987,20,20,85
0,60,1038,0,0,89
0,61,1060,0,0,91
0,62,1129,22,22,95
0,63,1088,18,18,93
0,64,1157,0,0,98
0,65,1174,9,9,99
0,66,1172,22,22,99
0,67,1202,0,0,102
0,68,1206,5,5,102
0,69,1207,4,4,102
0,70,1205,16,16,102
0,71,1211,12,12,103
0,71,1224,12,12,103
0,72,1210,9,9,103
0,73,1231,22,22,104
0,74,1298,12,12,109
0,75,1306,18,18,109
0,76,1298,12,12,109
0,77,1315,5,5,111
0,78,1322,4,4,111
0,79,1336,0,0,112
0,80,1340,18,18,113
0,81,1346,4,4,114
0,82,1346,4,4,114
0,83,1358,0,0,114
0,84,1394,18,18,117
0,85,1372,22,22,116
0,86,1373,0,0,116
0,87,1415,0,0,119
0,88,1424,16,16,120
