,gid,plaid,posid,teamid,teamname,period,newpos,newposname,8pos,8posname
0,0,4319,23,783,Uruguay,1,3,Fw,7,FW
1,1,5259,2,783,Uruguay,1,1,Def,2,CB
2,2,5247,16,783,Uruguay,1,2,Mid,4,RSM
3,3,5255,12,783,Uruguay,1,2,Mid,5,CM
4,4,5264,1,783,Uruguay,1,1,Def,1,RSB
5,5,5249,4,783,Uruguay,1,1,Def,2,CB
6,6,5260,14,783,Uruguay,1,2,Mid,5,CM
7,7,5258,20,783,Uruguay,1,2,Mid,6,LSM
8,8,5248,5,783,Uruguay,1,1,Def,3,LSB
9,9,5263,5,774,Egypt,1,1,Def,3,LSB
10,10,4063,4,774,Egypt,1,1,Def,2,CB
11,11,5252,22,774,Egypt,1,3,Fw,7,FW
12,12,5246,21,783,Uruguay,1,3,Fw,7,FW
13,13,3568,12,774,Egypt,2,2,Mid,5,CM
14,14,5251,18,774,Egypt,2,2,Mid,5,CM
15,15,5253,11,774,Egypt,2,2,Mid,4,RSM
16,16,5259,2,783,Uruguay,2,1,Def,2,CB
17,17,5247,16,783,Uruguay,2,2,Mid,4,RSM
18,18,5263,5,774,Egypt,2,1,Def,3,LSB
19,19,4063,4,774,Egypt,2,1,Def,2,CB
20,20,5254,2,774,Egypt,2,1,Def,2,CB
21,21,5261,15,774,Egypt,2,2,Mid,6,LSM
22,22,5247,16,783,Uruguay,3,2,Mid,4,RSM
23,23,4319,23,783,Uruguay,3,3,Fw,7,FW
24,24,5261,15,774,Egypt,3,2,Mid,6,LSM
25,25,5263,5,774,Egypt,3,1,Def,3,LSB
26,26,5262,14,774,Egypt,3,2,Mid,5,CM
27,27,5251,18,774,Egypt,3,2,Mid,5,CM
28,28,4063,4,774,Egypt,3,1,Def,2,CB
29,29,5252,22,774,Egypt,3,3,Fw,7,FW
30,30,5246,21,783,Uruguay,3,3,Fw,7,FW
31,31,5248,5,783,Uruguay,3,1,Def,3,LSB
32,32,5262,14,774,Egypt,4,2,Mid,5,CM
33,33,3568,12,774,Egypt,4,2,Mid,5,CM
34,34,5258,20,783,Uruguay,4,2,Mid,6,LSM
35,35,4319,23,783,Uruguay,4,3,Fw,7,FW
36,36,5246,21,783,Uruguay,4,3,Fw,7,FW
37,37,5247,16,783,Uruguay,4,2,Mid,4,RSM
38,38,4063,4,774,Egypt,4,1,Def,2,CB
39,39,5250,1,774,Egypt,4,1,Def,1,RSB
40,40,5251,18,774,Egypt,4,2,Mid,5,CM
41,41,5258,20,783,Uruguay,5,2,Mid,6,LSM
42,42,5248,5,783,Uruguay,5,1,Def,3,LSB
43,43,5249,4,783,Uruguay,5,1,Def,2,CB
44,44,3568,12,774,Egypt,5,2,Mid,5,CM
45,45,5262,14,774,Egypt,5,2,Mid,5,CM
46,46,4063,4,774,Egypt,5,1,Def,2,CB
47,47,5263,5,774,Egypt,5,1,Def,3,LSB
48,48,5254,2,774,Egypt,5,1,Def,2,CB
49,49,5251,18,774,Egypt,5,2,Mid,5,CM
50,50,5260,14,783,Uruguay,5,2,Mid,5,CM
51,51,5262,14,774,Egypt,6,2,Mid,5,CM
52,52,5263,5,774,Egypt,6,1,Def,3,LSB
53,53,5251,18,774,Egypt,6,2,Mid,5,CM
54,54,5264,1,783,Uruguay,6,1,Def,1,RSB
55,55,5255,12,783,Uruguay,6,2,Mid,5,CM
56,56,5246,21,783,Uruguay,6,3,Fw,7,FW
57,57,4063,4,774,Egypt,6,1,Def,2,CB
58,58,5247,16,783,Uruguay,7,2,Mid,4,RSM
59,59,5246,21,783,Uruguay,7,3,Fw,7,FW
60,60,4063,4,774,Egypt,7,1,Def,2,CB
61,61,5261,15,774,Egypt,7,2,Mid,6,LSM
62,62,5255,12,783,Uruguay,7,2,Mid,5,CM
63,63,4319,23,783,Uruguay,7,3,Fw,7,FW
64,64,5248,5,783,Uruguay,7,1,Def,3,LSB
65,65,5259,2,783,Uruguay,7,1,Def,2,CB
66,66,5249,4,783,Uruguay,7,1,Def,2,CB
67,67,5267,0,783,Uruguay,7,0,GK,0,GK
68,68,5260,14,783,Uruguay,7,2,Mid,5,CM
69,69,5258,20,783,Uruguay,7,2,Mid,6,LSM
70,70,5262,14,774,Egypt,8,2,Mid,5,CM
71,71,4063,4,774,Egypt,8,1,Def,2,CB
72,72,5254,2,774,Egypt,8,1,Def,2,CB
73,73,5251,18,774,Egypt,8,2,Mid,5,CM
74,74,5252,22,774,Egypt,8,3,Fw,7,FW
75,75,5260,14,783,Uruguay,8,2,Mid,5,CM
76,76,5248,5,783,Uruguay,8,1,Def,3,LSB
77,77,5258,20,783,Uruguay,8,2,Mid,6,LSM
78,78,5253,11,774,Egypt,8,2,Mid,4,RSM
79,79,5249,4,783,Uruguay,9,1,Def,2,CB
80,80,5248,5,783,Uruguay,9,1,Def,3,LSB
81,81,5253,11,774,Egypt,9,2,Mid,4,RSM
82,82,5251,18,774,Egypt,9,2,Mid,5,CM
83,83,5250,1,774,Egypt,9,1,Def,1,RSB
84,84,5262,14,774,Egypt,9,2,Mid,5,CM
85,85,5254,2,774,Egypt,9,1,Def,2,CB
86,86,3568,12,774,Egypt,9,2,Mid,5,CM
87,87,4063,4,774,Egypt,9,1,Def,2,CB
88,88,5261,15,774,Egypt,9,2,Mid,6,LSM
89,89,5247,16,783,Uruguay,9,2,Mid,4,RSM
90,90,5246,21,783,Uruguay,9,3,Fw,7,FW
91,91,5265,0,774,Egypt,10,0,GK,0,GK
92,92,4063,4,774,Egypt,10,1,Def,2,CB
93,93,5262,14,774,Egypt,10,2,Mid,5,CM
94,94,3568,12,774,Egypt,10,2,Mid,5,CM
95,95,5263,5,774,Egypt,10,1,Def,3,LSB
96,96,5261,15,774,Egypt,10,2,Mid,6,LSM
97,97,5254,2,774,Egypt,10,1,Def,2,CB
98,98,5250,1,774,Egypt,10,1,Def,1,RSB
99,99,5251,18,774,Egypt,10,2,Mid,5,CM
100,100,5248,5,783,Uruguay,10,1,Def,3,LSB
101,101,4319,23,783,Uruguay,10,3,Fw,7,FW
102,102,5264,1,783,Uruguay,10,1,Def,1,RSB
103,103,5259,2,783,Uruguay,10,1,Def,2,CB
104,104,5255,12,783,Uruguay,10,2,Mid,5,CM
105,105,5249,4,783,Uruguay,10,1,Def,2,CB
106,106,5260,14,783,Uruguay,10,2,Mid,5,CM
107,107,5246,21,783,Uruguay,10,3,Fw,7,FW
108,108,5252,22,774,Egypt,10,3,Fw,7,FW
109,109,5255,12,783,Uruguay,11,2,Mid,5,CM
110,110,5248,5,783,Uruguay,11,1,Def,3,LSB
111,111,5251,18,774,Egypt,11,2,Mid,5,CM
112,112,5254,2,774,Egypt,11,1,Def,2,CB
113,113,5253,11,774,Egypt,11,2,Mid,4,RSM
114,114,5261,15,774,Egypt,11,2,Mid,6,LSM
115,115,5250,1,774,Egypt,11,1,Def,1,RSB
116,116,5249,4,783,Uruguay,11,1,Def,2,CB
117,117,5267,0,783,Uruguay,11,0,GK,0,GK
118,118,5259,2,783,Uruguay,11,1,Def,2,CB
119,119,5260,14,783,Uruguay,11,2,Mid,5,CM
120,120,4319,23,783,Uruguay,11,3,Fw,7,FW
121,121,5264,1,783,Uruguay,11,1,Def,1,RSB
122,122,5247,16,783,Uruguay,11,2,Mid,4,RSM
123,123,5258,20,783,Uruguay,11,2,Mid,6,LSM
124,124,5251,18,774,Egypt,12,2,Mid,5,CM
125,125,4063,4,774,Egypt,12,1,Def,2,CB
126,126,5263,5,774,Egypt,12,1,Def,3,LSB
127,127,5252,22,774,Egypt,12,3,Fw,7,FW
128,128,5249,4,783,Uruguay,12,1,Def,2,CB
129,129,5247,16,783,Uruguay,12,2,Mid,4,RSM
130,130,5262,14,774,Egypt,12,2,Mid,5,CM
131,131,5253,11,774,Egypt,12,2,Mid,4,RSM
132,132,5259,2,783,Uruguay,13,1,Def,2,CB
133,133,5255,12,783,Uruguay,13,2,Mid,5,CM
134,134,5249,4,783,Uruguay,13,1,Def,2,CB
135,135,5260,14,783,Uruguay,13,2,Mid,5,CM
136,136,5264,1,783,Uruguay,13,1,Def,1,RSB
137,137,5252,22,774,Egypt,13,3,Fw,7,FW
138,138,5262,14,774,Egypt,13,2,Mid,5,CM
139,139,5251,18,774,Egypt,13,2,Mid,5,CM
140,140,5261,15,774,Egypt,13,2,Mid,6,LSM
141,141,5267,0,783,Uruguay,13,0,GK,0,GK
142,142,5248,5,783,Uruguay,13,1,Def,3,LSB
143,143,5258,20,783,Uruguay,13,2,Mid,6,LSM
144,144,5250,1,774,Egypt,14,1,Def,1,RSB
145,145,5252,22,774,Egypt,14,3,Fw,7,FW
146,146,5251,18,774,Egypt,14,2,Mid,5,CM
147,147,5267,0,783,Uruguay,14,0,GK,0,GK
148,148,5247,16,783,Uruguay,14,2,Mid,4,RSM
149,149,5262,14,774,Egypt,14,2,Mid,5,CM
150,150,4063,4,774,Egypt,14,1,Def,2,CB
151,151,5254,2,774,Egypt,14,1,Def,2,CB
152,152,5253,11,774,Egypt,14,2,Mid,4,RSM
153,153,5248,5,783,Uruguay,15,1,Def,3,LSB
154,154,5255,12,783,Uruguay,15,2,Mid,5,CM
155,155,5264,1,783,Uruguay,15,1,Def,1,RSB
156,156,5247,16,783,Uruguay,15,2,Mid,4,RSM
157,157,4319,23,783,Uruguay,15,3,Fw,7,FW
158,158,5246,21,783,Uruguay,15,3,Fw,7,FW
159,159,5260,14,783,Uruguay,15,2,Mid,5,CM
160,160,5258,20,783,Uruguay,15,2,Mid,6,LSM
161,161,5250,1,774,Egypt,15,1,Def,1,RSB
162,162,5251,18,774,Egypt,15,2,Mid,5,CM
163,163,5253,11,774,Egypt,15,2,Mid,4,RSM
164,164,4063,4,774,Egypt,15,1,Def,2,CB
165,165,5265,0,774,Egypt,15,0,GK,0,GK
166,166,5249,4,783,Uruguay,15,1,Def,2,CB
167,167,5259,2,783,Uruguay,15,1,Def,2,CB
168,168,5265,0,774,Egypt,16,0,GK,0,GK
169,169,5252,22,774,Egypt,16,3,Fw,7,FW
170,170,5253,11,774,Egypt,16,2,Mid,4,RSM
171,171,5247,16,783,Uruguay,16,2,Mid,4,RSM
172,172,5264,1,783,Uruguay,16,1,Def,1,RSB
173,173,5259,2,783,Uruguay,16,1,Def,2,CB
174,174,5260,14,783,Uruguay,16,2,Mid,5,CM
175,175,5255,12,783,Uruguay,16,2,Mid,5,CM
176,176,5258,20,783,Uruguay,16,2,Mid,6,LSM
177,177,5246,21,783,Uruguay,16,3,Fw,7,FW
178,178,5248,5,783,Uruguay,16,1,Def,3,LSB
179,179,4319,23,783,Uruguay,16,3,Fw,7,FW
180,180,5262,14,774,Egypt,16,2,Mid,5,CM
181,181,5251,18,774,Egypt,16,2,Mid,5,CM
182,182,5261,15,774,Egypt,16,2,Mid,6,LSM
183,183,5259,2,783,Uruguay,17,1,Def,2,CB
184,184,5264,1,783,Uruguay,17,1,Def,1,RSB
185,185,5261,15,774,Egypt,17,2,Mid,6,LSM
186,186,5263,5,774,Egypt,17,1,Def,3,LSB
187,187,5262,14,774,Egypt,17,2,Mid,5,CM
188,188,3568,12,774,Egypt,17,2,Mid,5,CM
189,189,5251,18,774,Egypt,17,2,Mid,5,CM
190,190,5250,1,774,Egypt,17,1,Def,1,RSB
191,191,5253,11,774,Egypt,17,2,Mid,4,RSM
192,192,5267,0,783,Uruguay,17,0,GK,0,GK
193,193,5247,16,783,Uruguay,17,2,Mid,4,RSM
194,194,5246,21,783,Uruguay,17,3,Fw,7,FW
195,195,4063,4,774,Egypt,18,1,Def,2,CB
196,196,5261,15,774,Egypt,18,2,Mid,6,LSM
197,197,5263,5,774,Egypt,18,1,Def,3,LSB
198,198,3568,12,774,Egypt,18,2,Mid,5,CM
199,199,5251,18,774,Egypt,18,2,Mid,5,CM
200,200,5248,5,783,Uruguay,18,1,Def,3,LSB
201,201,5258,20,783,Uruguay,18,2,Mid,6,LSM
202,202,5255,12,783,Uruguay,18,2,Mid,5,CM
