,index,frompos,topos,frompla,topla,possesteam,teamname,playNum,period,gameid,fromid,toid
0,0,22,9,5472,5469,785,Croatia,1,1,8658,0,1
1,1,12,1,5463,5461,785,Croatia,1,1,8658,2,3
2,2,0,22,3444,5472,785,Croatia,1,1,8658,4,0
3,3,20,14,5474,5470,785,Croatia,1,1,8658,5,6
4,4,14,5,5470,5457,785,Croatia,1,1,8658,6,7
5,5,5,9,5457,5469,785,Croatia,1,1,8658,7,1
6,6,9,20,5469,5474,785,Croatia,1,1,8658,1,5
7,7,20,4,5474,5468,785,Croatia,1,1,8658,5,8
8,8,4,12,5468,5463,785,Croatia,1,1,8658,8,2
9,9,12,4,5463,5468,785,Croatia,1,1,8658,2,8
10,10,4,14,5468,5470,785,Croatia,1,1,8658,8,6
11,11,14,4,5470,5468,785,Croatia,1,1,8658,6,8
12,12,4,2,5468,3471,785,Croatia,1,1,8658,8,9
13,13,14,20,5470,5474,785,Croatia,1,1,8658,6,5
14,14,10,8,3961,20004,771,France,2,1,8658,10,11
15,15,9,20,5469,5474,785,Croatia,3,1,8658,1,5
16,16,20,14,5474,5470,785,Croatia,3,1,8658,5,6
17,17,2,0,5485,3099,771,France,4,2,8658,12,13
18,18,0,4,3099,5492,771,France,4,2,8658,13,14
19,19,15,4,4375,5492,771,France,4,2,8658,15,14
20,20,4,23,5492,3604,771,France,4,2,8658,14,16
21,21,23,15,3604,4375,771,France,4,2,8658,16,15
22,22,15,23,4375,3604,771,France,4,2,8658,15,16
23,23,23,2,3604,5485,771,France,4,2,8658,16,12
24,24,2,8,5485,20004,771,France,4,2,8658,12,17
25,25,8,21,20004,5487,771,France,4,2,8658,17,18
26,26,9,5,5469,5457,785,Croatia,5,2,8658,19,20
27,27,5,22,5457,5472,785,Croatia,5,2,8658,20,21
28,28,5,22,5457,5472,785,Croatia,5,2,8658,20,21
29,29,22,14,5472,5470,785,Croatia,5,2,8658,21,22
30,30,9,4,5469,5468,785,Croatia,5,2,8658,19,23
31,31,4,9,5468,5469,785,Croatia,5,2,8658,23,19
32,32,9,14,5469,5470,785,Croatia,5,2,8658,19,22
33,33,14,9,5470,5469,785,Croatia,5,2,8658,22,19
34,34,9,2,5469,3471,785,Croatia,5,2,8658,19,24
35,35,2,4,3471,5468,785,Croatia,5,2,8658,24,23
36,36,4,14,5468,5470,785,Croatia,5,2,8658,23,22
37,37,14,16,5470,5465,785,Croatia,5,2,8658,22,25
38,38,16,1,5465,5461,785,Croatia,5,2,8658,25,26
39,39,16,1,5465,5461,785,Croatia,5,2,8658,25,26
40,40,1,14,5461,5470,785,Croatia,5,2,8658,26,22
41,41,1,12,5461,5463,785,Croatia,5,2,8658,26,27
42,42,12,1,5463,5461,785,Croatia,5,2,8658,27,26
43,43,15,10,4375,3961,771,France,6,2,8658,15,28
44,44,5,10,5484,3961,771,France,6,2,8658,29,28
45,45,10,23,3961,3604,771,France,6,2,8658,28,16
46,46,2,4,3471,5468,785,Croatia,7,3,8658,30,31
47,47,4,0,5468,3444,785,Croatia,7,3,8658,31,32
48,48,0,2,3444,3471,785,Croatia,7,3,8658,32,30
49,49,2,9,3471,5469,785,Croatia,7,3,8658,30,33
50,50,9,12,5469,5463,785,Croatia,7,3,8658,33,34
51,51,12,22,5463,5472,785,Croatia,7,3,8658,34,35
52,52,22,16,5472,5465,785,Croatia,7,3,8658,35,36
53,53,4,10,5492,3961,771,France,8,3,8658,37,38
54,54,0,2,3099,5485,771,France,8,3,8658,39,40
55,55,2,8,5485,20004,771,France,8,3,8658,40,41
56,56,8,4,20004,5492,771,France,8,3,8658,41,37
57,57,4,10,5492,3961,771,France,8,3,8658,37,38
58,58,10,4,3961,5492,771,France,8,3,8658,38,37
59,59,4,10,5492,3961,771,France,8,3,8658,37,38
60,60,10,8,3961,20004,771,France,8,3,8658,38,41
61,61,8,1,20004,5476,771,France,8,3,8658,41,42
62,62,1,2,5476,5485,771,France,8,3,8658,42,40
63,63,2,4,5485,5492,771,France,8,3,8658,40,37
64,64,4,15,5492,4375,771,France,8,3,8658,37,43
65,65,15,5,4375,5484,771,France,8,3,8658,43,44
66,66,9,14,5469,5470,785,Croatia,9,3,8658,33,45
67,67,14,9,5470,5469,785,Croatia,9,3,8658,45,33
68,68,12,9,5463,5469,785,Croatia,9,3,8658,34,33
69,69,9,14,5469,5470,785,Croatia,9,3,8658,33,45
70,70,14,5,5470,5457,785,Croatia,9,3,8658,45,46
71,71,5,14,5457,5470,785,Croatia,9,3,8658,46,45
72,72,14,9,5470,5469,785,Croatia,9,3,8658,45,33
73,73,14,20,5470,5474,785,Croatia,9,3,8658,45,47
74,74,23,8,3604,20004,771,France,10,4,8658,48,49
75,75,0,23,3099,3604,771,France,10,4,8658,50,48
76,76,14,0,5470,3444,785,Croatia,11,4,8658,51,52
77,77,2,0,3471,3444,785,Croatia,11,4,8658,53,52
78,78,0,2,3444,3471,785,Croatia,11,4,8658,52,53
79,79,2,1,3471,5461,785,Croatia,11,4,8658,53,54
80,80,2,22,3471,5472,785,Croatia,11,4,8658,53,55
81,81,0,10,3099,3961,771,France,12,4,8658,50,56
82,82,12,9,5463,5469,785,Croatia,13,5,8658,57,58
83,83,14,12,5470,5463,785,Croatia,13,5,8658,59,57
84,84,12,5,5463,5457,785,Croatia,13,5,8658,57,60
85,85,5,20,5457,5474,785,Croatia,13,5,8658,60,61
86,86,20,16,5474,5465,785,Croatia,13,5,8658,61,62
87,87,9,4,5469,5468,785,Croatia,13,5,8658,58,63
88,88,4,9,5468,5469,785,Croatia,13,5,8658,63,58
89,89,9,14,5469,5470,785,Croatia,13,5,8658,58,59
90,90,14,9,5470,5469,785,Croatia,13,5,8658,59,58
91,91,9,2,5469,3471,785,Croatia,13,5,8658,58,64
92,92,2,12,3471,5463,785,Croatia,13,5,8658,64,57
93,93,12,1,5463,5461,785,Croatia,13,5,8658,57,65
94,94,1,2,5461,3471,785,Croatia,13,5,8658,65,64
95,95,2,9,3471,5469,785,Croatia,13,5,8658,64,58
96,96,9,1,5469,5461,785,Croatia,13,5,8658,58,65
97,97,12,2,5463,3471,785,Croatia,13,5,8658,57,64
98,98,2,9,3471,5469,785,Croatia,13,5,8658,64,58
99,99,9,14,5469,5470,785,Croatia,13,5,8658,58,59
100,100,14,20,5470,5474,785,Croatia,13,5,8658,59,61
101,101,0,23,3099,3604,771,France,14,5,8658,66,67
102,102,23,8,3604,20004,771,France,14,5,8658,67,68
103,103,5,15,5484,4375,771,France,14,5,8658,69,70
104,104,12,22,5463,5472,785,Croatia,15,5,8658,57,71
105,105,8,4,20004,5492,771,France,16,6,8658,72,73
106,106,4,2,5492,5485,771,France,16,6,8658,73,74
107,107,1,2,5476,5485,771,France,16,6,8658,75,74
108,108,2,1,5485,5476,771,France,16,6,8658,74,75
109,109,1,0,5476,3099,771,France,16,6,8658,75,76
110,110,0,15,3099,4375,771,France,16,6,8658,76,77
111,111,2,22,3471,5472,785,Croatia,17,6,8658,78,79
112,112,5,21,5484,5487,771,France,18,6,8658,80,81
113,113,21,15,5487,4375,771,France,18,6,8658,81,77
114,114,15,4,4375,5492,771,France,18,6,8658,77,73
115,115,4,2,5492,5485,771,France,18,6,8658,73,74
116,116,2,11,5485,3009,771,France,18,6,8658,74,82
117,117,1,2,5476,5485,771,France,18,6,8658,75,74
118,118,2,4,5485,5492,771,France,18,6,8658,74,73
119,119,4,23,5492,3604,771,France,18,6,8658,73,83
120,120,2,9,3471,5469,785,Croatia,19,7,8658,84,85
121,121,9,14,5469,5470,785,Croatia,19,7,8658,85,86
122,122,14,2,5470,3471,785,Croatia,19,7,8658,86,84
123,123,2,1,3471,5461,785,Croatia,19,7,8658,84,87
124,124,1,2,5461,3471,785,Croatia,19,7,8658,87,84
125,125,2,20,3471,5474,785,Croatia,19,7,8658,84,88
126,126,20,12,5474,5463,785,Croatia,19,7,8658,88,89
127,127,12,16,5463,5465,785,Croatia,19,7,8658,89,90
128,128,16,1,5465,5461,785,Croatia,19,7,8658,90,87
129,129,14,22,5470,5472,785,Croatia,19,7,8658,86,91
130,130,22,14,5472,5470,785,Croatia,19,7,8658,91,86
131,131,14,20,5470,5474,785,Croatia,19,7,8658,86,88
132,132,20,16,5474,5465,785,Croatia,19,7,8658,88,90
133,133,4,2,5468,3471,785,Croatia,19,7,8658,92,84
134,134,2,12,3471,5463,785,Croatia,19,7,8658,84,89
135,135,12,1,5463,5461,785,Croatia,19,7,8658,89,87
136,136,1,2,5461,3471,785,Croatia,19,7,8658,87,84
137,137,2,12,3471,5463,785,Croatia,19,7,8658,84,89
138,138,2,9,3471,5469,785,Croatia,19,7,8658,84,85
139,139,9,12,5469,5463,785,Croatia,19,7,8658,85,89
140,140,12,1,5463,5461,785,Croatia,19,7,8658,89,87
141,141,5,10,5484,3961,771,France,20,7,8658,93,94
142,142,10,15,3961,4375,771,France,20,7,8658,94,95
143,143,15,8,4375,20004,771,France,20,7,8658,95,96
144,144,2,10,5485,3961,771,France,20,7,8658,97,94
145,145,15,10,4375,3961,771,France,20,7,8658,95,94
146,146,10,11,3961,3009,771,France,20,7,8658,94,98
147,147,16,5,5465,5457,785,Croatia,21,7,8658,90,99
148,148,5,14,5457,5470,785,Croatia,21,7,8658,99,86
149,149,23,2,3604,5485,771,France,22,8,8658,100,101
150,150,2,5,5485,5484,771,France,22,8,8658,101,102
151,151,5,23,5484,3604,771,France,22,8,8658,102,100
152,152,21,11,5487,3009,771,France,22,8,8658,103,104
153,153,11,21,3009,5487,771,France,22,8,8658,104,103
154,154,20,22,5474,5472,785,Croatia,23,8,8658,105,106
155,155,2,21,5485,5487,771,France,24,8,8658,101,103
156,156,22,9,5472,5469,785,Croatia,25,9,8658,107,108
157,157,9,12,5469,5463,785,Croatia,25,9,8658,108,109
158,158,12,1,5463,5461,785,Croatia,25,9,8658,109,110
159,159,1,2,5461,3471,785,Croatia,25,9,8658,110,111
160,160,2,4,3471,5468,785,Croatia,25,9,8658,111,112
161,161,4,14,5468,5470,785,Croatia,25,9,8658,112,113
162,162,14,2,5470,3471,785,Croatia,25,9,8658,113,111
163,163,2,1,3471,5461,785,Croatia,25,9,8658,111,110
164,164,1,20,5461,5474,785,Croatia,25,9,8658,110,114
165,165,5,10,5484,3961,771,France,26,9,8658,115,116
166,166,10,15,3961,4375,771,France,26,9,8658,116,117
167,167,15,23,4375,3604,771,France,26,9,8658,117,118
168,168,12,4,5463,5468,785,Croatia,27,9,8658,109,112
169,169,0,23,3099,3604,771,France,28,10,8658,119,120
170,170,12,1,5463,5461,785,Croatia,29,10,8658,121,122
171,171,5,4,5484,5492,771,France,30,10,8658,123,124
172,172,12,1,5463,5461,785,Croatia,31,11,8658,125,126
173,173,1,9,5461,5469,785,Croatia,31,11,8658,126,127
