,gid,plaid,posid,teamid,teamname,period,newpos,newposname,8pos,8posname
0,0,5472,22,785,Croatia,1,3,Fw,7,FW
1,1,5469,9,785,Croatia,1,1,Def,5,CM
2,2,5463,12,785,Croatia,1,2,Mid,5,CM
3,3,5461,1,785,Croatia,1,1,Def,1,RSB
4,4,3444,0,785,Croatia,1,0,GK,0,GK
5,5,5474,20,785,Croatia,1,2,Mid,6,LSM
6,6,5470,14,785,Croatia,1,2,Mid,5,CM
7,7,5457,5,785,Croatia,1,1,Def,3,LSB
8,8,5468,4,785,Croatia,1,1,Def,2,CB
9,9,3471,2,785,Croatia,1,1,Def,2,CB
10,10,3961,10,771,France,1,1,Def,6,LSM
11,11,20004,8,771,France,1,1,Def,4,RSM
12,12,5485,2,771,France,2,1,Def,2,CB
13,13,3099,0,771,France,2,0,GK,0,GK
14,14,5492,4,771,France,2,1,Def,2,CB
15,15,4375,15,771,France,2,2,Mid,6,LSM
16,16,3604,23,771,France,2,3,Fw,7,FW
17,17,20004,8,771,France,2,1,Def,4,RSM
18,18,5487,21,771,France,2,3,Fw,7,FW
19,19,5469,9,785,Croatia,2,1,Def,5,CM
20,20,5457,5,785,Croatia,2,1,Def,3,LSB
21,21,5472,22,785,Croatia,2,3,Fw,7,FW
22,22,5470,14,785,Croatia,2,2,Mid,5,CM
23,23,5468,4,785,Croatia,2,1,Def,2,CB
24,24,3471,2,785,Croatia,2,1,Def,2,CB
25,25,5465,16,785,Croatia,2,2,Mid,4,RSM
26,26,5461,1,785,Croatia,2,1,Def,1,RSB
27,27,5463,12,785,Croatia,2,2,Mid,5,CM
28,28,3961,10,771,France,2,1,Def,6,LSM
29,29,5484,5,771,France,2,1,Def,3,LSB
30,30,3471,2,785,Croatia,3,1,Def,2,CB
31,31,5468,4,785,Croatia,3,1,Def,2,CB
32,32,3444,0,785,Croatia,3,0,GK,0,GK
33,33,5469,9,785,Croatia,3,1,Def,5,CM
34,34,5463,12,785,Croatia,3,2,Mid,5,CM
35,35,5472,22,785,Croatia,3,3,Fw,7,FW
36,36,5465,16,785,Croatia,3,2,Mid,4,RSM
37,37,5492,4,771,France,3,1,Def,2,CB
38,38,3961,10,771,France,3,1,Def,6,LSM
39,39,3099,0,771,France,3,0,GK,0,GK
40,40,5485,2,771,France,3,1,Def,2,CB
41,41,20004,8,771,France,3,1,Def,4,RSM
42,42,5476,1,771,France,3,1,Def,1,RSB
43,43,4375,15,771,France,3,2,Mid,6,LSM
44,44,5484,5,771,France,3,1,Def,3,LSB
45,45,5470,14,785,Croatia,3,2,Mid,5,CM
46,46,5457,5,785,Croatia,3,1,Def,3,LSB
47,47,5474,20,785,Croatia,3,2,Mid,6,LSM
48,48,3604,23,771,France,4,3,Fw,7,FW
49,49,20004,8,771,France,4,1,Def,4,RSM
50,50,3099,0,771,France,4,0,GK,0,GK
51,51,5470,14,785,Croatia,4,2,Mid,5,CM
52,52,3444,0,785,Croatia,4,0,GK,0,GK
53,53,3471,2,785,Croatia,4,1,Def,2,CB
54,54,5461,1,785,Croatia,4,1,Def,1,RSB
55,55,5472,22,785,Croatia,4,3,Fw,7,FW
56,56,3961,10,771,France,4,1,Def,6,LSM
57,57,5463,12,785,Croatia,5,2,Mid,5,CM
58,58,5469,9,785,Croatia,5,1,Def,5,CM
59,59,5470,14,785,Croatia,5,2,Mid,5,CM
60,60,5457,5,785,Croatia,5,1,Def,3,LSB
61,61,5474,20,785,Croatia,5,2,Mid,6,LSM
62,62,5465,16,785,Croatia,5,2,Mid,4,RSM
63,63,5468,4,785,Croatia,5,1,Def,2,CB
64,64,3471,2,785,Croatia,5,1,Def,2,CB
65,65,5461,1,785,Croatia,5,1,Def,1,RSB
66,66,3099,0,771,France,5,0,GK,0,GK
67,67,3604,23,771,France,5,3,Fw,7,FW
68,68,20004,8,771,France,5,1,Def,4,RSM
69,69,5484,5,771,France,5,1,Def,3,LSB
70,70,4375,15,771,France,5,2,Mid,6,LSM
71,71,5472,22,785,Croatia,5,3,Fw,7,FW
