,fromid,nullid,frompos,nullpos,period
0,16,0,2,0,2
1,20,1,2,0,2
2,53,2,18,0,6
3,67,3,0,0,7
4,112,4,2,0,11
5,115,5,1,0,11
6,117,6,0,0,11
7,118,7,2,0,11
8,121,8,1,0,11
9,183,9,2,0,17
10,184,10,1,0,17
11,190,11,1,0,17
12,192,12,0,0,17
13,209,13,0,0,19
14,231,14,0,0,21
15,293,15,0,0,26
16,296,16,23,0,26
17,301,17,18,0,26
18,302,18,22,0,26
19,377,19,18,0,34
20,385,20,0,0,34
21,386,21,22,0,34
22,396,22,18,0,36
23,398,23,23,0,36
24,400,24,22,0,36
25,406,25,2,0,37
26,410,26,1,0,37
27,413,27,15,0,38
28,415,28,0,0,38
29,442,29,0,0,41
30,470,30,2,0,43
31,514,31,0,0,47
32,535,32,18,0,50
33,537,33,22,0,50
34,545,34,14,0,50
35,549,35,14,0,50
36,558,36,0,0,51
37,582,37,0,0,53
38,591,38,16,0,54
39,637,39,0,0,58
40,660,40,20,0,60
41,696,41,20,0,62
42,699,42,0,0,62
43,724,43,10,0,65
44,729,44,0,0,65
45,748,45,0,0,67
46,801,46,0,0,70
47,807,47,16,0,71
48,811,48,20,0,71
49,815,49,20,0,71
50,875,50,0,0,76
51,884,51,0,0,76
52,915,52,8,0,79
53,926,53,8,0,79
54,928,54,0,0,79
55,930,55,20,0,80
56,932,56,20,0,80
57,956,57,16,0,83
58,958,58,20,0,83
59,965,59,20,0,83
60,992,60,0,0,86
61,1038,61,0,0,89
62,1065,62,22,0,91
63,1066,63,18,0,91
64,1114,64,0,0,95
65,1147,65,9,0,97
66,1149,66,22,0,97
67,1168,67,0,0,99
68,1184,68,5,0,100
69,1185,69,4,0,100
70,1193,70,16,0,100
71,1195,71,12,0,101
72,1199,72,9,0,101
73,1201,73,22,0,101
74,1279,74,12,0,107
75,1281,75,18,0,107
76,1287,76,12,0,107
77,1301,77,5,0,109
78,1302,78,4,0,109
79,1305,79,0,0,109
80,1306,80,18,0,109
81,1324,81,4,0,112
82,1331,82,4,0,112
83,1336,83,0,0,112
84,1348,84,18,0,114
85,1349,85,22,0,114
86,1358,86,0,0,114
87,1386,87,0,0,117
88,1399,88,16,0,118
89,1415,89,0,0,119
90,1424,90,16,0,120
91,1430,91,18,0,120
92,1466,92,5,0,123
93,1473,93,4,0,123
94,1478,94,0,0,124
95,1506,95,20,0,126
96,1511,96,16,0,126
97,1557,97,18,0,130
98,1558,98,12,0,130
99,1563,99,21,0,130
100,1567,100,12,0,130
101,1568,101,16,0,130
102,1570,102,22,0,130
103,1571,103,0,0,131
104,1576,104,0,0,131
105,1601,105,0,0,134
106,1613,106,18,0,134
107,1618,107,4,0,135
108,1621,108,5,0,135
109,1625,109,0,0,136
110,1632,110,0,0,136
111,1654,111,12,0,138
112,1656,112,14,0,138
113,1659,113,12,0,138
114,1665,114,18,0,138
115,1666,115,14,0,138
116,1667,116,1,0,139
117,1671,117,2,0,139
118,1700,118,0,0,142
119,1709,119,14,0,143
120,1710,120,20,0,143
121,1723,121,20,0,143
122,1726,122,0,0,144
123,1733,123,5,0,145
124,1743,124,4,0,145
125,1744,125,0,0,146
126,1767,126,20,0,148
127,1768,127,14,0,148
128,1771,128,14,0,148
129,1781,129,0,0,149
130,1807,130,2,0,151
131,1809,131,0,0,151
132,1814,132,1,0,151
133,1817,133,2,0,151
134,1836,134,20,0,153
135,1873,135,0,0,156
136,1882,136,0,0,156
137,1899,137,0,0,158
138,1911,138,22,0,158
139,1912,139,5,0,159
140,1913,140,9,0,159
141,1917,141,4,0,159
142,1918,142,3,0,159
143,1923,143,4,0,159
144,1933,144,0,0,161
145,1941,145,0,0,161
146,1946,146,20,0,161
147,1980,147,4,0,164
148,1986,148,4,0,164
149,1988,149,22,0,164
150,2007,150,19,0,166
151,2009,151,0,0,167
152,2013,152,0,0,167
153,2033,153,0,0,169
154,2050,154,12,0,170
155,2051,155,7,0,170
156,2055,156,3,0,170
157,2056,157,4,0,170
158,2057,158,17,0,170
159,2058,159,5,0,170
160,2060,160,14,0,170
161,2062,161,0,0,171
162,2069,162,14,0,172
163,2077,163,20,0,172
164,2079,164,14,0,172
165,2081,165,19,0,172
166,2124,166,19,0,176
167,2142,167,0,0,178
168,2152,168,22,0,178
169,2158,169,22,0,178
170,2165,170,19,0,179
171,2205,171,0,0,182
172,2210,172,3,0,183
173,2213,173,12,0,183
174,2217,174,9,0,183
175,2224,175,5,0,184
176,2227,176,14,0,184
177,2228,177,1,0,184
178,2230,178,20,0,184
179,2231,179,6,0,184
180,2232,180,19,0,184
181,2233,181,22,0,185
182,2237,182,22,0,185
183,2249,183,19,0,186
184,2252,184,0,0,187
185,2265,185,17,0,188
186,2273,186,0,0,189
187,2310,187,16,0,191
188,2312,188,12,0,191
189,2313,189,0,0,192
190,2323,190,22,0,193
191,2332,191,22,0,193
192,2341,192,16,0,194
193,2343,193,14,0,194
194,2347,194,9,0,195
195,2353,195,9,0,195
196,2356,196,12,0,196
197,2393,197,0,0,199
198,2417,198,0,0,201
199,2441,199,14,0,203
200,2444,200,15,0,203
201,2445,201,20,0,203
202,2449,202,20,0,203
203,2455,203,3,0,204
204,2463,204,0,0,205
205,2465,205,2,0,205
206,2472,206,1,0,205
207,2474,207,0,0,205
208,2476,208,2,0,205
209,2504,209,3,0,209
210,2510,210,0,0,209
211,2516,211,16,0,210
212,2538,212,0,0,212
213,2539,213,20,0,212
214,2545,214,14,0,212
215,2546,215,20,0,212
216,2549,216,3,0,213
217,2573,217,12,0,215
218,2575,218,16,0,215
219,2584,219,16,0,215
220,2589,220,11,0,215
221,2597,221,15,0,216
222,2598,222,0,0,216
223,2599,223,0,0,216
224,2609,224,16,0,218
225,2612,225,20,0,218
226,2614,226,16,0,218
227,2621,227,0,0,218
228,2625,228,3,0,219
229,2658,229,2,0,222
230,2662,230,1,0,222
231,2670,231,2,0,222
232,2672,232,3,0,222
233,2682,233,0,0,224
234,2712,234,3,0,225
235,2715,235,0,0,226
236,2738,236,15,0,228
237,2746,237,0,0,229
238,2771,238,3,0,231
239,2774,239,20,0,232
240,2796,240,0,0,233
241,2807,241,3,0,234
242,2828,242,0,0,236
243,2862,243,15,0,239
244,2892,244,3,0,241
245,2909,245,0,0,242
246,2956,246,0,0,247
247,2972,247,0,0,249
248,2974,248,3,0,249
249,2995,249,3,0,251
250,3004,250,0,0,251
251,3031,251,3,0,253
252,3039,252,3,0,255
253,3040,253,0,0,255
254,3057,254,4,0,256
255,3060,255,1,0,256
256,3065,256,5,0,256
257,3081,257,5,0,258
258,3119,258,0,0,262
259,3145,259,8,0,264
260,3150,260,4,0,264
261,3154,261,1,0,264
262,3156,262,5,0,264
263,3182,263,8,0,268
264,3187,264,5,0,268
265,3188,265,4,0,268
266,3200,266,0,0,269
267,3231,267,0,0,272
268,3284,268,18,0,277
269,3288,269,0,0,277
270,3291,270,22,0,277
271,3299,271,1,0,278
272,3323,272,0,0,280
273,3372,273,1,0,284
274,3374,274,2,0,284
275,3377,275,0,0,284
276,3425,276,0,0,288
277,3433,277,16,0,289
278,3440,278,0,0,290
279,3460,279,22,0,292
280,3461,280,18,0,292
281,3463,281,0,0,292
282,3464,282,18,0,292
283,3477,283,2,0,294
284,3481,284,1,0,294
285,3484,285,2,0,294
286,3495,286,0,0,296
287,3503,287,0,0,296
288,3585,288,1,0,302
289,3588,289,8,0,302
290,3590,290,1,0,302
291,3595,291,4,0,303
292,3596,292,5,0,303
293,3598,293,4,0,303
294,3614,294,0,0,305
295,3616,295,0,0,305
296,3633,296,20,0,306
297,3639,297,0,0,307
298,3674,298,0,0,310
299,3676,299,0,0,310
300,3698,300,4,0,312
301,3703,301,18,0,313
302,3704,302,22,0,313
303,3705,303,0,0,313
304,3706,304,22,0,313
305,3738,305,20,0,316
306,3744,306,22,0,316
307,3746,307,20,0,316
308,3752,308,23,0,316
309,3758,309,0,0,317
310,3769,310,2,0,319
311,3774,311,1,0,319
312,3777,312,2,0,319
313,3781,313,1,0,319
314,3812,314,0,0,322
315,3815,315,0,0,322
316,3818,316,18,0,323
317,3824,317,22,0,323
318,3852,318,4,0,327
319,3855,319,5,0,327
320,3864,320,20,0,328
321,3868,321,20,0,328
322,3869,322,18,0,328
323,3871,323,23,0,328
324,3895,324,0,0,330
325,3896,325,0,0,330
326,3928,326,18,0,333
327,3929,327,0,0,333
328,3931,328,0,0,333
329,3942,329,0,0,335
330,3943,330,22,0,335
331,3944,331,2,0,335
332,3948,332,0,0,335
333,3949,333,1,0,335
334,3952,334,18,0,335
335,3953,335,14,0,335
336,3954,336,16,0,335
337,3964,337,16,0,337
338,3966,338,12,0,337
339,3968,339,18,0,337
340,3971,340,12,0,337
341,3973,341,22,0,337
342,3983,342,18,0,339
343,3984,343,22,0,339
344,3985,344,20,0,339
345,3990,345,16,0,339
346,3995,346,0,0,339
347,4011,347,0,0,341
348,4013,348,20,0,342
349,4019,349,16,0,342
350,4023,350,20,0,342
351,4036,351,13,0,343
352,4037,352,22,0,343
353,4044,353,20,0,344
354,4058,354,16,0,346
355,4060,355,21,0,346
356,4064,356,24,0,346
357,4066,357,3,0,346
358,4068,358,13,0,346
359,4083,359,20,0,348
360,4084,360,16,0,348
361,4085,361,21,0,348
362,4104,362,20,0,350
363,4114,363,3,0,351
364,4115,364,24,0,351
365,4116,365,22,0,351
366,4118,366,10,0,351
367,4124,367,0,0,351
368,4125,368,13,0,351
369,4135,369,6,0,353
370,4139,370,1,0,353
371,4140,371,16,0,353
372,4142,372,2,0,353
373,4147,373,8,0,353
374,4148,374,2,0,353
375,4150,375,0,0,354
376,4157,376,13,0,355
377,4158,377,20,0,355
378,4163,378,0,0,356
379,4169,379,16,0,356
380,4171,380,22,0,357
381,4172,381,24,0,357
382,4181,382,20,0,358
383,4190,383,0,0,358
384,4199,384,22,0,359
385,4224,385,14,0,361
386,4227,386,0,0,362
387,4231,387,3,0,362
388,4250,388,22,0,364
389,4257,389,7,0,365
390,4259,390,3,0,365
391,4262,391,16,0,365
392,4263,392,5,0,365
393,4264,393,12,0,365
394,4268,394,16,0,365
395,4269,395,0,0,365
396,4270,396,4,0,365
397,4271,397,8,0,365
398,4276,398,22,0,366
399,4283,399,3,0,367
400,4290,400,16,0,367
401,4299,401,0,0,368
402,4308,402,3,0,369
403,4312,403,20,0,370
404,4320,404,16,0,371
405,4326,405,22,0,371
406,4330,406,1,0,372
407,4332,407,2,0,372
408,4334,408,0,0,372
409,4338,409,9,0,373
410,4345,410,20,0,373
411,4365,411,0,0,375
412,4367,412,0,0,375
413,4370,413,20,0,375
414,4371,414,14,0,375
415,4380,415,22,0,377
416,4386,416,0,0,377
417,4400,417,9,0,379
418,4404,418,16,0,379
419,4416,419,0,0,379
420,4425,420,22,0,380
421,4441,421,9,0,381
422,4445,422,12,0,382
423,4448,423,0,0,382
424,4450,424,20,0,382
425,4452,425,0,0,382
426,4454,426,11,0,382
427,4460,427,22,0,383
428,4463,428,12,0,384
429,4467,429,9,0,384
430,4471,430,11,0,384
431,4494,431,9,0,386
432,4500,432,22,0,387
433,4507,433,0,0,388
434,4509,434,14,0,388
435,4514,435,15,0,388
436,4516,436,21,0,388
437,4517,437,0,0,388
438,4525,438,23,0,389
439,4526,439,9,0,389
440,4533,440,16,0,390
441,4536,441,21,0,390
442,4555,442,0,0,392
443,4566,443,9,0,393
444,4577,444,21,0,393
445,4581,445,20,0,394
446,4595,446,22,0,395
447,4607,447,9,0,397
448,4620,448,23,0,398
449,4629,449,21,0,398
450,4630,450,0,0,398
451,4644,451,20,0,400
452,4650,452,0,0,401
453,4652,453,9,0,401
454,4662,454,2,0,402
455,4664,455,15,0,402
456,4665,456,1,0,402
457,4669,457,14,0,402
458,4673,458,14,0,402
459,4677,459,22,0,403
460,4718,460,22,0,406
461,4729,461,9,0,407
462,4744,462,0,0,408
463,4750,463,0,0,408
464,4754,464,20,0,409
465,4755,465,18,0,409
466,4779,466,4,0,411
467,4781,467,0,0,411
468,4782,468,1,0,411
469,4783,469,16,0,411
470,4787,470,5,0,411
471,4789,471,5,0,411
472,4799,472,0,0,413
473,4826,473,12,0,415
474,4827,474,16,0,415
475,4836,475,0,0,416
476,4872,476,12,0,419
477,4875,477,0,0,419
478,4878,478,12,0,419
479,4885,479,9,0,420
480,4890,480,16,0,420
481,4905,481,16,0,422
482,4912,482,22,0,422
483,4929,483,12,0,423
484,4934,484,22,0,424
485,4952,485,16,0,425
486,4955,486,0,0,426
487,4958,487,9,0,426
488,4960,488,0,0,426
489,4977,489,16,0,428
490,4986,490,16,0,428
491,5013,491,9,0,430
492,5016,492,0,0,430
493,5022,493,22,0,430
494,5023,494,0,0,430
495,5041,495,16,0,431
496,5045,496,9,0,432
497,5054,497,22,0,432
498,5067,498,0,0,433
499,5069,499,12,0,434
500,5070,500,9,0,434
501,5072,501,20,0,434
502,5076,502,22,0,434
503,5082,503,14,0,434
504,5083,504,15,0,434
505,5088,505,0,0,435
506,5101,506,9,0,436
507,5109,507,16,0,437
508,5118,508,0,0,437
509,5154,509,9,0,440
510,5158,510,22,0,440
511,5163,511,0,0,440
512,5184,512,9,0,442
513,5195,513,22,0,442
514,5199,514,0,0,443
515,5247,515,9,0,446
516,5254,516,22,0,446
517,5269,517,20,0,448
518,5270,518,9,0,448
519,5271,519,14,0,448
520,5272,520,22,0,448
521,5277,521,12,0,448
522,5281,522,0,0,448
523,5293,523,9,0,450
524,5323,524,22,0,452
525,5345,525,0,0,453
526,5384,526,0,0,456
527,5385,527,22,0,456
528,5388,528,21,0,456
529,5391,529,14,0,456
530,5392,530,15,0,456
531,5394,531,22,0,456
532,5396,532,14,0,456
533,5402,533,16,0,456
534,5414,534,16,0,458
535,5417,535,4,0,458
536,5418,536,0,0,458
537,5421,537,16,0,458
538,5422,538,5,0,458
539,5424,539,9,0,458
540,5425,540,4,0,458
541,5435,541,22,0,460
542,5436,542,9,0,460
543,5447,543,0,0,460
544,5459,544,9,0,462
545,5460,545,2,0,462
546,5461,546,14,0,462
547,5462,547,0,0,462
548,5464,548,16,0,462
549,5465,549,1,0,462
550,5467,550,12,0,462
551,5468,551,1,0,462
552,5469,552,12,0,462
553,5470,553,20,0,462
554,5477,554,9,0,464
555,5478,555,12,0,464
556,5483,556,2,0,464
557,5492,557,0,0,465
558,5495,558,9,0,466
559,5498,559,16,0,466
560,5499,560,16,0,466
561,5500,561,14,0,466
562,5503,562,0,0,467
563,5528,563,22,0,469
564,5540,564,8,0,470
565,5541,565,14,0,470
566,5542,566,12,0,470
567,5545,567,16,0,470
568,5546,568,5,0,471
569,5549,569,5,0,471
570,5551,570,4,0,471
571,5554,571,0,0,471
572,5571,572,0,0,473
573,5573,573,16,0,473
574,5639,574,0,0,479
575,5661,575,12,0,481
576,5665,576,9,0,481
577,5671,577,5,0,482
578,5672,578,4,0,482
579,5674,579,16,0,482
580,5679,580,14,0,482
581,5681,581,0,0,483
582,5690,582,14,0,484
583,5703,583,16,0,485
584,5708,584,16,0,485
585,5716,585,0,0,486
586,5719,586,22,0,487
587,5755,587,0,0,490
588,5756,588,16,0,490
589,5757,589,12,0,490
590,5764,590,16,0,490
591,5765,591,8,0,490
592,5798,592,12,0,494
593,5804,593,9,0,494
594,5807,594,20,0,495
595,5808,595,1,0,495
596,5811,596,10,0,495
597,5825,597,0,0,497
598,5846,598,22,0,499
599,5854,599,0,0,500
600,5892,600,2,0,503
601,5893,601,0,0,503
602,5896,602,1,0,503
603,5901,603,2,0,503
604,5902,604,1,0,503
605,5922,605,2,0,505
606,5925,606,2,0,505
607,5927,607,1,0,505
608,5929,608,0,0,506
609,5931,609,20,0,506
610,5932,610,9,0,506
611,5970,611,0,0,509
612,6026,612,0,0,514
613,6079,613,9,0,519
614,6083,614,14,0,519
615,6084,615,0,0,519
616,6086,616,0,0,519
617,6087,617,22,0,519
618,6216,618,0,0,529
619,6235,619,0,0,531
620,6239,620,0,0,531
621,6253,621,18,0,532
622,6261,622,21,0,532
623,6263,623,16,0,532
624,6276,624,22,0,534
625,6277,625,18,0,534
626,6279,626,14,0,534
627,6280,627,5,0,534
628,6281,628,15,0,534
629,6282,629,4,0,534
630,6286,630,23,0,534
631,6288,631,10,0,534
632,6289,632,20,0,534
633,6290,633,5,0,534
634,6291,634,4,0,534
635,6299,635,0,0,535
636,6312,636,0,0,537
637,6314,637,0,0,537
638,6394,638,0,0,543
639,6415,639,0,0,545
640,6417,640,0,0,545
641,6437,641,15,0,547
642,6451,642,16,0,548
643,6453,643,18,0,548
644,6473,644,18,0,550
645,6476,645,22,0,550
646,6485,646,21,0,550
647,6491,647,4,0,551
648,6509,648,0,0,553
649,6525,649,10,0,554
