,index,frompos,topos,frompla,topla,possesteam,teamname,playNum,period,gameid,fromid,toid,newfpos,newtpos,newfposname,newtposname
0,0,23,2,4319,5259,783,Uruguay,1,1,7578,0,1,3,1,Fw,Def
1,1,2,16,5259,5247,783,Uruguay,1,1,7578,1,2,1,2,Def,Mid
2,2,12,1,5255,5264,783,Uruguay,1,1,7578,3,4,2,1,Mid,Def
3,3,12,2,5255,5259,783,Uruguay,1,1,7578,3,1,2,1,Mid,Def
4,4,2,4,5259,5249,783,Uruguay,1,1,7578,1,5,1,1,Def,Def
5,5,4,12,5249,5255,783,Uruguay,1,1,7578,5,3,1,2,Def,Mid
6,6,12,4,5255,5249,783,Uruguay,1,1,7578,3,5,2,1,Mid,Def
7,7,4,14,5249,5260,783,Uruguay,1,1,7578,5,6,1,2,Def,Mid
8,8,14,20,5260,5258,783,Uruguay,1,1,7578,6,7,2,2,Mid,Mid
9,9,20,4,5258,5249,783,Uruguay,1,1,7578,7,5,2,1,Mid,Def
10,10,4,5,5249,5248,783,Uruguay,1,1,7578,5,8,1,1,Def,Def
11,11,5,4,5248,5249,783,Uruguay,1,1,7578,8,5,1,1,Def,Def
12,12,4,1,5249,5264,783,Uruguay,1,1,7578,5,4,1,1,Def,Def
13,13,1,12,5264,5255,783,Uruguay,1,1,7578,4,3,1,2,Def,Mid
14,14,1,14,5264,5260,783,Uruguay,1,1,7578,4,6,1,2,Def,Mid
15,15,14,5,5260,5248,783,Uruguay,1,1,7578,6,8,2,1,Mid,Def
16,16,5,20,5248,5258,783,Uruguay,1,1,7578,8,7,1,2,Def,Mid
17,17,20,2,5258,5259,783,Uruguay,1,1,7578,7,1,2,1,Mid,Def
18,18,2,4,5259,5249,783,Uruguay,1,1,7578,1,5,1,1,Def,Def
19,19,4,16,5249,5247,783,Uruguay,1,1,7578,5,2,1,2,Def,Mid
20,20,5,4,5263,4063,774,Egypt,2,2,7578,9,10,1,1,Def,Def
21,21,4,22,4063,5252,774,Egypt,2,2,7578,10,11,1,3,Def,Fw
22,22,2,12,5259,5255,783,Uruguay,3,3,7578,1,3,1,2,Def,Mid
23,23,12,14,5255,5260,783,Uruguay,3,3,7578,3,6,2,2,Mid,Mid
24,24,14,16,5260,5247,783,Uruguay,3,3,7578,6,2,2,2,Mid,Mid
25,25,16,1,5247,5264,783,Uruguay,3,3,7578,2,4,2,1,Mid,Def
26,26,1,14,5264,5260,783,Uruguay,3,3,7578,4,6,1,2,Def,Mid
27,27,14,20,5260,5258,783,Uruguay,3,3,7578,6,7,2,2,Mid,Mid
28,28,20,21,5258,5246,783,Uruguay,3,3,7578,7,12,2,3,Mid,Fw
29,29,21,20,5246,5258,783,Uruguay,3,3,7578,12,7,3,2,Fw,Mid
30,30,12,18,3568,5251,774,Egypt,4,4,7578,13,14,2,2,Mid,Mid
31,31,18,11,5251,5253,774,Egypt,4,4,7578,14,15,2,2,Mid,Mid
32,32,2,16,5259,5247,783,Uruguay,5,5,7578,1,2,1,2,Def,Mid
33,33,5,4,5263,4063,774,Egypt,6,6,7578,9,10,1,1,Def,Def
34,34,4,2,4063,5254,774,Egypt,6,6,7578,10,16,1,1,Def,Def
35,35,2,4,5254,4063,774,Egypt,6,6,7578,16,10,1,1,Def,Def
36,36,4,12,4063,3568,774,Egypt,6,6,7578,10,13,1,2,Def,Mid
37,37,12,11,3568,5253,774,Egypt,6,6,7578,13,15,2,2,Mid,Mid
38,38,11,2,5253,5254,774,Egypt,6,6,7578,15,16,2,1,Mid,Def
39,39,2,4,5254,4063,774,Egypt,6,6,7578,16,10,1,1,Def,Def
40,40,4,15,4063,5261,774,Egypt,6,6,7578,10,17,1,2,Def,Mid
41,41,16,23,5247,4319,783,Uruguay,7,7,7578,2,0,2,3,Mid,Fw
42,42,15,5,5261,5263,774,Egypt,8,8,7578,17,9,2,1,Mid,Def
43,43,5,14,5263,5262,774,Egypt,8,8,7578,9,18,1,2,Def,Mid
44,44,14,18,5262,5251,774,Egypt,8,8,7578,18,14,2,2,Mid,Mid
45,45,15,14,5261,5262,774,Egypt,8,8,7578,17,18,2,2,Mid,Mid
46,46,14,5,5262,5263,774,Egypt,8,8,7578,18,9,2,1,Mid,Def
47,47,5,4,5263,4063,774,Egypt,8,8,7578,9,10,1,1,Def,Def
48,48,4,15,4063,5261,774,Egypt,8,8,7578,10,17,1,2,Def,Mid
49,49,15,5,5261,5263,774,Egypt,8,8,7578,17,9,2,1,Mid,Def
50,50,5,18,5263,5251,774,Egypt,8,8,7578,9,14,1,2,Def,Mid
51,51,18,5,5251,5263,774,Egypt,8,8,7578,14,9,2,1,Mid,Def
52,52,5,18,5263,5251,774,Egypt,8,8,7578,9,14,1,2,Def,Mid
53,53,18,22,5251,5252,774,Egypt,8,8,7578,14,11,2,3,Mid,Fw
54,54,5,18,5263,5251,774,Egypt,8,8,7578,9,14,1,2,Def,Mid
