,index,frompos,topos,frompla,topla,possesteam,teamname,playNum,period,gameid,fromid,toid,newfpos,newtpos,newfposname,newtposname
0,0,22,9,5472,5469,785,Croatia,1,1,8658,0,11,3,2,Fw,Mid
1,1,12,1,5463,5461,785,Croatia,1,1,8658,2,32,2,1,Mid,Def
2,2,0,22,3444,5472,785,Croatia,1,1,8658,4,0,0,3,GK,Fw
3,3,20,14,5474,5470,785,Croatia,1,1,8658,6,7,2,2,Mid,Mid
4,4,14,5,5470,5457,785,Croatia,1,1,8658,7,9,2,1,Mid,Def
5,5,5,9,5457,5469,785,Croatia,1,1,8658,9,11,1,2,Def,Mid
6,6,9,20,5469,5474,785,Croatia,1,1,8658,11,6,2,2,Mid,Mid
7,7,20,4,5474,5468,785,Croatia,1,1,8658,6,13,2,1,Mid,Def
8,8,4,12,5468,5463,785,Croatia,1,1,8658,13,2,1,2,Def,Mid
9,9,12,4,5463,5468,785,Croatia,1,1,8658,2,13,2,1,Mid,Def
10,10,4,14,5468,5470,785,Croatia,1,1,8658,13,7,1,2,Def,Mid
11,11,14,4,5470,5468,785,Croatia,1,1,8658,7,13,2,1,Mid,Def
12,12,4,2,5468,3471,785,Croatia,1,1,8658,13,29,1,1,Def,Def
13,13,14,20,5470,5474,785,Croatia,1,1,8658,7,6,2,2,Mid,Mid
14,14,10,8,3961,20004,771,France,2,2,8658,16,24,2,2,Mid,Mid
15,15,9,20,5469,5474,785,Croatia,3,3,8658,11,6,2,2,Mid,Mid
16,16,20,14,5474,5470,785,Croatia,3,3,8658,6,7,2,2,Mid,Mid
17,17,2,0,5485,3099,771,France,4,4,8658,17,18,1,0,Def,GK
18,18,0,4,3099,5492,771,France,4,4,8658,18,20,0,1,GK,Def
19,19,15,4,4375,5492,771,France,4,4,8658,19,20,2,1,Mid,Def
20,20,4,23,5492,3604,771,France,4,4,8658,20,22,1,3,Def,Fw
21,21,23,15,3604,4375,771,France,4,4,8658,22,19,3,2,Fw,Mid
22,22,15,23,4375,3604,771,France,4,4,8658,19,22,2,3,Mid,Fw
23,23,23,2,3604,5485,771,France,4,4,8658,22,17,3,1,Fw,Def
24,24,2,8,5485,20004,771,France,4,4,8658,17,24,1,2,Def,Mid
25,25,8,21,20004,5487,771,France,4,4,8658,24,41,2,3,Mid,Fw
26,26,9,5,5469,5457,785,Croatia,5,5,8658,11,9,2,1,Mid,Def
27,27,5,22,5457,5472,785,Croatia,5,5,8658,9,0,1,3,Def,Fw
28,28,5,22,5457,5472,785,Croatia,5,5,8658,9,0,1,3,Def,Fw
29,29,22,14,5472,5470,785,Croatia,5,5,8658,0,7,3,2,Fw,Mid
30,30,9,4,5469,5468,785,Croatia,5,5,8658,11,13,2,1,Mid,Def
31,31,4,9,5468,5469,785,Croatia,5,5,8658,13,11,1,2,Def,Mid
32,32,9,14,5469,5470,785,Croatia,5,5,8658,11,7,2,2,Mid,Mid
33,33,14,9,5470,5469,785,Croatia,5,5,8658,7,11,2,2,Mid,Mid
34,34,9,2,5469,3471,785,Croatia,5,5,8658,11,29,2,1,Mid,Def
35,35,2,4,3471,5468,785,Croatia,5,5,8658,29,13,1,1,Def,Def
36,36,4,14,5468,5470,785,Croatia,5,5,8658,13,7,1,2,Def,Mid
37,37,14,16,5470,5465,785,Croatia,5,5,8658,7,31,2,2,Mid,Mid
38,38,16,1,5465,5461,785,Croatia,5,5,8658,31,32,2,1,Mid,Def
39,39,16,1,5465,5461,785,Croatia,5,5,8658,31,32,2,1,Mid,Def
40,40,1,14,5461,5470,785,Croatia,5,5,8658,32,7,1,2,Def,Mid
41,41,1,12,5461,5463,785,Croatia,5,5,8658,32,2,1,2,Def,Mid
42,42,12,1,5463,5461,785,Croatia,5,5,8658,2,32,2,1,Mid,Def
43,43,15,10,4375,3961,771,France,6,6,8658,19,16,2,2,Mid,Mid
44,44,5,10,5484,3961,771,France,6,6,8658,37,16,1,2,Def,Mid
45,45,10,23,3961,3604,771,France,6,6,8658,16,22,2,3,Mid,Fw
46,46,2,4,3471,5468,785,Croatia,7,7,8658,29,13,1,1,Def,Def
47,47,4,0,5468,3444,785,Croatia,7,7,8658,13,4,1,0,Def,GK
48,48,0,2,3444,3471,785,Croatia,7,7,8658,4,29,0,1,GK,Def
49,49,2,9,3471,5469,785,Croatia,7,7,8658,29,11,1,2,Def,Mid
50,50,9,12,5469,5463,785,Croatia,7,7,8658,11,2,2,2,Mid,Mid
51,51,12,22,5463,5472,785,Croatia,7,7,8658,2,0,2,3,Mid,Fw
52,52,22,16,5472,5465,785,Croatia,7,7,8658,0,31,3,2,Fw,Mid
53,53,4,10,5492,3961,771,France,8,8,8658,20,16,1,2,Def,Mid
54,54,0,2,3099,5485,771,France,8,8,8658,18,17,0,1,GK,Def
55,55,2,8,5485,20004,771,France,8,8,8658,17,24,1,2,Def,Mid
56,56,8,4,20004,5492,771,France,8,8,8658,24,20,2,1,Mid,Def
57,57,4,10,5492,3961,771,France,8,8,8658,20,16,1,2,Def,Mid
58,58,10,4,3961,5492,771,France,8,8,8658,16,20,2,1,Mid,Def
59,59,4,10,5492,3961,771,France,8,8,8658,20,16,1,2,Def,Mid
60,60,10,8,3961,20004,771,France,8,8,8658,16,24,2,2,Mid,Mid
61,61,8,1,20004,5476,771,France,8,8,8658,24,38,2,1,Mid,Def
62,62,1,2,5476,5485,771,France,8,8,8658,38,17,1,1,Def,Def
63,63,2,4,5485,5492,771,France,8,8,8658,17,20,1,1,Def,Def
64,64,4,15,5492,4375,771,France,8,8,8658,20,19,1,2,Def,Mid
65,65,15,5,4375,5484,771,France,8,8,8658,19,37,2,1,Mid,Def
66,66,9,14,5469,5470,785,Croatia,9,9,8658,11,7,2,2,Mid,Mid
67,67,14,9,5470,5469,785,Croatia,9,9,8658,7,11,2,2,Mid,Mid
68,68,12,9,5463,5469,785,Croatia,9,9,8658,2,11,2,2,Mid,Mid
69,69,9,14,5469,5470,785,Croatia,9,9,8658,11,7,2,2,Mid,Mid
70,70,14,5,5470,5457,785,Croatia,9,9,8658,7,9,2,1,Mid,Def
71,71,5,14,5457,5470,785,Croatia,9,9,8658,9,7,1,2,Def,Mid
72,72,14,9,5470,5469,785,Croatia,9,9,8658,7,11,2,2,Mid,Mid
73,73,14,20,5470,5474,785,Croatia,9,9,8658,7,6,2,2,Mid,Mid
74,74,23,8,3604,20004,771,France,10,10,8658,22,24,3,2,Fw,Mid
75,75,0,23,3099,3604,771,France,10,10,8658,18,22,0,3,GK,Fw
76,76,14,0,5470,3444,785,Croatia,11,11,8658,7,4,2,0,Mid,GK
77,77,2,0,3471,3444,785,Croatia,11,11,8658,29,4,1,0,Def,GK
78,78,0,2,3444,3471,785,Croatia,11,11,8658,4,29,0,1,GK,Def
79,79,2,1,3471,5461,785,Croatia,11,11,8658,29,32,1,1,Def,Def
80,80,2,22,3471,5472,785,Croatia,11,11,8658,29,0,1,3,Def,Fw
81,81,0,10,3099,3961,771,France,12,12,8658,18,16,0,2,GK,Mid
82,82,12,9,5463,5469,785,Croatia,13,13,8658,2,11,2,2,Mid,Mid
83,83,14,12,5470,5463,785,Croatia,13,13,8658,7,2,2,2,Mid,Mid
84,84,12,5,5463,5457,785,Croatia,13,13,8658,2,9,2,1,Mid,Def
85,85,5,20,5457,5474,785,Croatia,13,13,8658,9,6,1,2,Def,Mid
86,86,20,16,5474,5465,785,Croatia,13,13,8658,6,31,2,2,Mid,Mid
87,87,9,4,5469,5468,785,Croatia,13,13,8658,11,13,2,1,Mid,Def
88,88,4,9,5468,5469,785,Croatia,13,13,8658,13,11,1,2,Def,Mid
89,89,9,14,5469,5470,785,Croatia,13,13,8658,11,7,2,2,Mid,Mid
90,90,14,9,5470,5469,785,Croatia,13,13,8658,7,11,2,2,Mid,Mid
91,91,9,2,5469,3471,785,Croatia,13,13,8658,11,29,2,1,Mid,Def
92,92,2,12,3471,5463,785,Croatia,13,13,8658,29,2,1,2,Def,Mid
93,93,12,1,5463,5461,785,Croatia,13,13,8658,2,32,2,1,Mid,Def
94,94,1,2,5461,3471,785,Croatia,13,13,8658,32,29,1,1,Def,Def
95,95,2,9,3471,5469,785,Croatia,13,13,8658,29,11,1,2,Def,Mid
96,96,9,1,5469,5461,785,Croatia,13,13,8658,11,32,2,1,Mid,Def
97,97,12,2,5463,3471,785,Croatia,13,13,8658,2,29,2,1,Mid,Def
98,98,2,9,3471,5469,785,Croatia,13,13,8658,29,11,1,2,Def,Mid
99,99,9,14,5469,5470,785,Croatia,13,13,8658,11,7,2,2,Mid,Mid
100,100,14,20,5470,5474,785,Croatia,13,13,8658,7,6,2,2,Mid,Mid
101,101,0,23,3099,3604,771,France,14,14,8658,18,22,0,3,GK,Fw
102,102,23,8,3604,20004,771,France,14,14,8658,22,24,3,2,Fw,Mid
103,103,5,15,5484,4375,771,France,14,14,8658,37,19,1,2,Def,Mid
104,104,12,22,5463,5472,785,Croatia,15,15,8658,2,0,2,3,Mid,Fw
105,105,8,4,20004,5492,771,France,16,16,8658,24,20,2,1,Mid,Def
106,106,4,2,5492,5485,771,France,16,16,8658,20,17,1,1,Def,Def
107,107,1,2,5476,5485,771,France,16,16,8658,38,17,1,1,Def,Def
108,108,2,1,5485,5476,771,France,16,16,8658,17,38,1,1,Def,Def
109,109,1,0,5476,3099,771,France,16,16,8658,38,18,1,0,Def,GK
110,110,0,15,3099,4375,771,France,16,16,8658,18,19,0,2,GK,Mid
111,111,2,22,3471,5472,785,Croatia,17,17,8658,29,0,1,3,Def,Fw
112,112,5,21,5484,5487,771,France,18,18,8658,37,41,1,3,Def,Fw
113,113,21,15,5487,4375,771,France,18,18,8658,41,19,3,2,Fw,Mid
114,114,15,4,4375,5492,771,France,18,18,8658,19,20,2,1,Mid,Def
115,115,4,2,5492,5485,771,France,18,18,8658,20,17,1,1,Def,Def
116,116,2,11,5485,3009,771,France,18,18,8658,17,42,1,2,Def,Mid
117,117,1,2,5476,5485,771,France,18,18,8658,38,17,1,1,Def,Def
118,118,2,4,5485,5492,771,France,18,18,8658,17,20,1,1,Def,Def
119,119,4,23,5492,3604,771,France,18,18,8658,20,22,1,3,Def,Fw
120,120,2,9,3471,5469,785,Croatia,19,19,8658,29,11,1,2,Def,Mid
