,gid,plaid,posid,teamid,teamname,newpos,newposname
0,0,5472,22,785,Croatia,3,Fw
1,1,5259,9,785,Croatia,2,Mid
2,2,5463,12,785,Croatia,2,Mid
3,3,5247,1,785,Croatia,1,Def
4,4,3444,0,785,Croatia,0,GK
5,5,5264,22,785,Croatia,3,Fw
6,6,5474,20,785,Croatia,2,Mid
7,7,5470,14,785,Croatia,2,Mid
8,8,5249,5,785,Croatia,1,Def
9,9,5457,5,785,Croatia,1,Def
10,10,5255,9,785,Croatia,2,Mid
11,11,5469,9,785,Croatia,2,Mid
12,12,5260,4,785,Croatia,1,Def
13,13,5468,4,785,Croatia,1,Def
14,14,5258,12,785,Croatia,2,Mid
15,15,5248,14,785,Croatia,2,Mid
16,16,3961,10,771,France,2,Mid
17,17,5485,2,771,France,1,Def
18,18,3099,0,771,France,0,GK
19,19,4375,15,771,France,2,Mid
20,20,5492,4,771,France,1,Def
21,21,4063,23,771,France,3,Fw
22,22,3604,23,771,France,3,Fw
23,23,5252,15,771,France,2,Mid
24,24,20004,8,771,France,2,Mid
25,25,5246,22,785,Croatia,3,Fw
26,26,5251,4,785,Croatia,1,Def
27,27,5253,9,785,Croatia,2,Mid
28,28,5254,2,785,Croatia,1,Def
29,29,3471,2,785,Croatia,1,Def
30,30,3568,14,785,Croatia,2,Mid
31,31,5465,16,785,Croatia,2,Mid
32,32,5461,1,785,Croatia,1,Def
33,33,5261,14,785,Croatia,2,Mid
34,34,4319,12,785,Croatia,2,Mid
35,35,5263,1,785,Croatia,1,Def
36,36,5262,10,771,France,2,Mid
37,37,5484,5,771,France,1,Def
38,38,5476,1,771,France,1,Def
39,39,5250,2,771,France,1,Def
40,40,5267,12,785,Croatia,2,Mid
41,41,5487,21,771,France,3,Fw
42,42,3009,11,771,France,2,Mid
43,43,5265,11,771,France,2,Mid
44,44,5737,10,771,France,2,Mid
45,45,5480,15,771,France,2,Mid
46,46,5460,16,785,Croatia,2,Mid
47,47,3878,12,785,Croatia,2,Mid
48,48,5459,5,785,Croatia,1,Def
49,49,5268,14,785,Croatia,2,Mid
50,50,2948,11,771,France,2,Mid
51,51,5256,14,785,Croatia,2,Mid
