,index,frompos,topos,frompla,topla,fromid,toid,newfpos,newtpos,newfposname,newtposname,playNum,period
0,0,20,10,5474,3961,6,16,2,2,Mid,Mid,1,1
1,1,8,9,20004,5469,24,11,2,2,Mid,Mid,2,2
2,2,14,2,5470,5485,7,17,2,1,Mid,Def,3,3
3,3,21,9,5487,5469,41,11,3,2,Fw,Mid,4,4
4,4,1,15,5461,4375,32,19,1,2,Def,Mid,5,5
5,5,23,2,3604,3471,22,29,3,1,Fw,Def,6,6
6,6,16,4,5465,5492,31,20,2,1,Mid,Def,7,7
7,7,5,9,5484,5469,37,11,1,2,Def,Mid,8,8
8,8,20,23,5474,3604,6,22,2,3,Mid,Fw,9,9
9,9,23,14,3604,5470,22,7,3,2,Fw,Mid,10,10
10,10,22,0,5472,3099,0,18,3,0,Fw,GK,11,11
11,11,10,12,3961,5463,16,2,2,2,Mid,Mid,12,12
12,12,20,0,5474,3099,6,18,2,0,Mid,GK,13,13
13,13,15,12,4375,5463,19,2,2,2,Mid,Mid,14,14
14,14,22,8,5472,20004,0,24,3,2,Fw,Mid,15,15
15,15,15,2,4375,3471,19,29,2,1,Mid,Def,16,16
16,16,22,5,5472,5484,0,37,3,1,Fw,Def,17,17
17,17,23,2,3604,3471,22,29,3,1,Fw,Def,18,18
18,18,1,5,5461,5484,32,37,1,1,Def,Def,19,19
19,19,11,16,3009,5465,42,31,2,2,Mid,Mid,20,20
20,20,14,23,5470,3604,7,22,2,3,Mid,Fw,21,21
21,21,21,20,5487,5474,41,6,3,2,Fw,Mid,22,22
22,22,22,2,5472,5485,0,17,3,1,Fw,Def,23,23
23,23,21,22,5487,5472,41,0,3,3,Fw,Fw,24,24
24,24,20,5,5474,5484,6,37,2,1,Mid,Def,25,25
25,25,23,12,3604,5463,22,2,3,2,Fw,Mid,26,26
26,26,4,0,5468,3099,13,18,1,0,Def,GK,27,27
27,27,23,12,3604,5463,22,2,3,2,Fw,Mid,28,28
28,28,1,5,5461,5484,32,37,1,1,Def,Def,29,29
29,29,4,12,5492,5463,20,2,1,2,Def,Mid,30,30
30,30,12,15,5463,4375,2,19,2,2,Mid,Mid,31,31
31,31,11,14,3009,5470,42,7,2,2,Mid,Mid,32,32
32,32,2,21,3471,5487,29,41,1,3,Def,Fw,33,33
33,33,5,1,5484,5461,37,32,1,1,Def,Def,34,34
34,34,20,21,5474,5487,6,41,2,3,Mid,Fw,35,35
35,35,11,5,3009,5457,42,9,2,1,Mid,Def,36,36
36,36,22,4,5472,5492,0,20,3,1,Fw,Def,37,37
37,37,23,1,3604,5461,22,32,3,1,Fw,Def,38,38
38,38,9,5,5469,5484,11,37,2,1,Mid,Def,39,39
39,39,23,2,3604,3471,22,29,3,1,Fw,Def,40,40
40,40,14,21,5470,5487,7,41,2,3,Mid,Fw,41,41
41,41,11,16,3009,5465,42,31,2,2,Mid,Mid,42,42
42,42,2,1,3471,5476,29,38,1,1,Def,Def,43,43
43,43,11,20,3009,5474,42,6,2,2,Mid,Mid,44,44
44,44,22,5,5472,5484,0,37,3,1,Fw,Def,45,45
45,45,21,12,5487,5463,41,2,3,2,Fw,Mid,46,46
46,46,20,5,5474,5484,6,37,2,1,Mid,Def,47,47
47,47,23,12,3604,5463,22,2,3,2,Fw,Mid,48,48
48,48,20,5,5474,5484,6,37,2,1,Mid,Def,49,49
49,49,23,14,3604,5470,22,7,3,2,Fw,Mid,50,50
50,50,22,0,5472,3099,0,18,3,0,Fw,GK,51,51
51,51,11,1,3009,5461,42,32,2,1,Mid,Def,52,52
52,52,16,0,5465,3099,31,18,2,0,Mid,GK,53,53
53,53,11,2,3009,3471,42,29,2,1,Mid,Def,54,54
54,54,16,2,5465,5485,31,17,2,1,Mid,Def,55,55
55,55,4,9,5492,5469,20,11,1,2,Def,Mid,56,56
56,56,22,0,5472,3099,0,18,3,0,Fw,GK,57,57
57,57,23,1,3604,5461,22,32,3,1,Fw,Def,58,58
58,58,1,23,5461,3604,32,22,1,3,Def,Fw,59,59
59,59,11,14,3009,5470,42,7,2,2,Mid,Mid,60,60
