,index,frompos,topos,frompla,topla,fromid,toid,newfpos,newtpos,newfposname,newtposname,playNum,period
0,0,16,5,5247,5263,2,9,2,1,Mid,Def,1,1
1,1,22,2,5252,5259,11,1,3,1,Fw,Def,2,2
2,2,20,12,5258,3568,7,13,2,2,Mid,Mid,3,3
3,3,11,2,5253,5259,15,1,2,1,Mid,Def,4,4
4,4,16,5,5247,5263,2,9,2,1,Mid,Def,5,5
5,5,15,16,5261,5247,17,2,2,2,Mid,Mid,6,6
6,6,23,15,4319,5261,0,17,3,2,Fw,Mid,7,7
7,7,15,21,5261,5246,17,12,2,3,Mid,Fw,8,8
8,8,21,14,5246,5262,12,18,3,2,Fw,Mid,9,9
9,9,12,20,3568,5258,13,7,2,2,Mid,Mid,10,10
10,10,16,4,5247,4063,2,10,2,1,Mid,Def,11,11
11,11,18,20,5251,5258,14,7,2,2,Mid,Mid,12,12
12,12,20,12,5258,3568,7,13,2,2,Mid,Mid,13,13
13,13,18,5,5251,5248,14,8,2,1,Mid,Def,14,14
14,14,14,14,5260,5262,6,18,2,2,Mid,Mid,15,15
15,15,18,1,5251,5264,14,4,2,1,Mid,Def,16,16
16,16,21,4,5246,4063,12,10,3,1,Fw,Def,17,17
17,17,5,16,5263,5247,9,2,1,2,Def,Mid,18,18
18,18,21,4,5246,4063,12,10,3,1,Fw,Def,19,19
19,19,15,16,5261,5247,17,2,2,2,Mid,Mid,20,20
20,20,23,14,4319,5262,0,18,3,2,Fw,Mid,21,21
21,21,22,14,5252,5260,11,6,3,2,Fw,Mid,22,22
22,22,20,11,5258,5253,7,15,2,2,Mid,Mid,23,23
23,23,22,4,5252,5249,11,5,3,1,Fw,Def,24,24
24,24,5,11,5248,5253,8,15,1,2,Def,Mid,25,25
25,25,18,16,5251,5247,14,2,2,2,Mid,Mid,26,26
26,26,21,0,5246,5265,12,21,3,0,Fw,GK,27,27
27,27,18,5,5251,5248,14,8,2,1,Mid,Def,28,28
28,28,21,0,5246,5265,12,21,3,0,Fw,GK,29,29
29,29,22,12,5252,5255,11,3,3,2,Fw,Mid,30,30
30,30,12,18,5255,5251,3,14,2,2,Mid,Mid,31,31
31,31,18,4,5251,5249,14,5,2,1,Mid,Def,32,32
32,32,20,18,5258,5251,7,14,2,2,Mid,Mid,33,33
33,33,22,4,5252,5249,11,5,3,1,Fw,Def,34,34
34,34,16,14,5247,5262,2,18,2,2,Mid,Mid,35,35
35,35,11,2,5253,5259,15,1,2,1,Mid,Def,36,36
36,36,14,22,5260,5252,6,11,2,3,Mid,Fw,37,37
37,37,18,0,5251,5267,14,20,2,0,Mid,GK,38,38
38,38,20,1,5258,5250,7,19,2,1,Mid,Def,39,39
39,39,18,0,5251,5267,14,20,2,0,Mid,GK,40,40
40,40,16,14,5247,5262,2,18,2,2,Mid,Mid,41,41
41,41,11,5,5253,5248,15,8,2,1,Mid,Def,42,42
42,42,5,1,5248,5250,8,19,1,1,Def,Def,43,43
