,index,frompos,topos,frompla,topla,possesteam,teamname,playNum,period,gameid,fromid,toid,newfpos,newtpos,newfposname,newtposname
0,0,23,2,4319,5259,783,Uruguay,1,1,7578,0,1,3,1,Fw,Def
1,1,2,16,5259,5247,783,Uruguay,1,1,7578,1,2,1,2,Def,Mid
2,2,12,1,5255,5264,783,Uruguay,1,1,7578,3,4,2,1,Mid,Def
3,3,12,2,5255,5259,783,Uruguay,1,1,7578,3,1,2,1,Mid,Def
4,4,2,4,5259,5249,783,Uruguay,1,1,7578,1,5,1,1,Def,Def
5,5,4,12,5249,5255,783,Uruguay,1,1,7578,5,3,1,2,Def,Mid
6,6,12,4,5255,5249,783,Uruguay,1,1,7578,3,5,2,1,Mid,Def
7,7,4,14,5249,5260,783,Uruguay,1,1,7578,5,6,1,2,Def,Mid
8,8,14,20,5260,5258,783,Uruguay,1,1,7578,6,7,2,2,Mid,Mid
9,9,20,4,5258,5249,783,Uruguay,1,1,7578,7,5,2,1,Mid,Def
10,10,4,5,5249,5248,783,Uruguay,1,1,7578,5,8,1,1,Def,Def
11,11,5,4,5248,5249,783,Uruguay,1,1,7578,8,5,1,1,Def,Def
12,12,4,1,5249,5264,783,Uruguay,1,1,7578,5,4,1,1,Def,Def
13,13,1,12,5264,5255,783,Uruguay,1,1,7578,4,3,1,2,Def,Mid
14,14,1,14,5264,5260,783,Uruguay,1,1,7578,4,6,1,2,Def,Mid
15,15,14,5,5260,5248,783,Uruguay,1,1,7578,6,8,2,1,Mid,Def
16,16,5,20,5248,5258,783,Uruguay,1,1,7578,8,7,1,2,Def,Mid
17,17,20,2,5258,5259,783,Uruguay,1,1,7578,7,1,2,1,Mid,Def
18,18,2,4,5259,5249,783,Uruguay,1,1,7578,1,5,1,1,Def,Def
19,19,4,16,5249,5247,783,Uruguay,1,1,7578,5,2,1,2,Def,Mid
20,20,15,5,5261,5263,774,Egypt,2,2,7578,9,10,2,1,Mid,Def
21,21,5,14,5263,5262,774,Egypt,2,2,7578,10,11,1,2,Def,Mid
22,22,14,18,5262,5251,774,Egypt,2,2,7578,11,12,2,2,Mid,Mid
23,23,15,14,5261,5262,774,Egypt,2,2,7578,9,11,2,2,Mid,Mid
24,24,14,5,5262,5263,774,Egypt,2,2,7578,11,10,2,1,Mid,Def
25,25,5,4,5263,4063,774,Egypt,2,2,7578,10,13,1,1,Def,Def
26,26,4,15,4063,5261,774,Egypt,2,2,7578,13,9,1,2,Def,Mid
27,27,15,5,5261,5263,774,Egypt,2,2,7578,9,10,2,1,Mid,Def
28,28,5,18,5263,5251,774,Egypt,2,2,7578,10,12,1,2,Def,Mid
29,29,18,5,5251,5263,774,Egypt,2,2,7578,12,10,2,1,Mid,Def
30,30,5,18,5263,5251,774,Egypt,2,2,7578,10,12,1,2,Def,Mid
31,31,18,22,5251,5252,774,Egypt,2,2,7578,12,14,2,3,Mid,Fw
32,32,5,18,5263,5251,774,Egypt,2,2,7578,10,12,1,2,Def,Mid
33,33,5,18,5263,5251,774,Egypt,2,2,7578,10,12,1,2,Def,Mid
34,34,18,15,5251,5261,774,Egypt,2,2,7578,12,9,2,2,Mid,Mid
35,35,11,18,5253,5251,774,Egypt,3,3,7578,15,12,2,2,Mid,Mid
36,36,1,11,5250,5253,774,Egypt,3,3,7578,16,15,1,2,Def,Mid
37,37,14,2,5262,5254,774,Egypt,3,3,7578,11,17,2,1,Mid,Def
38,38,1,12,5250,3568,774,Egypt,3,3,7578,16,18,1,2,Def,Mid
39,39,12,11,3568,5253,774,Egypt,3,3,7578,18,15,2,2,Mid,Mid
40,40,1,14,5250,5262,774,Egypt,3,3,7578,16,11,1,2,Def,Mid
41,41,14,12,5262,3568,774,Egypt,3,3,7578,11,18,2,2,Mid,Mid
42,42,12,1,3568,5250,774,Egypt,3,3,7578,18,16,2,1,Mid,Def
43,43,1,11,5250,5253,774,Egypt,3,3,7578,16,15,1,2,Def,Mid
44,44,11,14,5253,5262,774,Egypt,3,3,7578,15,11,2,2,Mid,Mid
45,45,1,2,5250,5254,774,Egypt,3,3,7578,16,17,1,1,Def,Def
46,46,2,4,5254,4063,774,Egypt,3,3,7578,17,13,1,1,Def,Def
47,47,4,18,4063,5251,774,Egypt,3,3,7578,13,12,1,2,Def,Mid
48,48,18,15,5251,5261,774,Egypt,3,3,7578,12,9,2,2,Mid,Mid
49,49,15,11,5261,5253,774,Egypt,3,3,7578,9,15,2,2,Mid,Mid
50,50,12,18,3568,5251,774,Egypt,3,3,7578,18,12,2,2,Mid,Mid
51,51,0,4,5265,4063,774,Egypt,4,4,7578,19,13,0,1,GK,Def
52,52,4,14,4063,5262,774,Egypt,4,4,7578,13,11,1,2,Def,Mid
53,53,14,12,5262,3568,774,Egypt,4,4,7578,11,18,2,2,Mid,Mid
54,54,12,5,3568,5263,774,Egypt,4,4,7578,18,10,2,1,Mid,Def
