,gid,plaid,posid,teamid,teamname,newpos,newposname
0,0,5472,22,785,Croatia,3,Fw
1,1,5469,9,785,Croatia,1,Def
2,2,5463,12,785,Croatia,2,Mid
3,3,5461,1,785,Croatia,1,Def
4,4,3444,0,785,Croatia,0,GK
5,5,5474,20,785,Croatia,2,Mid
6,6,5470,14,785,Croatia,2,Mid
7,7,5457,5,785,Croatia,1,Def
8,8,5468,4,785,Croatia,1,Def
9,9,3471,2,785,Croatia,1,Def
10,10,5465,16,785,Croatia,2,Mid
11,11,5492,4,771,France,1,Def
12,12,3961,10,771,France,1,Def
13,13,3099,0,771,France,0,GK
14,14,5485,2,771,France,1,Def
15,15,20004,8,771,France,1,Def
16,16,5476,1,771,France,1,Def
17,17,4375,15,771,France,2,Mid
18,18,5484,5,771,France,1,Def
19,19,3009,11,771,France,2,Mid
20,20,5737,10,771,France,1,Def
21,21,3604,23,771,France,3,Fw
22,22,5459,5,785,Croatia,1,Def
23,23,5460,16,785,Croatia,2,Mid
