,index,frompos,topos,frompla,topla,fromid,toid,newfpos,newtpos,newfposname,newtposname,playNum,period
0,0,16,2,5247,5259,2,1,2,1,Mid,Def,1,1
1,1,20,5,5258,5263,7,10,2,1,Mid,Def,2,2
2,2,15,15,5261,5261,15,15,2,2,Mid,Mid,3,3
3,3,15,12,5261,3568,15,13,2,2,Mid,Mid,4,4
4,4,18,14,5251,5262,17,16,2,2,Mid,Mid,5,5
5,5,22,11,5252,5253,18,14,3,2,Fw,Mid,6,6
6,6,18,0,5251,5265,17,20,2,0,Mid,GK,7,7
7,7,18,5,5251,5248,17,8,2,1,Mid,Def,8,8
8,8,21,18,5246,5251,9,17,3,2,Fw,Mid,9,9
9,9,18,4,5251,5249,17,5,2,1,Mid,Def,10,10
10,10,20,2,5258,5259,7,1,2,1,Mid,Def,11,11
11,11,14,0,5260,5267,6,21,2,0,Mid,GK,12,12
12,12,20,5,5258,5248,7,8,2,1,Mid,Def,13,13
13,13,5,1,5248,5250,8,19,1,1,Def,Def,14,14
14,14,18,1,5251,5264,17,4,2,1,Mid,Def,15,15
15,15,20,16,5258,5247,7,2,2,2,Mid,Mid,16,16
16,16,21,15,5246,5261,9,15,3,2,Fw,Mid,17,17
17,17,11,12,5253,3568,14,13,2,2,Mid,Mid,18,18
18,18,1,14,5250,5260,19,6,1,2,Def,Mid,19,19
19,19,20,0,5258,5265,7,20,2,0,Mid,GK,20,20
20,20,15,2,5261,5254,15,12,2,1,Mid,Def,21,21
21,21,22,4,5252,5249,18,5,3,1,Fw,Def,22,22
22,22,20,12,5258,5255,7,3,2,2,Mid,Mid,23,23
23,23,21,0,5246,5265,9,20,3,0,Fw,GK,24,24
24,24,4,4,4063,5249,11,5,1,1,Def,Def,25,25
25,25,1,1,5264,5264,4,4,1,1,Def,Def,26,26
26,26,20,12,5258,5255,7,3,2,2,Mid,Mid,27,27
27,27,21,12,5246,3568,9,13,3,2,Fw,Mid,28,28
28,28,22,2,5252,5259,18,1,3,1,Fw,Def,29,29
29,29,21,5,5246,5263,9,10,3,1,Fw,Def,30,30
30,30,1,15,5250,5261,19,15,1,2,Def,Mid,31,31
31,31,22,2,5252,5259,18,1,3,1,Fw,Def,32,32
32,32,16,14,5247,5262,2,16,2,2,Mid,Mid,33,33
33,33,22,5,5252,5248,18,8,3,1,Fw,Def,34,34
34,34,16,1,5247,5264,2,4,2,1,Mid,Def,35,35
35,35,16,12,5247,5255,2,3,2,2,Mid,Mid,36,36
36,36,2,5,5259,5263,1,10,1,1,Def,Def,37,37
37,37,18,1,5251,5264,17,4,2,1,Mid,Def,38,38
38,38,23,12,4319,3568,0,13,3,2,Fw,Mid,39,39
39,39,18,0,5251,5265,17,20,2,0,Mid,GK,40,40
40,40,22,0,5252,5265,18,20,3,0,Fw,GK,41,41
41,41,22,5,5252,5248,18,8,3,1,Fw,Def,42,42
42,42,1,15,5264,5261,4,15,1,2,Def,Mid,43,43
43,43,18,23,5251,4319,17,0,2,3,Mid,Fw,44,44
44,44,21,12,5246,5255,9,3,3,2,Fw,Mid,45,45
45,45,23,20,4319,5256,0,23,3,2,Fw,Mid,46,46
46,46,23,16,4319,5268,0,24,3,2,Fw,Mid,47,47
47,47,23,12,4319,5255,0,3,3,2,Fw,Mid,48,48
48,48,21,12,5246,5255,9,3,3,2,Fw,Mid,49,49
49,49,21,4,5246,5249,9,5,3,1,Fw,Def,50,50
50,50,20,2,5256,5259,23,1,2,1,Mid,Def,51,51
51,51,21,14,5246,5260,9,6,3,2,Fw,Mid,52,52
52,52,5,1,5248,5250,8,19,1,1,Def,Def,53,53
53,53,22,0,5257,5267,25,21,3,0,Fw,GK,54,54
54,54,16,5,5268,5248,24,8,2,1,Mid,Def,55,55
55,55,23,1,4319,5250,0,19,3,1,Fw,Def,56,56
56,56,22,12,5257,5255,25,3,3,2,Fw,Mid,57,57
57,57,16,16,5268,5268,24,24,2,2,Mid,Mid,58,58
58,58,20,2,5256,5259,23,1,2,1,Mid,Def,59,59
59,59,21,2,5246,5259,9,1,3,1,Fw,Def,60,60
60,60,23,0,4319,5267,0,21,3,0,Fw,GK,61,61
